name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Chethana Studio,<,4.0,2 Ratings,"Chethana Studio Sira Bazar, Sira",,08511744648,Videography,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.232Z
Srinidhi Photography,<,4.8,31 Ratings,"Karanji Temple Road Chickpet, Tumkur",,08460490101,Videography,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.232Z
Sambrama Captures Photography,<,4.9,14 Ratings,"Feet Road Sapthagiri Extension, Tumkur",,08460302318,Videography,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.232Z
Promo,<,4.8,192 Ratings,"3rd Cross Mg Road Tumkur, Tumkur",,,Videography,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.232Z
Sri Raksha Events,<,4.8,12 Ratings,"Road Kuvempunagar Tumkur, Tumkur",,08460514758,Flower Decorators; Photographers,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
KUSHAL EVENTS,<,5.0,1 Ratings,"Nagar 11th Cross Sit Extension, Tumkur",,08460561463,Balloon Arch; Balloon Backdrop; Photo Booth,true,true,false,false,false,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Avadhutha Captures,<,4.3,11 Ratings,"Sridevi Girls Sira Road Tumkur, Tumkur",,,Videography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Our Dream Event & Wedding Planner,<,4.7,3 Ratings,"Main Road Settihalli Tumkur, Tumkur",,08904246079,Flower Decorators; Birthday Party Decorators,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Shree Utsav Events And Photo Capture,<,4.3,53 Ratings,"Sit Main Road 4th Cross Sit, Tumkur",,08123165879,Photo Studios; Photographers,true,false,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Slr Events,<,4.5,29 Ratings,"Anjanaya Temple Road Gulur, Tumkur",,07487094849,Videography,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Arvika Prop Studio,+,4.4,7 Ratings,"R T Road Sira, Sira",,08511247836,Studio Photography; Cinematography; Traditional Videography,true,true,false,false,false,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Esha Studio,+,4.4,7 Ratings,"Main Road Upparahalli Main Road, Tumkur",,,Videography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
V Events Creative Studio,+,4.9,7 Ratings,"Main Road Jayanagar Extension, Tumkur",,07383809741,Videography,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Digital Vision,+,5.0,2 Ratings,"BH Road Siddaganga Extension, Tumkur",,08460432746,Sound Systems; Projection Equipment; Live Performances,true,true,false,false,false,Photographers,,Tumkur,2025-05-31T12:05:37.233Z
Mamatha Digi Lab,+,4.1,19 Ratings,"Railway Station Road Bh Road, Tumkur",,,Videography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Lucky's Events Zone,L,4.7,7 Ratings,"BM ROAD Kunigal, Tumkur",,07383590348,Videography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Garike Event Organizers,G,3.5,2 Ratings,"Tank Vidya Vidya Nagar Tumkur, Tumkur",,07204634268,Videography,true,true,false,false,false,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Archith Photography,+,4.9,98 Ratings,"Road Main Bazar Road, Hindupur",,08197215720,Traditional Videography; Albums; Cinematography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
The Maarvel Studio,+,4.8,10 Ratings,"Market Basaveshwara Nagar, Bangalore",,08460204920,Videography,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Vibhava Creations,+,4.5,345 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Nuclear Events,+,4.9,17 Ratings,"Subrub Vidyaranyapuram, Mysore",,08460255672,On Site Services; In Store Collect; Same Day Delivery,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Independent Technologies,+,4.8,43 Ratings,"Kalyan Nagar Bandihalli, Chikmagalur",,,Irrigation System Dealers; Agricultural Equipment Dealers,true,true,false,true,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Sree Durga Parameshwari Catering Service,+,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Masters Event Management,+,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Rainbow Studio and Video,+,4.2,15 Ratings,"Main Road Kundapura, Udupi",,,Videography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Ork Studio And Video,+,5.0,153 Ratings,"Ramchandra Nagar Kamalanagar, Anantapur",,,Videography,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
Wedding Invitation Video Maker - Weditations (INDIA),+,4.3,52 Ratings,"Plot. No:01 Lingampally, Hyderabad",,08792492833,Invitation Video Makers; Photographers,true,true,false,false,true,Photographers,,Tumkur,2025-05-31T12:05:37.234Z
