name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
N S Paints and Hardware,<,4.4,109 Ratings,"Jc Road Mandipet, Tumkur",,07383812782,Designer; Commercial,true,false,false,true,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.955Z
Dhanalakshmi Infra,<,4.3,75 Ratings,"Bandihalli Tiptur, Tumkur",,08488081601,Plumbers; Hardware Shops,true,false,false,true,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.955Z
Shree Ganesh Marketing,<,4.6,14 Ratings,"Dr Radhakrishna Road SS Puram, Tumkur",,,PVC Door Dealers; Bathroom Door Dealers,true,false,false,true,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.955Z
Bhagwan Interiors,<,4.5,36 Ratings,"Rajiv Gandhi Circle Ss Puram, Tumkur",,,Carpenters; Interior Designers,true,false,false,false,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.955Z
Balaji Build Mart,<,4.6,39 Ratings,"Dr Radhakrishna Road SS Puram, Tumkur",,,Hardware Shops; Pipe Dealers,true,false,false,false,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.955Z
Sree Omkar Hardware,<,4.2,107 Ratings,"B H Road Bh Road, Tumkur",,,Hardware Shops; Solar Geyser Dealers,true,false,false,true,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.956Z
SLN GLASS AND PLY WOODS,<,4.8,21 Ratings,"Jayanagar East Jayanagar, Tumkur",,,Flush Door Dealers; PVC Door Dealers,true,false,false,false,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.956Z
Tumkur Pipe Traders,<,4.2,23 Ratings,"Mg Road Mg Road Tumkur, Tumkur",,,Imported; Ceramic Tiles,true,false,false,false,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.956Z
Srinivasa Hardware,<,4.8,185 Ratings,"SKPT road Tiptur, Tumkur",,,Same Day Delivery; Shop In Store,true,false,false,false,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.956Z
Laxmi Electrical And Hardware,<,4.4,144 Ratings,"Hosakere Hanumanthapura, Tumkur",,,Same Day Delivery; Shop In Store; In Store Collect,true,false,false,false,true,Security System,Popular Lock Dealers,Tumkur,2025-05-31T12:22:14.956Z
