name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Slv Security Services,<,4.5,41 Ratings,"Mirji Copmplex Bh Road, Tumkur",,07411664732,Armed Security Services; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.025Z
Kiran Security Services,<,4.1,20 Ratings,"Sira Gate Sira Road Tumkur, Tumkur",,08460206290,Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.025Z
Swacha Enterprises,<,4.1,7 Ratings,"College Road Upparahalli Tumkur, Tumkur",,,Registration-Home service All; Bodyguard; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.025Z
Sri Aishwarya Establishment,<,4.8,47 Ratings,"8th Cross Gangotri Main Road Sit, Tumkur",,09035400762,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.025Z
BEST Security Force,<,5.0,2 Ratings,"Behind Nayara Petrol Bunk Sira, Sira",,09054718752,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.025Z
Wild Cat Security Services,<,3.8,14 Ratings,"B H Road Batawadi, Tumkur",,,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,false,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Shiva Krupa Enterprises,<,4.7,22 Ratings,"Tungabhadra Sira Road Tumkur, Tumkur",,07383812863,Industrial Manpower Suppliers; Security Services,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Unity Guarding Services and Allide Services,<,4.1,7 Ratings,"4th Phase Yelahanka New Town, Bangalore",,08401799259,Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Disha Security and Allied Services,<,4.9,10 Ratings,"BSNL Office Road Anandapura, Bangalore",,07048811686,Armed Security Services; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Kavipriya HR Solutions Pvt. Ltd.,<,4.0,46 Ratings,"5th A Cross Banaswadi, Bangalore",,08105161465,Bouncer Services; Armed Security Services,true,true,false,true,false,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Laxmi Control System,+,4.2,48 Ratings,"Belavadi Post Belavadi, Mysore",,08460413072,Automation System Dealers; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Sharp Intelligence Bureau,+,4.5,46 Ratings,"BG Road Bilekahalli, Bangalore",,09980224063,Bodyguard,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
United India Facilities Management Services,+,5.0,6 Ratings,"Kempapura Hebbal, Bangalore",,09980227164,Security Services; Housekeeping Services,true,true,false,false,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Sharada Enterprises,+,5.0,7 Ratings,"Railway Station Doddaballapur, Bangalore",,09054827980,Lost Device Tracking; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Rajdhani Detective Agencies,+,4.9,498 Ratings,"4th A Main Road Vijayanagar, Bangalore",,,Security Services For Guard; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
Avengers Facility Services,+,4.8,203 Ratings,"Abdulla Khan Estate Gandhi Nagar, Kurnool",,08401332171,,true,true,false,true,true,Security System,Find Top Security Services,Tumkur for Trusted Protection,2025-05-31T12:23:13.026Z
