name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sree Veerabhadraswamy Transport,<,4.2,5 Ratings,"Sira Main Road Lingapura, Tumkur",,08511570520,Commercial Transporters; Transporters,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.980Z
Sri Kiran Transport,<,4.7,33 Ratings,"New Mandipet Mandipet, Tumkur",,07490016249,Transporters; Transporters For Bangalore,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Karnatak West Bengal All India Transport Company,<,4.6,10 Ratings,"Shantinagar TTMC Shanthinagar, Bangalore",,08147536632,Transporters For Full Truck Load To Tamil Nadu; Transport Agents,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Radhakrishna Transport,<,4.1,130 Ratings,"3rd Phase Peenya 3rd Stage, Bangalore",,09980546498,Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Jaipur Golden Transport,<,3.8,24 Ratings,"C  LANE J.M ROAD Cubbonpet, Bangalore",,09845217514,Pay Ahead,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Sri Vigneshwara Logistics,<,4.2,52 Ratings,"DDUTTL Yeshwanthpur, Bangalore",,09035041615,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Sri Kumaran Transports & Packers and Movers,<,4.6,14 Ratings,"DPF STREET Papanaickenpalayam, Coimbatore",,08511275817,Logistics; Local Logistic; Transportation,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Kaveri Cargo Movers,<,4.4,95 Ratings,"Bank Colony Chinnavedampatti, Coimbatore",,08401638429,,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Vijaya Transport,<,4.1,51 Ratings,"AATTUR Attur Salem, Salem",,07383222475,Transporters; Transporters For Chennai,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
Vmtc Logistics,<,4.4,37 Ratings,"Ansari Bunder, Mangalore",,08511915326,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Tumkur,2025-05-31T12:00:43.981Z
