name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
IIHT,<,5.0,1 Ratings,"Sit Extn, Tumkur",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.568Z
Varadaraja Group Of Institutions,<,4.9,92 Ratings,"Shettihalli Main Road-Jayanagar, Tumkur",,07383644724,Institutes For Diploma In Paramedical; Colleges,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.569Z
V Tech Solutions,<,4.3,103 Ratings,"3rd Cross Ashok Nagar Tumkur, Tumkur",,07405808008,C Programming Training Institutes; Colleges,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.569Z
Nice Computer Education,<,4.7,90 Ratings,"1st Floor Madhugiri Road, Tumkur",,07383665695,Computer Training Institutes; Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.569Z
H.S.S Techno Coaching Center and Consultant,<,5.0,12 Ratings,"Nagar Upparahalli Tumkur, Tumkur",,09972325972,Computer Training Institutes; Tutorials,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.569Z
Dream Foundation Trust R (Oxygen Study Center) (Oxygen Sports Club),<,3.9,28 Ratings,"Bh Road Ashok Nagar Tumkur, Tumkur",,,Colleges; Computer Training Institutes,true,true,false,false,false,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Mercury Computer Point,<,4.8,29 Ratings,"Main Road Sira, Sira",,07041616781,Computer Training Institutes; Computer Training Institutes For Basic,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Atharva Insights,<,4.7,52 Ratings,"Ashok Nagar Tumkur, Tumkur",,08460432392,Computer Training Institutes; Tutorials,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Dimple Film Training Institute,<,4.8,10 Ratings,"Building Upparahalli Tumkur, Tumkur",,08460217065,Film Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
SRS Computer Education,<,4.8,161 Ratings,"Caltax Circle Caltex Circle, Tumkur",,08971314478,Accounting Training Institutes; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Balc Computer Education,+,4.6,38 Ratings,"Computer Education Sira Gate, Tumkur",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Sri Sai Baba Computer Training Centr,+,5.0,5 Ratings,"Upparahalli Tumkur, Tumkur",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Tumkur University,T,4.1,"2,204 Ratings","B H Road Kuvempunagar Tumkur, Tumkur",,,,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Cng Skill Development Institute (R),+,4.9,750 Ratings,"Degree College Road Gubbi, Tumkur",,,Computer Training Institutes; Business Consultants,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Computech Computer Education Centre,+,4.8,574 Ratings,"Bengaluru Honnavar Road Bh Road, Tumkur",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
S Spiders Software Training Institute,+,4.8,329 Ratings,"Road 14th Cross Sit Extension, Tumkur",,,C Programming Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Srs Software Training Center,+,4.8,239 Ratings,"2nd Floor Tumakuru Csi Layout, Tumkur",,,Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.570Z
Codeeasy,+,4.9,212 Ratings,"Main Mahalakshmi Layout Batawadi, Tumkur",,,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Web Technology,Tumkur,2025-05-31T12:31:04.571Z
