name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Neo Unisex Salon Academy and Spa Center,<,4.6,178 Ratings,"Service Bus Stand Shiribeedu, Udupi",,09035547750,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.230Z
Profile Hair N Skin Studio,<,3.8,180 Ratings,"Hotel Diana Building Ajjarkad, Udupi",,08401824831,Home Services Offered; Waxing; Facial,true,true,false,true,false,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.231Z
Tony & Guy Manipal,<,4.7,328 Ratings,"End Point Road Vidyaratna Nagar, Manipal",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.231Z
Pony Tail,<,4.3,6 Ratings,"Syndicate Circle Manipal, Manipal",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.231Z
Anu Parlour,<,3.7,9 Ratings,"Kundapura Kundapura, Udupi",,,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.231Z
Plants Salon (Sri Ram Central Mall),<,4.6,"1,131 Ratings","Syndicate Circle Manipal, Manipal",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.231Z
Lakme Salon,<,4.4,920 Ratings,"Moodu Sagri Manipal, Manipal",,,,true,true,true,true,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.231Z
Makeup By Deeksha Shenoy,<,5.0,152 Ratings,"Karkala Karnataka Kukkundur, Udupi",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.232Z
Akshatha Makeup Studio,<,4.8,106 Ratings,"Markodu Halady Road Koteshwara, Udupi",,,Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.232Z
Brenda Dsouza,<,4.8,76 Ratings,"Manipal Road Ambalapadi, Udupi",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Udupi,2025-05-27T10:04:34.232Z
