name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Madhuvana Serai Unisex Center,<,4.1,40 Ratings,"Upendra Nagar Kmc, Manipal",,08123844698,Home Services Offered; Thai Massage; Aroma Massage,true,true,false,true,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.564Z
Vip Salon & Spa,<,4.6,206 Ratings,"Manipal Udupi Highway, Manipal",,08401520425,Thai Massage,true,true,false,false,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.564Z
Iconic Family Spa,<,4.1,21 Ratings,"Kitturu Chennamma Road Ajjarkad, Udupi",,07411945099,Thai Massage,true,true,false,true,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.564Z
Aura Unisex Saloon and Spa,<,4.4,171 Ratings,"Manipal Udupi Highway, Manipal",,08904956121,Aroma Massage,true,true,false,true,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.564Z
Neo Unisex Salon Academy and Spa Center,<,4.6,178 Ratings,"Service Bus Stand Shiribeedu, Udupi",,09035547750,Hair Spa; Thai Massage; Aroma Massage,true,true,false,false,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.565Z
Executive Spa,<,4.0,42 Ratings,"2nd Floor Mosque Road, Udupi",,09972911276,Home Services Offered; Thai Massage; Aroma Massage,true,true,true,true,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.565Z
Ayur Professional Unisex Spa,<,4.2,110 Ratings,"Shubha Tower Laxmindra Nagar, Manipal",,,Home Services Offered; Thai Massage; Aroma Massage,true,true,false,false,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.565Z
Dew Drop Saloon & Spa,<,4.1,28 Ratings,"Basrur Basarur, Udupi",,07411845562,Thai Massage,true,true,false,true,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.565Z
Rose Petalss Professionl Unisex Beauty & Spa,<,4.6,21 Ratings,"Upendra Nagar Manipal, Manipal",,,Thai Massage; Aroma Massage,true,true,false,false,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.565Z
Vela International Salon and Spa,<,5.0,1 Rating,"Nagar Manipal Udupi Highway, Manipal",,,Thai Massage; Aroma Massage,true,true,false,false,false,Body Massage Centres,,Udupi,2025-05-27T10:02:29.565Z
Dew Drop Saloon & Sp,+,3.3,9 Ratings,"Main Road Trasi, Udupi",,,,true,true,false,false,true,Body Massage Centres,,Udupi,2025-05-27T10:02:29.565Z
