name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ananya Tours & Travels,<,5.0,4 Ratings,"NH 66 Santhekatte, Udupi",,09054519035,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.449Z
Sri Raksha Travels,<,4.6,89 Ratings,"Sode Mutt Lane Adi Udupi, Udupi",,08401765344,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.449Z
Svs Tours and Travels,<,4.3,108 Ratings,"Railway Station Road Indrali, Manipal",,08401879895,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
East West Travels Manipal,<,4.9,"1,234 Ratings","Mosque Road Doddangudde, Udupi",,08401864453,,true,true,true,true,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
Kn Tours and Rentals,<,4.7,63 Ratings,"Kadiyali, Udupi",,07383249159,,true,true,true,true,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
Manipal Taxi Tourist Cab,<,5.0,41 Ratings,"Manipal Udupi Road Manipal, Manipal",,09845445652,,true,true,true,true,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
Shree Pattabhi Travels,<,4.7,29 Ratings,"Manipal Road Kunjibettu, Udupi",,,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
Karavali Tours & Travels,<,4.5,35 Ratings,"Bus Stand, Udupi",,08401609946,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
Tulja Bhavani Tours and Travels,<,5.0,1 Rating,"Near Canara Bank Road Manipal, Manipal",,09035147277,,true,true,false,false,false,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
Taj Travels,<,5.0,109 Ratings,"Taj Travels Doddangudde, Udupi",,09035082025,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Udupi,2025-05-27T10:08:38.450Z
