name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Excellent Garage,<,3.3,7 Ratings,"Karkala Road Parkala, Udupi",,08105074644,DoorStep Service; Towing Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.591Z
Auto Point,<,3.9,157 Ratings,"Ambalpady Ambalapadi, Udupi",,08105313758,Car Rental; Car Rental For Self Driven,true,true,true,true,false,Car Repair & Services,,Udupi,2025-05-27T10:38:34.594Z
Good Gear,<,4.9,94 Ratings,"NH 66 Santhekatte, Udupi",,08401768667,Wax Polishing; Car Foam Wash,true,true,false,true,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.594Z
Jathanna Auto Electrical Work,<,4.7,17 Ratings,"Jathanna Complex Ambalapadi, Udupi",,08460481060,Towing Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.594Z
Aries Automotive The Caring Touch,<,3.3,31 Ratings,"NH 17 Brahmavara, Udupi",,09980690168,Car Repair & Services; Car Washing Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.594Z
New Manipal Bazar,<,3.0,314 Ratings,"Udupi Manipal Highway Manipal, Manipal",,09054706609,Delivery Available,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.595Z
Friends Auto Works,<,4.2,7 Ratings,"Moodbidri Road Udupi Courts, Udupi",,,Company Authorised Dealer; Towing Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.595Z
MNM Car Wash & Polish,<,4.5,9 Ratings,"Manipal Road Kadiyali, Udupi",,09035192099,Car Washing Services At Home; Car Repair & Services,true,true,true,true,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.595Z
Amma Auto Cool,<,4.7,5 Ratings,"Mahadev Complex Kaup, Udupi",,09725808615,Car Repair & Services; Car Repair & Services-Maruti Suzuki,true,true,false,true,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.595Z
Shalom Garage Towing Service,<,4.0,11 Ratings,"Brahmavar Hebri Road Adi Udupi, Udupi",,,Towing Services,true,true,false,false,false,Car Repair & Services,,Udupi,2025-05-27T10:38:34.595Z
Trinity Car Care,+,4.2,100 Ratings,"Malpe Beach Road Krodashrama, Udupi",,,DoorStep Service; Towing Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
Dreams Custom & Services (Old & New Vehicle Restoration Center),D,5.0,29 Ratings,"Nitte Main Road Nitte Udupi, Udupi",,,Car Repair & Services; Car Washing Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
New Bangalore Motors,+,4.9,62 Ratings,"Kumbashi Kumbhashi, Udupi",,,Delivery Available,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
Nithin Auto Diesel Service,+,4.9,10 Ratings,"NH 66 Ambalapadi, Udupi",,,Towing Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
Dhrishti Auto Works,+,5.0,4 Ratings,"Milk Dairy Road Eshwar Nagar, Manipal",,,Car Repair & Services; Motorcycle Repair & Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
Bangalore Motors,+,4.3,137 Ratings,"Nh 66 Kumbhashi, Udupi",,,Company Authorised Dealer; Oil Change,true,true,false,true,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
Kanchana Hyundai,+,4.4,"1,928 Ratings","Service Road Tallur, Udupi",,,Delivery Available,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
Kanchana Hyundai (Service Centre),+,4.5,"1,842 Ratings","NH 66 Nittor, Udupi",,,Car Dealers; Car Rental,true,true,true,true,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.596Z
Karnataka Agencies Udupi,+,4.0,625 Ratings,"KAPPETTU Ambalapadi, Udupi",,,Delivery Available,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Abharan Motors Pvt Ltd,+,4.2,480 Ratings,"Karodi Cross Kundapura, Udupi",,,Company Authorised Dealer,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Cauvery Ford,+,4.2,453 Ratings,"Kinnimulki, Udupi",,,Delivery Available,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Maruti Suzuki Service,+,4.2,376 Ratings,"Maruthi Veethika Manchikodi, Udupi",,,Car Repair & Services; Car Dealers,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Abharan Motors Pvt Ltd,+,4.2,310 Ratings,"Hirebetti Main Road Athradi, Udupi",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Mandovi Motors Pvt Ltd (Nexa Service),+,5.0,246 Ratings,"Naravi, Udupi",,,On Site Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Try Auto Gears Pvt Ltd,+,3.8,296 Ratings,"Ambagilu Junction Ambagilu, Udupi",,,Oil Change; Customer Lounge,true,true,false,false,false,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Nexa Service Abharan Motors,+,4.2,259 Ratings,"Herabettu Road Hanumantha Nagar, Udupi",,,Car Repair & Services; Nexa Service,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.597Z
Auto Fix Car Services,+,4.9,207 Ratings,"Nh 66 Nittor, Udupi",,,Company Authorised Dealer; Oil Change,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
Auto Land,+,4.5,184 Ratings,"NH 66 Kinnimulki, Udupi",,,Company Authorised Dealer,true,true,false,true,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
True Value - Abharan Motors,+,4.1,197 Ratings,"Old Dc Office Road Brahmagiri, Udupi",,,Delivery Available,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
Bantakal Service Station,+,4.3,128 Ratings,"Bantakal Cross Road Bhantakal, Udupi",,,On Site Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
St Jude Auto & Electricals Engineering Works,S,4.5,112 Ratings,"Bidu Marg Ambalapadi, Udupi",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
Automatrix Udupi Workshop,+,3.3,140 Ratings,"Nittur, Udupi",,,DoorStep Service,true,true,false,false,false,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
Karnataka Agencies,+,4.1,109 Ratings,"Koteshwar Kundapura, Udupi",,,Delivery Available,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
Shetty's Multicar Service,+,4.9,84 Ratings,"NH 66 Uppinakote, Udupi",,,Company Authorised Dealer; Customer Friendly Service Stations; Car Diagnostic,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
Shetty'S Multicar Service,+,4.9,84 Ratings,"Brahmavara, Udupi",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
Automatrix,+,4.0,98 Ratings,"Priya Nagar Hayagreeva Nagar, Manipal",,,DoorStep Service,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.598Z
M.N.M CAR WASH &POLISH,+,3.4,113 Ratings,"Udupimanipal Hwy Kunjibettu, Udupi",,,Car Repair & Services; Car Washing Services,true,true,false,false,false,Car Repair & Services,,Udupi,2025-05-27T10:38:34.599Z
Sushma auto works,+,4.7,79 Ratings,"Sushma Auto Works Nittor, Udupi",,,Car Gas Conversion Kit Repair & Services; Car Repair & Services,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.599Z
Prakash Auto Service,+,4.1,87 Ratings,"Kundapura Kundapura, Udupi",,,Towing Services; On-site Repair,true,true,false,false,true,Car Repair & Services,,Udupi,2025-05-27T10:38:34.599Z
