name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Nithyadhar Caterers,<,4.1,33 Ratings,"Vederahobli Kundapura West, Udupi",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.698Z
Udupi Caterers and Event Management,<,4.8,102 Ratings,"Alevoor Rampura Road Alevoor, Udupi",,08401936781,Home Delivery,true,true,true,true,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.698Z
Shivagiri Caterers,<,5.0,13 Ratings,"Perampalli Road Perampalli, Manipal",,08460201702,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.698Z
Ishani A to Z Event Management,<,4.7,17 Ratings,"Kundapura Kenchanur, Udupi",,08401605406,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.698Z
Alok Events & Concepts,<,4.3,6 Ratings,"NH66 Main Road Tekkatte, Udupi",,09845451408,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Spice N Ice,<,3.7,825 Ratings,"Point Road Manipal Udupi Highway, Manipal",,,Chinese; Punjabi; Multicuisine,false,false,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Sri Krishna Bhavan,<,4.3,63 Ratings,"Sh 52 Siddapura, Udupi",,,Dine-in; Take away; South Indian,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Vinayaka Caterers,<,4.6,45 Ratings,"Bada Paduyermal, Udupi",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Ocean Caterers,<,4.6,5 Ratings,"NH 66 Kaup, Udupi",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Friends Caterers,<,4.4,54 Ratings,"Shankarapura Shankarapura Udupi, Udupi",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Brahmavar Joy Caterers,+,4.3,29 Ratings,"Brahmavar Kunjal, Udupi",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Shetty Caterers,S,4.1,31 Ratings,"Padoor, Udupi",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Pangala Caterers,+,4.8,15 Ratings,"Shankarapura Udupi, Udupi",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
Delite Caterers,+,4.5,12 Ratings,"Gardimajal Road Krodashrama, Udupi",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Udupi,2025-05-27T10:18:05.699Z
