name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Friends Caterers,<,4.4,54 Ratings,"Shankarapura Shankarapura Udupi, Udupi",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.950Z
New Delicious Caterers & Events,<,5.0,3 Ratings,"AJ Complex Shankarapura Udupi, Udupi",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.950Z
Zara Caterers,<,5.0,1 Rating,,,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.950Z
S S Shamiyana,<,5.0,1 Rating,"Parkala Road Athradi, Udupi",,,Balloon Arch; Balloon Backdrop; Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Sowkarya Caterers,<,5.0,1 Rating,"NH66 Surathkal, Mangalore",,,Caterers For Wedding; Caterers,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Jahnavi Events,<,5.0,1 Rating,"Gandhi Nagar Kavoor, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Shree Sai Catering Arrangers,<,5.0,2 Ratings,"Kunjathbail Road Kavoor, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Twins Caterers,<,5.0,38 Ratings,"Vamanjoor Vamanjur, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Street Spoon Caterers,<,5.0,4 Ratings,"Kodical Road Ashoknagar, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Akshaya Caterers,<,4.1,27 Ratings,"Kb Lane Ashoknagar, Mangalore",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Komal'S Sweets & Caterers,+,5.0,11 Ratings,"Kulur Ferry Road Alake, Mangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.951Z
Indira Cateres,+,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.952Z
Cherry Square Events And Florist,+,5.0,4 Ratings,"Castelino Colony Kulshekar, Mangalore",,,Event Decoration,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.952Z
Shree Vaidhyanatha Caterings,S,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.952Z
Vishwas Caterers,V,4.8,6 Ratings,"M R Bhat Lane Marnamikatta, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.952Z
Nidhi Catering Mangalore,N,5.0,1 Rating,"Post Village Mangaloru Adyar, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For House Warming,Udupi,2025-05-27T10:21:17.952Z
