name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Friends Caterers,<,4.4,54 Ratings,"Shankarapura Shankarapura Udupi, Udupi",,,Home Delivery,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.428Z
Sharavu Caterers,<,4.9,9 Ratings,"Dambel Ashoknagar, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.428Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
J K Caterers,<,4.6,42 Ratings,"Mahakali Padupu Jeppu, Mangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
AK EVENTS AND CATERING SERVICES,<,5.0,3 Ratings,"Mudipu Ira, Dakshina Kannada",,,Home Delivery,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
Spoorthi Catering Services And Event Organisers,<,5.0,3 Ratings,"Puttur Parladka Devasya Road, Puttur",,,Parking Available; 24 Hours; Home Delivery,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
D C S Group Catering,<,3.2,12 Ratings,"Nagar Sharavathi Nagar, Shimoga",,09724044969,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
Arogya Sambar Kendra,<,3.8,3 Ratings,"9 Th Cross Sampige Road Hassan, Hassan",,,Home Delivery,true,false,false,false,false,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
Pavan Events & Wedding Planners,<,3.8,29 Ratings,"Park Anjaneya Badavane, Davangere",,,Home Delivery,true,false,false,false,false,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
Janani Foods and Caters,<,4.8,48 Ratings,"13th Cross Ktj Nagar, Davangere",,07405489136,Home Delivery,true,false,false,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.429Z
Joshi Foods and Caterers,+,4.4,9 Ratings,"Ganesh Colony Nekar Nagar, Hubli",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
The Sigdi Catering,+,3.4,6 Ratings,"Dasai Cross Deshpandenagar, Hubli",,,Caterers For Wedding; Real Estate Agents,true,false,false,true,false,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Annapurna Caterers,A,4.4,11 Ratings,"Ulaveesh Building Hosur Hubli, Hubli",,,Home Delivery,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Jai Prabhu Caterers Private Limited,+,5.0,32 Ratings,"Desai Park Keshawapur, Hubli",,08460513086,Caterers; Veg Caterers,true,false,true,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Navkar Caterers,N,5.0,2 Ratings,"Park Kusugal Raod Keshawapur, Hubli",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Kamat Annaleela Pure Veg Restaurant,K,5.0,5 Ratings,"P B Road Vidyanagar Hubli, Hubli",,09972273397,Caterers; Veg Caterers,true,false,true,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Dastarkhwan Premium Catering,+,5.0,4 Ratings,"Margao Aquem, Goa",,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Karavali Caterers,+,4.9,18 Ratings,"APMC Market Road Apmc, Hubli",,08401239485,Caterers; Veg Caterers,true,false,false,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
The Catering Hub,+,4.9,54 Ratings,"Arlem, Goa",,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Anand Caterers,A,4.0,5 Ratings,"UB Hill Road UB Hills, Dharwad",,08460384034,Home Delivery,true,false,true,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
Sri Ramdev Caterers Mysore,+,4.6,11 Ratings,"Gandhi Square Lashkar Mohalla, Mysore",,09980204685,Caterers; Veg Caterers,true,false,true,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.430Z
SLN Caterers,S,4.4,10 Ratings,"Srinagar Mysore South, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Bhingi's Food Take Away,+,3.6,"1,203 Ratings","Sunflower Apts Ponda, Goa",,09606411247,Chinese; Sea Food; North Indian,true,false,false,false,false,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Swaad Food Express,+,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Charbhuja Caterers,+,4.8,5 Ratings,"15th Cross SS Puram, Tumkur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Canara Caterers,+,4.9,150 Ratings,"Devanoor Road Vijaynagar, Tumkur",,08904956724,Caterers For Wedding; Caterers,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Kailash Parbat,+,4.5,"7,521 Ratings","Candolim, Goa",,,Congenial Staff; Ambience; Delivery,false,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Dg's Culinary Services,D,4.5,4 Ratings,"Siolim Ghateshwar Nagar, Goa",,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Shree Caterers,+,4.0,210 Ratings,"Angol, Belgaum",,08734968618,Caterers; Event Organisers,false,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Kallur Caterers,+,4.4,29 Ratings,"Meerapur Galli Shahapur Belgaum, Belgaum",,07383864201,Home Delivery,true,false,true,true,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Brahmin's Cafe,+,4.2,408 Ratings,"Congress Road Tilakwadi Belgaum, Belgaum",,,Delivery; Dine-in; South Indian,false,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Celebration Catering And Event,C,5.0,1 Rating,"Belgaum City, Belgaum",,,Car Decoration,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
Desai Suppliers,+,4.9,4 Ratings,"Garage Fulbag Galli Belgaum, Belgaum",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Jain Caterers,Udupi,2025-05-27T10:22:56.431Z
