name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Manipal Food Court,<,4.6,23 Ratings,"Eshawar Nagar Manipal, Manipal",,,Delivery; Dine-in; South Indian,false,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
Friends Caterers,<,4.4,54 Ratings,"Shankarapura Shankarapura Udupi, Udupi",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
Zara Caterers,<,5.0,1 Rating,,,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
S S Shamiyana,<,5.0,1 Rating,"Parkala Road Athradi, Udupi",,,Balloon Arch; Balloon Backdrop; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
Suraksha Caterers,<,4.6,34 Ratings,"Guddekopla Road Surathkal, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
Mangalore Caterers,<,4.7,20 Ratings,"Koppalkad Road Maryhill, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
Shree Vaidhyanatha Caterings,<,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
TENT CATERING & WEDDING PLANNER,<,4.6,5 Ratings,"Falnir Road Valencia, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.123Z
Spice Box,<,3.5,4 Ratings,"Jain Compound Road Attavar, Mangalore",,,Tiffin Service; Sea Food; Kerala,true,false,false,false,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
AK EVENTS AND CATERING SERVICES,A,5.0,3 Ratings,"Mudipu Ira, Dakshina Kannada",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Rama Somayaji Caterers,R,4.1,20 Ratings,"belthangadi Taluk Dharmasthala, Dharmasthala",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Spoorthi Catering Services And Event Organisers,+,5.0,3 Ratings,"Puttur Parladka Devasya Road, Puttur",,,Parking Available; 24 Hours; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Gulf Catering And Family Restaurant,G,4.7,8 Ratings,"Chemnad Chamnad, Kasaragod",,,Available for Functions; Party Orders Accepted,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Sri Annapurna Mess Pure Veg,+,4.9,6 Ratings,"Sagara Main Road Apmc Marketyard, Shimoga",,,Mess; Tiffin Service; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Prince Catering.,+,5.0,3 Ratings,"100feet Rd Shimoga Market, Shimoga",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Pent Restaurant and Catering,+,3.5,"2,531 Ratings","National Highway Kandoth, Kannur",,,Delivery; Dine-in; South Indian,true,false,false,false,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
The Sharjah Palace,+,3.7,"1,219 Ratings","Nh Kandoth Payyanur, Kannur",,,Delivery; Dine-in; South Indian,true,false,false,true,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Sajesh Ameya Event Management Company,+,5.0,1 Rating,"Court Road Payyanur, Kannur",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Sanvi Veg Catering,+,5.0,26 Ratings,"Vijayanagara Bm Road, Hassan",,08511689664,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Red Apron Catering & Events,+,4.8,93 Ratings,"Bank Road Taliparamba, Taliparamba",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Blueberry Catering Service,+,4.8,207 Ratings,"Kanhirode Road Cherupazhassi, Kannur",,08460411132,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Tasty Manna Catering,+,4.3,34 Ratings,"Ullikkal, Kannur",,,Caterers; Caterers For Events,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Rose & Rose Caterers,+,4.8,2 Ratings,"Kannur HO, Kannur",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Ojeen World,+,4.9,41 Ratings,"Narangapuram Kannur City, Kannur",,,Caterers; Event Management Companies,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Nalandha Caters & Events,+,4.5,6 Ratings,"Bank Road Cannanore, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
NALANDHA CATERES &EVENTS,+,5.0,3 Ratings,"Talap Kannur City, Kannur",,,Caterers; Caterers For Events,true,false,false,false,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
Five Star Catering and Event Management,+,5.0,6 Ratings,"FIVE STAR Kannur Thana, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.124Z
MEALS HOUSE,+,4.1,12 Ratings,"Ambika Building Thazhe Chovva, Kannur",,,Takeaway Available,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Shani Caters,+,4.9,7 Ratings,"Kannur City Kannur City, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Kannur food catering sorvice,K,5.0,1 Rating,"Kannur Kannur South, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
MOMS KITCHEN CATERING SERVICE,+,4.2,19 Ratings,"Kappad Kappad, Kannur",,,Caterers; Caterers For Parties,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Taste Hut Caterers & Events,+,4.9,18 Ratings,"Thondiyil, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Pallath Catering,P,4.5,15 Ratings,"Pallath Building Kotancheri, Kozhikode",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Laimoon,+,3.9,140 Ratings,"Purameri Nadapuram, Kozhikode",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Malabar Kitchen,+,3.9,"2,506 Ratings","Ring Road Hebbal, Mysore",,,Juice Bar; Take away; South Indian,true,false,false,true,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Dastarkhwan Premium Catering,+,5.0,4 Ratings,"Margao Aquem, Goa",,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Holy Cross Caterers,+,4.7,135 Ratings,"Maina Curtorim Raia, Goa",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Jeevan Catering,J,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
The Catering Hub,+,4.9,54 Ratings,"Arlem, Goa",,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
SVK Caterers,S,4.2,14 Ratings,"17th Cross Arvind Nagar, Mysore",,,Tiffin Service; Home Delivery; Takeaway Available,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Anand Caterers,A,4.0,5 Ratings,"UB Hill Road UB Hills, Dharwad",,08460384034,Home Delivery,true,false,true,true,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Mysore International Hotel,M,3.2,5 Ratings,"4th Main Road Ittigegud, Mysore",,,South Indian; Kerala,true,false,false,false,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Ambily's Kitchen,A,5.0,113 Ratings,"Kolavayal Muttil, Wayanad",,09724310953,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Babus catering service purakkadi,B,5.0,1 Rating,"Chendakuni Meenangadi, Wayanad",,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Fil Fil Family Restaurant,+,3.7,43 Ratings,"Koliyottuthazham, Kozhikode",,,Caterers; Caterers For Wedding,true,false,false,false,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Perista Enterprise,+,5.0,3 Ratings,"Sancoale, Goa",,,Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Kaffe De Republica 24x7,K,3.0,1 Rating,"MES Masjid Road Zuarinagar, Goa",,,Coffee Shops; Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Kerala Catering And Eventmangement Group,+,5.0,1 Rating,"Kallutti Paramba Karuvassery, Kozhikode",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
HASVI Events&catering,H,5.0,2 Ratings,"Kadampaatuthazham Vengery, Kozhikode",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Food Buddy,F,3.7,31 Ratings,"Malaparamba, Kozhikode",,,North Indian Caterers; Caterers,false,false,false,false,false,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Calicut Kitchen,+,4.1,6 Ratings,"No 4/1221/b Calicut Beach, Kozhikode",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.125Z
Kohinoor Catering and Events,+,4.9,34 Ratings,"Mavoor Road Palayam, Kozhikode",,08401703589,Banquet Hall Decoration; Car Decoration; Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.126Z
Paragon Restaurant and Catering,+,4.5,"50,341 Ratings","Kannur Road Calicut Fort Gate, Kozhikode",,,Delivery; Dine-in; Chinese,true,false,false,true,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.126Z
Eleganzz Wedding,+,5.0,2 Ratings,"Medical College Road Chevayur, Kozhikode",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.126Z
KGS EVENTS AND DECORATIONS,K,4.3,2 Ratings,"Puthiyapalam Puthiyapalam, Kozhikode",,09725389812,Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.126Z
Oregano Caterers,O,4.8,8 Ratings,"Thali Chalappuram Thaly, Kozhikode",,,Car Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Udupi,2025-05-27T10:24:00.126Z
