name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Dsouza Hotel And Catering Services,<,3.5,2 Ratings,"Angadibettu Havanje, Udupi",,,Drinking Water; Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Spice N Ice,<,3.7,825 Ratings,"Point Road Manipal Udupi Highway, Manipal",,,Chinese; Punjabi; Multicuisine,false,false,false,false,false,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Sri Gulab Caterers & Events,<,4.8,43 Ratings,"Androon Quilla, Raichur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Sri Maa Asapura Caterers,<,4.8,18 Ratings,"Gunj Road M G Road Raichur, Raichur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Train Zaika,<,4.1,"1,296 Ratings","Station Road Budhwari Bazar, Bilaspur-Chhattisgarh",,07411587292,Delivery; Dine-in; North Indian,false,false,false,true,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Sab Hospitality Services,<,4.9,144 Ratings,"5 Viram Khand Gomti Nagar, Lucknow",,08460247319,Caterers For Hospital; Caterers For Wedding,true,false,false,true,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Shetty Caterers,<,4.1,31 Ratings,"Guttu Kaup, Udupi",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
Delite Caterers,<,4.5,12 Ratings,"Gardimajal Road Krodashrama, Udupi",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Udupi,2025-05-27T10:28:00.493Z
