name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shivagiri Caterers,<,5.0,13 Ratings,"Perampalli Road Perampalli, Manipal",,08460201702,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.743Z
Ishani A to Z Event Management,<,4.7,17 Ratings,"Kundapura Kenchanur, Udupi",,08401605406,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.743Z
Udupi Caterers and Event Management,<,4.8,102 Ratings,"Alevoor Rampura Road Alevoor, Udupi",,08401936781,Home Delivery,true,true,true,true,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
Nithyadhar Caterers,<,4.1,33 Ratings,"Vederahobli Kundapura West, Udupi",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
Alok Events & Concepts,<,4.3,6 Ratings,"NH66 Main Road Tekkatte, Udupi",,09845451408,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
Dsouza Hotel And Catering Services,<,3.5,2 Ratings,"Angadibettu Havanje, Udupi",,,Drinking Water; Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
Friends Caterers,<,4.4,54 Ratings,"Katapafi Udupi Main Road Salmara, Udupi",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
Melona Caterers,<,4.6,32 Ratings,"Sh 67 Acchada Yenagudde, Udupi",,,Caterers; Caterers For Wedding,false,true,false,false,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
Yummys Kitchen,<,3.4,194 Ratings,"Nagar Vidyaratna Nagar, Manipal",,,Delivery; Dine-in; Kids Menu,true,false,false,false,false,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
Spice N Ice,<,3.7,825 Ratings,"Point Road Manipal Udupi Highway, Manipal",,,Chinese; Punjabi; Multicuisine,false,false,false,false,true,Caterers,Popular Caterers For Parties,Udupi,2025-05-27T10:29:07.744Z
