name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Udupi Caterers and Event Management,<,4.8,102 Ratings,"Alevoor Rampura Road Alevoor, Udupi",,08401936781,Home Delivery,true,true,true,true,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.922Z
Limewood Caterers & Hospitality Services,<,4.9,39 Ratings,"Court Road Udupi Courts, Udupi",,,Home Delivery,true,true,false,true,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.922Z
Shetty Caterers,<,4.1,31 Ratings,"Guttu Kaup, Udupi",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
S S Shamiyana,<,5.0,1 Rating,"Parkala Road Athradi, Udupi",,,Balloon Arch; Balloon Backdrop; Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Delite Caterers,<,4.5,12 Ratings,"Gardimajal Road Krodashrama, Udupi",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Friends Caterers,<,4.4,54 Ratings,"Shankarapura Shankarapura Udupi, Udupi",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Ocean Caterers,<,4.6,5 Ratings,"NH 66 Kaup, Udupi",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Manipal Food Court,<,4.6,23 Ratings,"Eshawar Nagar Manipal, Manipal",,,Delivery; Dine-in; South Indian,false,false,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Mummas Caterers And Event Managements,<,5.0,3 Ratings,"Kapu Shirva Road Kalathur Udupi, Udupi",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Aniketh Enterprises,<,4.5,1 Rating,"Nalku Beedi Moodubelle Udupi, Udupi",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Vasappa Hotel Prashanth,+,4.4,234 Ratings,"Karkala Main Road Belavai, Mangalore",,,Dine-in; Take away; South Indian,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
West End Caterers,W,4.8,3 Ratings,"Surathkal, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Shree Guru Nithyananda Caterers,S,4.3,14 Ratings,"3rd Block Katipalla, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Suraksha Caterers,S,4.6,34 Ratings,"Guddekopla Road Surathkal, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Surabhi Caterers,S,3.5,4 Ratings,"Krishnapura Surathkal, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.923Z
Ice N Spice Family Restaurant,+,3.9,287 Ratings,"Bajpe, Mangalore",,,Dine-in; Quick Bite Outlet; Chinese,false,false,false,false,false,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Harshitha Caterers,H,4.1,28 Ratings,"Kaikamba Main Road Kaikamba, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Jahnavi Events,J,5.0,1 Rating,"Gandhi Nagar Kavoor, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Sridevi Caterers,+,4.3,24 Ratings,"Pachanady Bondel, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Muthashi Homely Food,+,4.3,74 Ratings,"Old Shettys Road Derebail, Mangalore",,,South Indian; Kerala; Mangalorean,true,false,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Akshaya Caterers,A,4.1,27 Ratings,"Kb Lane Ashoknagar, Mangalore",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Sai Caterers & Event Management,+,3.8,92 Ratings,"Jail Road Karangalpady, Mangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Sharavu Caterers,S,4.9,9 Ratings,"Dambel Ashoknagar, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Webdhaba,W,4.0,1 Rating,"Urwa Stores Urwa, Mangalore",,,Home Delivery,false,true,false,false,false,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Sri Durga Caterers,S,4.8,4 Ratings,"Mandarabail Konchady, Mangalore",,,Home Delivery,false,true,false,false,true,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
Coastal Hub Family Restaurant,+,3.7,374 Ratings,"Ashoknagar Road Urwa, Mangalore",,,Dine-in; Fine Dining; South Indian,false,false,false,true,false,Caterers,Popular South Indian Caterers,Udupi,2025-05-27T10:30:05.924Z
