name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
V Reach Coaching Academy,<,4.8,104 Ratings,"Adi Udupi, Udupi",,08401879580,Tutorials For CA Final; Tutorials,true,true,false,false,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Sneha Tutorial College,<,4.8,246 Ratings,"Kalsanka VST Road, Udupi",,07411568185,Periodic Performance Tests,true,true,false,false,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Veta Guru Kripa English Training Academy,<,4.7,244 Ratings,"Vidyaranya Marg Adi Udupi, Udupi",,08401747259,Language Classes For English Conversation; Institutes,true,true,false,true,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Paata Shaala Tution And Coaching Institute,<,5.0,21 Ratings,"Karkala Highway Eshwar Nagar, Manipal",,08904613208,Tutorials; Language Classes For English Conversation,true,true,false,true,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Shree Guru Coaching Academy,<,5.0,217 Ratings,"Saligrama, Udupi",,08904898725,Tutorials,true,true,false,true,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Prakash Institute,<,4.7,18 Ratings,"Kharvikeri Road Kundapura, Udupi",,08401785087,Tutorials For BA; Tutorials,true,true,false,true,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Trisha Classes,<,4.3,237 Ratings,"Court Road Udupi Courts, Udupi",,,Tutorials For CA Final; Tutorials,true,true,false,true,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Gaargi Tuition Centre,<,5.0,38 Ratings,"Kinnimulki Kinnimulki, Udupi",,08105606975,CCTV Camera; First Aid Kit; Parent Interaction,true,true,false,false,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Fortune Institute Of Computer Education,<,4.8,137 Ratings,"PPC Road Udupi Courts, Udupi",,08460485234,Tutorials; Computer Training Institutes,true,true,true,true,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
Tech2people,<,4.9,351 Ratings,"Ananth Nagar Ananth Nagar, Manipal",,08401764495,Mock Tests,true,true,false,false,true,Tutorials,,Udupi,2025-05-27T11:44:53.255Z
