name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Om Computers,<,4.8,32 Ratings,"Court Road Court Road, Udupi",,08401486592,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.783Z
Ferret Solutions Club Laptop,<,4.0,100 Ratings,"Church Road Adi Udupi, Udupi",,08401763065,Second Hand Laptop Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.783Z
Creative Computers,<,4.8,302 Ratings,"NH 66 Brahmavara, Udupi",,08401847181,Computer Repair & Services-HCL; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.783Z
Sky Net Computers,<,4.5,28 Ratings,"Fish Market Road Adi Udupi, Udupi",,08401769115,Computer Repair,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.783Z
Computer Shoppe,<,3.9,49 Ratings,"Main Road Kmc, Manipal",,09035032549,Assembled Computer Dealers; Computer Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.783Z
Noronha Systems,<,4.8,66 Ratings,"Via Shirva Shankarpura, Udupi",,08460478213,CCTV Dealers; CCTV Installation Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.783Z
Par Infotech,<,4.7,49 Ratings,"Manapalla Road Aln Layout, Manipal",,08105385095,CCTV Dealers; CCTV Installation Services,true,true,true,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.783Z
M2M Repairs,<,5.0,"2,590 Ratings","Main Road Manipal Udupi Highway, Manipal",,08460465614,Computer Repair & Services; Laptop Repair & Services,true,true,true,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.784Z
Bright System Computer Sales And Service,<,5.0,4 Ratings,"Opp Nh66 Kundapura, Udupi",,09725482836,Computer Repair & Services; Laptop Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.784Z
M2M Repairs,<,5.0,"2,590 Ratings","Madhav Nagar Madhav Nagar, Manipal",,08401978407,Computer Repair & Services; Laptop Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.784Z
TD Computers,+,5.0,11 Ratings,"PPC Cross Road Adi Udupi, Udupi",,09606278550,Computer Repair & Services-Acer; CCTV Installation Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.784Z
Lanbit Systems,+,4.3,42 Ratings,"Sadanand Towers Udupi Courts, Udupi",,,Computer Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.784Z
Diya It Solutions,D,4.6,4 Ratings,"K M Marg KM Marg, Udupi",,08401774837,Computer Dealers-Dell; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.784Z
Computech Computers,+,4.8,20 Ratings,"Old Fish Market Road Brahmavara, Udupi",,08401946678,Computer Printer Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.784Z
Prime Computers,+,3.9,133 Ratings,"Adi Udupi, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.785Z
Reliable I T Solutions,R,3.9,16 Ratings,"Road 7th Cross Tellar Road, Karkala",,,CCTV Installation Services; Computer Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.785Z
Multi Tech Tool,+,5.0,7 Ratings,"Eshwarnagar Parkala Road Manipal, Manipal",,08511763816,Wifi Internet,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.785Z
Express Computers,+,4.0,120 Ratings,"Municipal Road Kundapura, Udupi",,,Computer Dealers-Acer; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.785Z
V-Tech Computer Education & RV IT SOLUTIONS,+,4.9,61 Ratings,"Kundapura Main Road Kundapura, Udupi",,,CCTV Dealers; Computer Training Institutes,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.785Z
Diamond Electronics Service Centre,D,3.7,10 Ratings,"Santhekatte, Udupi",,,Home Appliance Repair & Services-Philips; AC Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.785Z
Ashel Info Tech,A,5.0,29 Ratings,"Sushan Plaza Kundapura, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Netwatch Systems,+,5.0,1 Rating,"Tiger Circle Kmc, Manipal",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Jio Tech Solutions,+,4.2,24 Ratings,"Market Road Karkala, Karkala",,,Computer Repair; Computer Accessory Repair; Computer Hardware Repair,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Security Nation,S,4.7,12 Ratings,"Volakadu Road Udupi Courts, Udupi",,,CCTV Dealers; CCTV Installation Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Gizmo Udupi (JioMart Digital Partner),+,4.4,114 Ratings,"Udupi -Manipal Road Kunjibettu, Udupi",,07947196679,Laptop Repair & Services-Dell; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Maxus Computech,+,4.6,19 Ratings,"GB Pant Road Adi Udupi, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Pushpa Enterprises,+,5.0,22 Ratings,"Nayarkere Road Brahmagiri, Udupi",,,Computer Repair & Services; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Unix Computers,+,5.0,9 Ratings,"NH66 Opp SMS College Brahmavara, Udupi",,,Computer Repair & Services; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Computer Galaxy (JioMart Digital Partner),+,4.4,311 Ratings,"Chittaranjan Circle, Udupi",,,Company Authorised Dealer,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Velectronix,+,4.8,"1,445 Ratings","Eshwar Nagar, Manipal",,,Laptop Repair & Services-Toshiba; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
TVS Electronics Limited,T,4.1,317 Ratings,"Udupi Manipal Road Shivalli, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Laptech Solutions,+,4.9,228 Ratings,"Kadiyali Temple Road Kadiyali, Udupi",,,Computer Repair & Services-Apple; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Sri Durga Mobile Care,+,4.9,215 Ratings,"City Bus Stand Road Shiribeedu, Udupi",,,Corporate Courier,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.786Z
Upadhyaya Electronic Devices,+,3.4,194 Ratings,"Udupi Courts, Udupi",,,Mobile Phone Repair & Services-Sony; Electronic Goods Showrooms,false,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
ComputerHub,+,5.0,128 Ratings,"Udupi-Manipal Highway Kunjibettu, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Square Computers,+,4.9,127 Ratings,"Karanta Street Saligrama, Udupi",,,Computer Software Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Shanthi Computer Centre,+,4.3,128 Ratings,"Main Road Byndoor, Udupi",,,Computer Software Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Future Computers,+,4.6,79 Ratings,"10 Ward Santhekatte, Udupi",,,Computer Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Mendon Computers,+,4.8,68 Ratings,"Geethanjali Road Adi Udupi, Udupi",,,Computer Repair & Services-HP; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
A 3 Tech Solutions,+,4.9,62 Ratings,"Saligrama, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
iRepair India - Manipal,+,3.6,73 Ratings,"Opposite MIT Mit, Manipal",,,Mobile Phone Repair & Services-Apple; Mobile Phone Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
The RepairShop,+,4.7,54 Ratings,"Ananthnagar Manipal, Manipal",,,Mobile Phone Dealers; Mobile Phone Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Electronics Bazaar,+,5.0,47 Ratings,"Maruthi Veethika Mosque Road, Udupi",,,Computer Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Ims Computers,+,4.7,49 Ratings,"Karavali Bypass Adi Udupi, Udupi",,,Computer Software Dealers-Tally; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Phonix Computers,+,4.8,45 Ratings,"Market Road Karkala, Karkala",,,Assembled Computer Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Sumadhura Enterprises,+,4.9,41 Ratings,"Basarur, Udupi",,,Computer Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Prime Computers (Paid),+,4.0,41 Ratings,"Mit, Manipal",,,Computer Dealers-Acer; Computer Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Atharv Computer,+,4.9,26 Ratings,"Beach Road Koteshwara, Udupi",,,CCTV Dealers; CCTV Installation Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Chotaweb,C,4.8,24 Ratings,"Pervaje Road Karkala, Karkala",,,Assembled Computer Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
SUN COMPUTERS,S,3.8,30 Ratings,"Kadekoppala, Udupi",,,Computer Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Sys-tech Computers,+,3.9,29 Ratings,"End Point Road Vidyaratna Nagar, Manipal",,,Company Authorised Dealer,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.787Z
Sys-Tech Computers,+,3.9,29 Ratings,"Kasturba Hospital Premises Mit, Manipal",,,Assembled Computer Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Comptech Computer Sales & Services,+,4.7,24 Ratings,"Kadiyali Kadiyali, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Universal Computers,+,4.7,23 Ratings,"Laxmindra Nagar Laxmindra Nagar, Manipal",,,Computer Dealers-Apple; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
The Computer Shop,+,4.8,21 Ratings,"Brahmagiri Main Road Ajjarkad, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Newgen Computers Kundapura,+,4.7,18 Ratings,"Swagata Gopuram Kundapura, Udupi",,,Computer Dealers; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Care Touch Laptop Solutions,+,5.0,16 Ratings,"Malpe Road Adi Udupi, Udupi",,,Computer Repair; Computer AMC; Computer Hardware Repair,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Net Ex It Solutions,+,4.8,15 Ratings,"Main Road Kundapura Kundapura, Udupi",,,Wireless CCTV Dealers; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Reliable It Solution,R,3.9,16 Ratings,"Salmar, Karkala",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Compucare Systems,+,4.3,14 Ratings,"Near City Bus Stand Shiribeedu, Udupi",,,Company Authorised Dealer,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Lenovo Exclusive Store,+,4.6,13 Ratings,"Manipal Udupi Highway, Manipal",,,Computer Dealers; Mobile Phone Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
S K Computers,+,4.7,11 Ratings,"NH 66 Udyavara, Udupi",,,Computer Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Wisdom E World,+,4.9,10 Ratings,"Manipal Main Road Kunjibettu, Udupi",,,Access Control System Dealers; Mobile Phone Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Maxmann Computech,+,4.7,10 Ratings,"P P C Road Udupi Courts, Udupi",,,Laptop Dealers-Dell; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Yatronika,+,4.3,10 Ratings,"Shanthini Kethana Road Kundapura, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Priya Comput,+,3.9,11 Ratings,"K M Marg Adi Udupi, Udupi",,,Company Authorised Dealer,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
E Brain Computers,+,4.9,7 Ratings,"Road Kundapura Kundapura West, Udupi",,,Computer Repair & Services-Dell; Computer Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
C Lab,C,4.1,8 Ratings,"Nh 17 Katapadi Udupi, Udupi",,,Computer Repair & Services; Laptop Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Q-Lab Computer Technology,+,4.0,6 Ratings,"Bypass Road Koteshwara, Udupi",,,CCTV Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
Technico Computer Sales And Services,T,4.6,5 Ratings,"Saibarkatte, Udupi",,,Computer Dealers; Computer Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
SV IT Solution,+,4.6,5 Ratings,"Kelapete Shiroor Shiroor, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.788Z
S M Tech Care,S,5.0,4 Ratings,"Kundapura Main Road Kundapura, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Unix Computers & Security Solutions,+,2.6,7 Ratings,"NH 66 Brahmavara, Udupi",,,Company Authorised Dealer,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Darshana Tech Solutions,D,4.5,4 Ratings,"Kuchoor Road Hebri, Udupi",,,Computer Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Star Computers,+,3.4,5 Ratings,"Ground Floor Kaup, Udupi",,,CCTV Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Tunga Infotech,+,4.8,3 Ratings,"Circle  Kundapura Kundapura, Udupi",,,Computer Hard Disk Repair & Services; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Sunrise Solutions(paid Client),S,4.8,3 Ratings,"Rajaji Marg, Udupi",,,CCTV Dealers; CCTV Installation Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
New Zoom,+,4.3,3 Ratings,"Main Road Kaup, Udupi",,,Computer Repair; Computer Repair At Home,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Vikyath Electronics,V,4.3,3 Ratings,"Market Road Karkala, Karkala",,,Electronic Goods Showrooms; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Bright enterprises,+,3.7,3 Ratings,"Manipal Manipal Udupi Highway, Manipal",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Smart Tech Computer And Ac Solutions,S,3.7,3 Ratings,"Kadri Katte Kota, Udupi",,,AC Repair & Services; CCTV Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Sri Durga Computers,+,3.5,3 Ratings,"Main Bus Stand Karkala, Karkala",,,CCTV Dealers; CCTV Installation Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Green Chip IT Solutions,+,5.0,2 Ratings,"Church Road Kundapura West, Udupi",,,Company Authorised Dealer,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
E Zone Infotech,+,5.0,2 Ratings,"Court Main Road Udupi Courts, Udupi",,,Computer Software Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Kanchan Infotech,+,5.0,2 Ratings,"Road Kundapura Market Udupi, Udupi",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Zeta Technologies,Z,5.0,2 Ratings,"Rajaji Marg, Udupi",,,Laptop Repair & Services; Computer Hardware Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
On Time Services,O,5.0,2 Ratings,"Melpangthi Shiroor, Udupi",,,Laptop Repair & Services; Computer Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.789Z
Laptop Repairs,L,5.0,2 Ratings,"Fish Market Road Udupi HO, Udupi",,,Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Fastech LAPTOP & PC Services,+,4.8,2 Ratings,"K M Marg Udupi HO, Udupi",,,Computer Printer Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
VRS Enterprises,+,4.0,2 Ratings,"NH-66  Koteshwara Koteshwara, Udupi",,,Hybrid,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Cyber City Computers,+,4.0,2 Ratings,"PPC Road Udupi Courts, Udupi",,,Computer Dealers; CCTV Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Systron,+,3.0,2 Ratings,"Udupi-Manipal Road Kadiyali, Udupi",,,Company Authorised Dealer,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Delta Computech,+,2.5,2 Ratings,"Kinnimulky Kinnimulki, Udupi",,,Laptop Dealers; CCTV Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Mobile Computer Solutions,+,5.0,1 Rating,"Chitpady Road Chitpadi, Udupi",,,Mobile Phone Repair & Services; Mobile Phone Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Shri RAM Tech Solution,+,5.0,1 Rating,"Near Karnataka Bank Kota, Udupi",,,Computer Dealers; CCTV Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Laasya Computes,+,5.0,1 Rating,"NH 66 Tekkatte, Udupi",,,Laptop Repair & Services; Computer Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
New Cell Sollution,+,5.0,1 Rating,"Badagupet Adi Udupi, Udupi",,,Mobile Phone Repair & Services; Mobile Phone Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Cctech Hebri,+,4.5,1 Rating,"Kelapete Hebri, Udupi",,,Wireless CCTV Dealers; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Electronics,+,4.0,1 Rating,"Court Road Court Road, Udupi",,,Laptop Repair & Services; Laptop Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.790Z
Haripriya Power Systems,H,3.5,1 Rating,"Ananthashayana Road Karkala, Karkala",,,Computer Repair & Services; CCTV Dealers,true,true,false,false,false,Laptop Repair & Services,,Udupi,2025-05-27T10:37:15.791Z
