name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Denta Care Dental Clinic,<,4.9,767 Ratings,"Udupi Circle Adi Udupi, Udupi",,08401649383,,true,false,true,true,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.347Z
Sooda Dental Clinic,<,4.5,666 Ratings,"K M Marg Adi Udupi, Udupi",,08401687046,,true,true,true,true,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.347Z
Gomes Dental and Implant Centre,<,5.0,20 Ratings,"KEB Road Karkala, Karkala",,09725825242,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.347Z
Anand Dental and Orthodontic Centre,<,4.8,18 Ratings,"Court Road Court Road, Udupi",,,,true,false,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.348Z
Exceldent Superspeciality Dental Clinic,<,5.0,450 Ratings,"Hotel Ocean Pearl Kadiyali, Udupi",,08971362027,,true,true,true,true,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.348Z
Goretti Hospital,<,4.1,59 Ratings,"Kallianpur Kallianapura, Udupi",,09740283316,,true,true,false,true,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.348Z
Shambhavi Dental Clinic,<,4.0,4 Ratings,"Hiriangady, Karkala",,08488096044,,true,true,false,false,false,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.348Z
Kiran Polyclinic & Dental Speciality Clinic,<,4.9,"1,070 Ratings","Old State Bank Road-Adi Udupi, Udupi",,08511289126,,true,true,false,true,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.348Z
Smile Design Dental Clinic,<,5.0,59 Ratings,"Uday Kitchen Next Brahmavara, Udupi",,07041878825,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
Hitech Medicare Hospital And Research Centre,<,4.5,"2,185 Ratings","NH 66 Ambalapadi, Udupi",,07383147362,,true,true,true,true,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
Dr. Anuradha (Sooda's Dental Clinic),D,4.5,595 Ratings,"K M Marg Km Marg, Udupi",,07022231316,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
Mahesh Hospital,+,4.1,180 Ratings,"Nh 66 Service Road Brahmavara, Udupi",,07383235601,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
Anand Centre For Orthodontic and Dental Care,+,4.0,43 Ratings,"District Court Road Court Road, Udupi",,09980655186,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
Sunag Orthocare And Multi Speciality Centre,+,3.5,103 Ratings,"Sudheendra Marg Kunjibettu, Udupi",,,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
Gardens Dental Care,+,5.0,12 Ratings,"Kemmannu Cross Road Santhekatte, Udupi",,,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
Parkala Dental Clinic,+,4.7,87 Ratings,"169A Parkala Main Road Parkala, Udupi",,,,true,true,false,false,true,Best Dentists,,Udupi - Book Appointment Online,2025-05-27T10:41:14.349Z
