name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sunag Orthocare And Multi Speciality Centre,<,3.5,103 Ratings,"Sudheendra Marg Kunjibettu, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Dr.Ajith Kumar (Sri Ramakrishna Multispeciality Hospital),<,4.9,216 Ratings,"Kodladi Kundapura, Udupi",,08460382664,,true,true,false,true,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Shree Amritheshwari Clinic,<,3.7,9 Ratings,"Mynadi Road Kota, Udupi",,,,true,false,false,false,false,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Mahesh Hospital,<,4.1,180 Ratings,"Nh 66 Service Road Brahmavara, Udupi",,07383235601,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Lifeline Clinic and Research Institute,<,4.2,418 Ratings,"Station Road Station Road, Jalgaon",,,,true,true,false,true,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Skin Care and Laser Centre,<,4.1,314 Ratings,"Krishna Mutta Road Udupi Courts, Udupi",,08401797739,,true,false,false,true,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Jalaja Skin Clinic,<,3.8,125 Ratings,"Post Old Post Office Road, Udupi",,,,true,true,false,true,false,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Lakme Salon,<,4.4,920 Ratings,"Moodu Sagri Manipal, Manipal",,,,true,true,true,true,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Mitra Hospital,<,3.9,194 Ratings,"Old Post Office Road Km Marg, Udupi",,,,true,true,false,false,false,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.970Z
Skin Win Clinic,<,4.6,129 Ratings,"Santhekatte-Kalathur, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Skin Win Clinic,+,4.6,87 Ratings,"Court Road Court Road, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Subhash Kini,D,4.4,90 Ratings,"Adi Udupi, Udupi",,,,true,false,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Vagmi Healthcare,+,5.0,14 Ratings,"Udyavara Udyavara, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Ayurvedashrama and Panchakarma Day Care Clinic,A,4.8,14 Ratings,"Kumbhashi, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Satish B Pai,D,4.8,12 Ratings,"Manipal, Manipal",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Ramakrishna Acharya P,D,4.3,12 Ratings,"2nd Cross Rajaji Marg, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
New Skin Clinic,N,4.0,11 Ratings,"Main Road Kundapura, Udupi",,,,false,true,false,false,false,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Yashodhara M,D,4.2,10 Ratings,"Christ King Primary School-Karkala, Karkala",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Rama Devadiga,D,4.7,8 Ratings,"Kadiyali Udupi Ho, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Devadiga Clinic,D,4.3,7 Ratings,"Shri Vinayaka, Udupi",,,,false,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Jitesh Shetty,D,4.0,3 Ratings,"near Adarsh Hospital KM Marg, Udupi",,,,true,true,false,false,false,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Anvika Mittal (Kasturba Hospital),D,5.0,2 Ratings,"Kasturba Hospital Manipal, Manipal",,,,false,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Shreekrishna Aithal (Mitra Hospital),D,5.0,2 Ratings,"Old Post Office Road KM Marg, Udupi",,,,false,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Sushruta Clinic,S,5.0,2 Ratings,"Fisheries Road-Kota Kota, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. K B Shetty,D,5.0,2 Ratings,"Km Marg, Udupi",,,,false,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Freya Aesthetic Clinic Dr Sapna S,F,4.5,2 Ratings,"Mosque Road, Udupi",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Sripathi H (Dr. Sripathi Skin And Cosmetology Centre),D,4.0,2 Ratings,"Raaj Towers Udupi HO, Udupi",,,,false,true,false,false,false,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr Vadiraj Skin Doctor Clinic,D,2.5,2 Ratings,"Jonatha Fish Mill Road Kundapura, Udupi",,,,false,true,false,false,false,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Smitha Prabhu S (Kasturba Hospital),D,5.0,1 Rating,"Hebri Road eshwar nagar, Manipal",,,,false,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
Dr. Balachandran C (Tma Pai Hospital),D,4.5,1 Rating,"C/O Tma Pai Hospital Manipal, Manipal",,,,true,true,false,false,true,Best Dermatologists,,Udupi - Book Appointment Online,2025-05-27T10:39:53.971Z
