name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ishani A to Z Event Management,<,4.7,17 Ratings,"Kundapura Kenchanur, Udupi",,08401605406,Caterers; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.921Z
Glitz N Glam Events,<,4.7,81 Ratings,"Upendra Building Adi Udupi, Udupi",,09054714263,On Site Services; Book Appointment,true,true,false,true,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.921Z
Lewis Flowers and Decorators,<,4.7,20 Ratings,"City Centre Mall Brahmavara, Udupi",,09980033790,Car Decoration,true,true,false,true,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.921Z
Vinnu Enterprises,<,4.5,4 Ratings,"Mission Compound Adi Udupi, Udupi",,,Event Organisers For Dance Parties; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Sangeeth Musics (Paid),<,4.5,45 Ratings,"Horpet Circle SS Puram, Tumkur",,,Bands; Orchestra Bands,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Vibhava Creations,<,4.5,342 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Masters Event Management,<,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Sri Karpagarani Kerala Chenda Melam And A To Z Wedding Planners,<,3.8,110 Ratings,"Sabapathy Street Sangliandapuram, Trichy",,,Caterers; Chenda Melam Players,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Singer Posh James,<,5.0,6 Ratings,"Hospital Bhayandar West, Thane",,07411948322,Individual Performer; Live Music; Live Performances,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
First Choice Bartender Event Management,<,4.0,1 Rating,"Apollo Bunder, Mumbai",,08050991738,Bartender Services; Cocktail Party Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Enzoey.com,+,4.5,131 Ratings,,,08488949380,Bakery; Cake Shops; Home Delivery,true,true,true,true,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Abhinandan Events Pvt. Ltd.,+,4.4,389 Ratings,"Mudhliyar Nagar Rukhmini Nagar, Amravati",,,Book Appointment,true,true,false,true,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
All In One Event,+,4.5,27 Ratings,"South Tukoganj, Indore",,08401427254,Sound Systems; Lighting; DJ,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Miqqi Events,+,4.1,71 Ratings,"Sankar Marg Sahkar Marg, Jaipur",,,Event Organisers For Dance Parties; Advertising Agencies,true,true,false,true,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Ebk Event Management Pvt Ltd,+,4.5,52 Ratings,"Extension 2 Nangloi Extension, Delhi",,08511787702,,true,true,false,true,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Anushka Tourist,+,4.5,30 Ratings,"Malpe Fort Yard Malpe, Udupi",,,Tour Operators For Sight Seeing; Tour Operators,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Lobo DJ & Decorator,+,4.5,12 Ratings,"Market Road Karkala, Karkala",,,Flower Decorators; Caterers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Carol Decorators & Event Organisers,+,5.0,8 Ratings,"to Darmasthala Road Market Lane, Karkala",,,Balloon Decorators; Event Organisers,false,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Lewis Decorators,+,4.7,20 Ratings,"NH-66 Brahmavara, Udupi",,,Flower Decorators; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
IT'S CELEBRATION TIME,+,4.3,10 Ratings,"VST ROAD Adi Udupi, Udupi",,,Balloon Arch; Balloon Backdrop; Delivery,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.922Z
Bhargavi Events,+,4.8,3 Ratings,"Bargavi Fashion Rajaji Marg, Udupi",,,Dance Troupe; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
Prashanth Kotian Photography,+,5.0,367 Ratings,"Service Road VST Road, Udupi",,,Videography,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
Surprise Engineers,+,4.8,315 Ratings,"Kundapura Kundapura, Udupi",,,Event Management Companies; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
Pop Up Party,+,4.8,262 Ratings,"Udupi-Manipal Raod Mit, Manipal",,,Balloon Decorators; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
The Da Vinci Event Planners,+,4.4,109 Ratings,"Kinnimulki, Udupi",,,Event Organisers For New Year Party; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
Ferns Event Management,+,4.9,89 Ratings,"Main Road Shirva Udupi, Udupi",,,Shamiyana Dealers; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
Raga Productions,+,4.8,80 Ratings,"Kunjibettu Ambalapadi, Udupi",,,Photographers; Wedding Planners,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
Betterview Events,+,4.9,75 Ratings,"Shanthadurga Complex Shiribeedu, Udupi",,,Flower Decorators; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Udupi,2025-05-27T10:45:24.923Z
