name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ferns Event Management,<,4.9,89 Ratings,"Main Road Shirva Udupi, Udupi",,,Shamiyana Dealers; Event Organisers,true,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.246Z
All In One Event,<,4.5,27 Ratings,"South Tukoganj, Indore",,08401427254,Sound Systems; Lighting; DJ,true,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.246Z
Yojna Inc,<,3.9,30 Ratings,"Akshay Park Gokul Road, Hubli",,,Digital; Flex; Corporate Travel,true,false,false,true,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.246Z
Align Ads And Events,<,3.9,9 Ratings,"Hebbal Main Road Metagalli, Mysore",,,Event Organisers For Dance Parties; Event Organisers,false,false,false,false,false,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.246Z
Ambaari Audio Visuals & Events,<,4.6,23 Ratings,"2nd Cross Hinkal, Mysore",,,Corporate Companies; Event Organisers,true,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Tarana Entertainment Unlimited,<,4.3,23 Ratings,"Baina Vasco Da Gama, Goa",,,Banquet Hall Decoration; Car Decoration,true,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Sweetmix,<,5.0,6 Ratings,"Corlim Carambolim, Goa",,09980783079,DJ; Live Music; Live Performances,true,false,false,true,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Eventual Event Management,<,2.5,1 Rating,"Kovoor Cherukulathoor, Kozhikode",,,Event Management Companies; Auditoriums,true,false,false,false,false,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Suregenius Events,<,4.1,17 Ratings,"Alto Porvorim, Goa",,,Corporate,true,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Belgaum Chamber Of Commerce & Industries,<,4.4,30 Ratings,"Khanapur Road Udyambag Belgaum, Belgaum",,,Exhibition Halls; Associations Of Industries,false,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Koncept,+,5.0,35 Ratings,"D Cross Kengeri Satelite Town, Bangalore",,,24 Hours,true,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Epoch Events,E,4.8,2 Ratings,"Ashwathnagar Srigandhada Kaval, Bangalore",,,Event Organisers For Dance Parties; Flower Decorators,true,false,false,false,false,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Laeta Event Planners,+,5.0,3 Ratings,"College Road Chikbanavara, Bangalore",,,Event Management Companies For Video Conferencing; Flower Decorators,false,false,false,false,false,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
Raana's Event Hub,+,4.1,14 Ratings,"Kirloskar Hessargatta Main Road, Bangalore",,,24 Hours; Decorator; Car Decoration,true,false,false,false,true,Event Organizer,Popular Seminar Organisers,Udupi,2025-05-27T10:46:27.247Z
