name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vinnu Enterprises,<,4.5,4 Ratings,"Mission Compound Adi Udupi, Udupi",,,Event Organisers For Dance Parties; Event Organisers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.797Z
Lewis Flowers and Decorators,<,4.7,20 Ratings,"City Centre Mall Brahmavara, Udupi",,09980033790,Car Decoration,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.798Z
Galaxy Event'z,<,5.0,1 Rating,"Indrali Indrali, Manipal",,09035138728,Event Organisers; Decorators,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.798Z
Lewis Decorators,<,4.7,20 Ratings,"NH-66 Brahmavara, Udupi",,,Flower Decorators; Event Organisers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.798Z
J Dreams Event Management,<,4.4,48 Ratings,"Main Road Kundapura, Udupi",,,Car Decoration,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.798Z
Shree Shashikala Electricals And Sound Systems,<,4.5,27 Ratings,"Manipal Parkala Road Mit, Manipal",,,Decorators Stage Backdrop; Event Organisers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.798Z
Sound Mitz,<,4.8,18 Ratings,"Kadekar Ambalapadi, Udupi",,,Event Organisers; Event Management Companies,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.799Z
Mummas Caterers And Event Managements,<,5.0,3 Ratings,"Kapu Shirva Road Kalathur Udupi, Udupi",,,Caterers; Event Organisers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.799Z
Blue Heaven Events,<,5.0,3 Ratings,"Mother Enclave Biulding Barkur, Udupi",,,Event Organisers; Event Management Companies,true,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.799Z
Prabha Arts And Decorators Event management Company,<,5.0,2 Ratings,"Udupi Kadthala, Udupi",,,Event Organisers; Event Management Companies,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.799Z
DJ GANESH,+,5.0,2 Ratings,"Kinnimulky Kinnimulki, Udupi",,,Event Organisers; Birthday Party Organisers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.799Z
Carol Events,C,4.8,2 Ratings,"Brahmavar Brahmavara, Udupi",,,Car Decoration,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Udupi,2025-05-27T10:47:01.799Z
