name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Raju Driver,<,3.0,2 Ratings,"Thegarcy Byndoor, Udupi",,,Driver Service Agents; Driver Service Agents For Hourly Basis,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.462Z
Sudhi Driver,<,4.9,4 Ratings,"Sathekatte Santhekatte, Udupi",,,Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.463Z
Directionguru,<,3.9,"3,694 Ratings","Defence Lab Road Ratanada, Jodhpur",,,Overseas Placement,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.463Z
Prashanth,<,3.7,3 Ratings,"Ambagil Doddangudde, Udupi",,,Driver Service Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.463Z
Driver Any Vehicles,<,2.8,2 Ratings,"Vp Nagar Kunjibettu, Udupi",,,Car Rental; Car Rental For Outstation,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.463Z
Sai Janani Tours,<,4.8,171 Ratings,"MCC Old Market Surathkal, Mangalore",,,Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.463Z
Tejas Tours & Travels,<,4.8,7 Ratings,"Mangaluru Kavoor, Mangalore",,,Travel Agents; Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.463Z
Seenu Tours and Travels,<,4.8,7 Ratings,"Marakada Kavoor, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.464Z
SM Enterprises,<,4.8,485 Ratings,"Merry Hill Padavinangady, Mangalore",,08460481779,Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.464Z
Pandu Tours And Travels,<,4.8,68 Ratings,"Sujikal Gudde Kavoor, Mangalore",,08511846618,Airport Taxi; Corporate; Chauffeur Driven,true,true,false,true,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.464Z
Mangalore Call Drivers,+,4.8,942 Ratings,"Jyothinagar Yeyyadi, Mangalore",,,Driver Service Agents; Driver Service Agents For Hourly Basis,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.464Z
Anna Maria Travels,+,4.9,53 Ratings,"Padil Padil, Mangalore",,,Tour Packages; Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.464Z
24 Hour Drivers,2,4.9,8 Ratings,"Bendoorwell Kankanady, Mangalore",,,Car Rental; Car Rental For Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.465Z
Mangaladevi Tourists,+,3.5,28 Ratings,"Near Mangaladevi Temple Bejai, Mangalore",,08511993903,Travel Agents; Car Rental,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.465Z
Mangalore Tourist & Taxi,+,4.8,611 Ratings,"Naguri Kankanady, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.465Z
Mangaladevi Travels Mangalore,+,3.7,17 Ratings,"Mangaluru Bolar, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.465Z
Mf Car Rental,+,4.5,1 Rating,"Kotekare Kotekar, Mangalore",,,Self Driven,false,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.465Z
Sb Travels And Services,S,5.0,3 Ratings,"Sultan Street Bhatkal, Karwar",,,Car Rental; Travel Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.465Z
Freelance Driver,F,5.0,2 Ratings,"Poinachi Vidyanagar, Kasaragod",,,Car Rental; Car Rental For Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.466Z
Quick Driver Service,Q,5.0,1 Rating,"2nd Cross Vinoba Nagar, Shimoga",,,Driver Service Agents; 24 Hours Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.466Z
Travelers Choice Tour&Travels,+,4.9,42 Ratings,"3rd Cross Chikmagalur Bus Stand, Chikmagalur",,,Car Rental; Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.466Z
Sai Raam Travels,S,3.0,2 Ratings,"Rathnagiri Road, Chikmagalur",,,Self Driven,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.466Z
Sri Honnatthi Travels,+,3.9,19 Ratings,"B.B. Road Durgigudi, Shimoga",,,Car Rental; Travel Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.466Z
Koushik Tours & Travels,+,4.5,4 Ratings,"MG Road Chikmagalur, Chikmagalur",,,,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.467Z
Sirsi Marikamba Travels,+,4.3,7 Ratings,"Shimoga Vinoba Nagar, Shimoga",,,Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.467Z
Manavi Tours and Travels,M,4.0,1 Rating,"Housing Board Chikmagalur Fort, Chikmagalur",,,Car Rental; Travel Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.467Z
Himpana Tour Travel,+,4.0,1 Rating,"Tarikere Karakuchi, Chikmagalur",,,Self Driven,false,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.467Z
Brother Tours And Travels,+,4.6,4 Ratings,"2nd Corss Gandhi Nagar, Shimoga",,,Car Rental; Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.467Z
Emergency Driver Service,E,5.0,1 Rating,"Balraj Urs Road Shimoga HO, Shimoga",,,Driver Service Agents; 24 Hours Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.467Z
Shimoga Driving Service,+,2.5,2 Ratings,"Urs Road Basavanagudi Shimoga, Shimoga",,,Driver Service Agents; Heavy Vehicle Driver Service Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.468Z
Dreams Tours and Travels,+,4.8,137 Ratings,"Vijaypura Adarsha Nagara, Chikmagalur",,09054124824,Self Driven; Corporate,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.468Z
Ct Travels Tour World,+,5.0,1 Rating,"Bh Road Bh Road Bhadravathi, Bhadravathi-Karnataka",,,Car Rental; Travel Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.468Z
Amma Tours and Travels,+,4.7,322 Ratings,"Hegde Road Gokarna, Gokarna",,09054015463,Car Rental; Car Rental For Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.468Z
Ajjampura Tours And Travels,A,5.0,1 Rating,"TH Road Ajjampura, Chikmagalur",,,Car Rental; Taxi Services,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.468Z
Trimurti Tours And Travels,T,3.9,29 Ratings,"Car Street Kumta, Karwar",,,Car Rental; Travel Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.468Z
Visit Coorg Tourism,+,4.8,17 Ratings,"Mahadevpet Road Madikeri, Coorg",,08511988343,,true,true,false,true,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.468Z
Safe Drive Coorg,+,5.0,44 Ratings,"Abbey Falls Road Madikeri, Coorg",,,Airport Taxi; Corporate; Chauffeur Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Sri Annapurneshwari Travels,+,4.8,9 Ratings,"8th E Cross Santhi Nagar, Hassan",,07041672063,Car Rental; Travel Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Sri ram travels,S,5.0,1 Rating,,,,Driver Service Agents,false,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Mrn Tours And Travels,+,4.5,1 Rating,"Tempo Stand Hassan City, Hassan",,,Car Rental; Car Rental For Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Shivganga Bourvells And Travells,+,3.5,4 Ratings,"Pura Road CHANNAPATNA EXTENSION, Hassan",,,Car Rental; Travel Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Annapurneshwari Travels,+,4.5,2 Ratings,"Salgame Road Vidyuthnagara, Hassan",,,Sight Seeing Planning,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Annapurneshwari Travels,+,5.0,1 Rating,"Road CHANNAPATNA EXTENSION, Hassan",,,Car Rental; Travel Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Blue Lagoon Holidays,+,4.7,93 Ratings,"Chiravakku Chiravakku, Taliparamba",,,Travel Agents; Bus Services,true,true,false,true,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Kallus travels,K,3.8,5 Ratings,"Azhikode Azhikode, Kannur",,,Taxi Services; Call Taxi Services,false,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.469Z
Hani Tours And Travel,+,3.0,2 Ratings,"Ranebennur, Ranebennur",,,Car Rental; Bus Services,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
SiyaTaxi,S,4.8,3 Ratings,"Puthiyatheru, Kannur",,,Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
Universal Associates,U,4.3,3 Ratings,"Karwar Naval Base, Karwar",,,Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
Devraj Travel Agent,D,4.0,1 Rating,"Nes Extention Hosadurga, Chitradurga",,,Travel Agents; Bus Services,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
Drivers Club Centre,D,4.2,31 Ratings,"Casa Marina Complex Talap, Kannur",,,Driver Service Agents; Driver Service Agents For Hourly Basis,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
JEEVAN Cabs Tours & Travels,+,5.0,7 Ratings,"Shamanur Road Biet, Davangere",,,Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
Jaya Tours And Travels,+,4.5,2 Ratings,"Cotton Mill Tholahulse Davangere, Davangere",,,Travel Agents; Car Rental,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
Smart Call Driver,+,5.0,273 Ratings,"Fort Road-Cannanore Cannanore, Kannur",,08460224992,Driver Service Agents; Travel Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Udupi,2025-05-27T10:55:52.470Z
