name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Suha Design and Builders,<,5.0,10 Ratings,"Kannangar Padubidri Udupi, Udupi",,08460539599,Civil Contractors; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.972Z
TROPICAL FURNITURE & INTERIOR,<,5.0,3 Ratings,"Puttur NH66 Puttur, Udupi",,08123189366,,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.973Z
Ssv Associates,<,4.6,25 Ratings,"Kalsanka Ambagilu, Udupi",,,Building,true,false,true,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.974Z
Ansh Consulting Civil Engineers & Contractors,<,5.0,3 Ratings,"Udupi Main Road Bannanje, Udupi",,08511554382,Quick Visit; Acoustic False Ceiling; Aluminium False Ceiling,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.974Z
Sri Balaji Plywood,<,5.0,11 Ratings,"Neelavara Cross Brahmavara, Udupi",,08460499406,Interior Designers; Hardware Shops,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.974Z
Rachana Wood & Interior Works,<,4.5,4 Ratings,"Udyavara Udyavara, Udupi",,09054925508,Carpenters; Interior Designers,true,false,true,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.975Z
Cilali Interiors,<,5.0,33 Ratings,"Poonja Towers Court Road, Udupi",,,Interior Decorators For Hotel; Interior Designers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.975Z
Disha Interior And Decorators,<,4.9,59 Ratings,"Nayampalli 4th Cross Santhekatte, Udupi",,08401195328,Decorative; PVC,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.975Z
Padmashali Aluminium Fabricators,<,4.7,10 Ratings,"Sagri Kunjibettu, Udupi",,,Door Fabricators; Interior Designers,true,false,true,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.975Z
A K Interiors,<,5.0,2 Ratings,"Ambalapadi, Udupi",,07411657691,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.975Z
Home Deccor,+,4.3,34 Ratings,"NH 66 Adi Udupi, Udupi",,08401872624,Same Day Delivery,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.976Z
Anvi Interior Studio,+,4.7,18 Ratings,"Ankadkatte Koteshwara, Udupi",,07411656683,Interior Designers; Interior Decorators,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.976Z
Vp Concept,+,4.9,48 Ratings,"Sasthan, Udupi",,09980242775,Residential,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.976Z
Ashuthosh Construction,+,5.0,13 Ratings,"Main Road Kota, Udupi",,09606251745,,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.976Z
Swarnarekha Interiors,+,4.4,7 Ratings,"Temple Road Kumbhashi, Udupi",,08460222365,Upvc Door,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.976Z
Verma Pop Decorators Udupi,+,4.7,10 Ratings,"Ambagilu Road Perampalli, Manipal",,,Textured Wall Painting,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.976Z
Klassik,+,4.4,9 Ratings,"NH 66 Ambalapadi, Udupi",,,Modular Kitchen Accessory Dealers; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.976Z
Gruhapravesham The Home Interior Studio,+,4.7,23 Ratings,"NH 66 Tallur, Udupi",,08401545849,Interior Designers; Architects,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.977Z
Sri Kalikamba Interior Works,S,4.0,3 Ratings,"Saibrakatte Road Saligrama, Udupi",,08904984869,Interior Designers; Interior Decorators,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.977Z
Home Design Civil Engineers and Contractors,H,4.9,4 Ratings,"Kaup, Udupi",,,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.977Z
Royal Silvia Constructions And Interiors Pvt Ltd,R,5.0,12 Ratings,"Salagame Road Rangoli Halla, Hassan",,07411563299,Residential; Apartment,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.977Z
HN Groups HN Homes Interiors Artful,+,4.6,30 Ratings,"Banglore Rural Thanniruhalla, Hassan",,09035031473,Upvc Door; 3D Painting,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.977Z
Krupa Builders & Infra Develpers PVT LTD,+,4.7,109 Ratings,"Nagar Sharavathi Nagar, Shimoga",,,Industrial; Residential,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.977Z
Ssi Furniture,+,3.5,20 Ratings,"Doddanna Industrial Estate-Hegganahalli, Bangalore",,,Furniture Manufacturers; Interior Designers,true,false,false,true,false,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.978Z
Goodline Interior,+,5.0,1 Rating,"Main Road Ullal Upkar Layout, Bangalore",,08735891921,Modular Kitchen Dealers; Interior Designers,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.978Z
Pragnya Design Studio,+,4.3,31 Ratings,"Pb Road Vidyanagar, Hubli",,,Industrial; Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.978Z
B Mahendra And Brothers,+,4.0,157 Ratings,"Fort Road Durgadbail, Hubli",,,Imported; Upvc Door; Same Day Delivery,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.978Z
Design Ethics,+,4.9,159 Ratings,"BM Road Kushalnagar, Coorg",,,Industrial; Building; Online Appointments,true,false,true,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.978Z
Shivapur Constructions,+,4.4,34 Ratings,"Vidyanagar P B Road Haveri, Haveri",,,Residential,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Royal Wood Designz,+,4.8,9 Ratings,"Harur Main Road Valasaiyur, Salem",,08460485960,Upvc Door; Bathroom Door Dealers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Take Shape Interiors & Design Studio,+,4.5,28 Ratings,"Amman Nagar Sivathapuram, Salem",,07383601908,False Ceiling Contractors; Interior Designers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Kcreative Dizayn,K,4.1,5 Ratings,"22nd Cross Hsr Layout Sector 3, Bangalore",,,Interior Designers For Bungalow; Interior Designers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
AIE Buildtec Ind,+,4.5,14 Ratings,"Ganesh Temple Road Kundalahalli, Bangalore",,,Acoustic Insulation; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Pentagram Design Studio,+,4.9,30 Ratings,"Warje, Pune",,09972242495,Industrial; Building,true,false,true,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Shankh Swapna Interiors,+,4.5,28 Ratings,"Kathe Galli, Nashik",,08460565997,,true,false,true,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Vastukala Associates,+,4.0,2 Ratings,"Anjur Road Mankoli, Bhiwandi",,09980884003,Industrial; Building,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Gauritra Arts,+,4.2,6 Ratings,"Naupada-thane West, Thane",,09724676546,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Maurya Shejav Architects,M,3.1,7 Ratings,"Sector 19 KAMOTHE SECTOR 19, Navi Mumbai",,07048117368,,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Shree Decors,+,4.3,61 Ratings,"Gymkhana Road Dombivli East, Thane",,08511493514,Upvc Door; Bathroom Door Dealers; Apartment,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.979Z
Tec Materials Testing Lab,+,4.6,121 Ratings,"Chakkargadh Road Chakkargadh, Amreli",,,Industrial; Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Design Module Architect,+,5.0,15 Ratings,"Opp. Ice Factory Juhapura, Ahmedabad",,09606171075,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Zns Design & Interior Studio,+,4.8,15 Ratings,"Shopping Centre Aerodrome Circle, Kota-Rajasthan",,08488092760,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Hindustan Projects,+,4.1,14 Ratings,"VIVEKANAD NAGAR Baba Dham, Bhilwara",,,Farm; Industrial Land Surveyors,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Sai Nath Construction,+,5.0,11 Ratings,"Gandhi Road Thatipur, Gwalior",,08511026941,,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Krestt Engineering Designs,+,4.0,150 Ratings,"Paota B Road Paota, Jodhpur",,,Industrial; Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
OAU Objects Architecture Urbanism,O,5.0,20 Ratings,"Bani Park, Jaipur",,08460513254,Industrial; Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Auditorium Experts,A,4.5,4 Ratings,"Uttam Nagar, Delhi",,09035137166,Flood Light Dealers; Furniture Dealers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Apple Interiors,+,5.0,4 Ratings,"JYANGRA Baguiati, Kolkata",,08296768511,Delivery Available; Quick Visit; Apartment,true,false,true,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
S K Consultants,+,4.6,40 Ratings,"Khadar Ext. Sarita Vihar, Delhi",,07405772453,Building; Industrial,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
SEAHAWK INFRA N DESIGNS PRIVATE LIMITED,+,5.0,11 Ratings,"Pitampura, Delhi",,08511618208,,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Design School Of INDIA,+,3.9,38 Ratings,"A-50 Second Floor Noida Sector 2, Noida",,08123929223,Building,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Drop Dream Interior,+,4.7,20 Ratings,"Office No 551 Vaishali Sector 1, Ghaziabad",,08123801500,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
Ebk Event Management Pvt Ltd,+,4.5,52 Ratings,"Extension 2 Nangloi Extension, Delhi",,08511787702,,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Udupi,2025-05-27T11:05:14.980Z
