name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vp Concept,<,4.9,48 Ratings,"Sasthan, Udupi",,09980242775,Residential,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.625Z
Build Your Dream Home,<,5.0,1 Rating,"Manipal Udupi Highway, Manipal",,,Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.625Z
Pentagram Design Studio,<,4.9,30 Ratings,"Warje, Pune",,09972242495,Industrial; Building,true,true,true,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.625Z
Shree Decors,<,4.3,61 Ratings,"Gymkhana Road Dombivli East, Thane",,08511493514,Upvc Door; Bathroom Door Dealers; Apartment,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.625Z
Yesb Infratech Pvt Ltd,<,4.2,11 Ratings,"- NH 48 Atak Pardi, Valsad",,09972267166,Building; Industrial,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.625Z
Hindustan Projects,<,4.1,14 Ratings,"VIVEKANAD NAGAR Baba Dham, Bhilwara",,,Farm; Industrial Land Surveyors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.625Z
Akshay Enterprises,<,4.7,16 Ratings,"Alevoor Alevoor, Udupi",,08401933790,Designer Tiles,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
Cool House Construction,<,4.6,26 Ratings,"Court Road Udupi Udupi Courts, Udupi",,,Residential,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
Makers construction Division,<,5.0,1 Rating,"Ambalapadi Junction Ambalapadi, Udupi",,,Industrial; Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
Home Design Architects Civil Engineers and Contractors,<,4.4,34 Ratings,"Surathkal Krishnapura, Mangalore",,08050546183,Building,true,true,true,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
United Interiors,+,4.7,19 Ratings,"MG Road M G Road, Mangalore",,,Interior Designers; Construction Contractors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
The Kitchen World,+,4.4,47 Ratings,"Main Road Bendoorwell, Mangalore",,08511842826,Interior Designers; Pop Contractors,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
Colors & Care,+,4.8,22 Ratings,"Kankanady, Mangalore",,,Textured Wall Painting; 3D Painting,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
Xcellent Wood Finish,+,4.7,3 Ratings,"Abhish Building Attavar, Mangalore",,,Wooden Door; Waterproof,false,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
J-Interiors Pvt Ltd,+,4.8,45 Ratings,"Pumpwell, Mangalore",,,Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
Om Electrics And Plumbing Works,O,4.0,1 Rating,"Dramastala Kokkada, Mangalore",,,Plumbers; Electrical Contractors,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
AAI Maa Interior,+,4.7,27 Ratings,"Road Gopala Gopala Extension, Shimoga",,,On Site Services,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
Aryan Fabrications,+,5.0,1 Rating,"Gopala Main Road, Shimoga",,,Aluminium Sliding Door Dealers; Fibre Door Dealers,false,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.626Z
New Star Interior,+,4.3,18 Ratings,"Bypass Road Durgigudi, Shimoga",,08460450401,PVC; Decorative,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Mahalakshmi Aluminium and Interior work,+,4.6,5 Ratings,"Llr Road Garden Area, Shimoga",,,Aluminium Fabricators; Door Dealers,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Pragyaan Construction,+,3.5,2 Ratings,"Bh Road Bh Road Shimoga, Shimoga",,09980246068,Civil Contractors; Construction Companies,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Sri Mani Paints And Hardware,+,3.2,25 Ratings,"Main Road Vinoba Nagar Shimoga, Shimoga",,,Exterior Paint; Interior paint; Same Day Delivery,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Sknb Total Ventures,+,4.2,5 Ratings,"Circle Jyothinagar Chikmagalur, Chikmagalur",,08147368390,Industrial; solar Panel Repair; Quick Visit,true,true,true,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Civil Solutions,+,5.0,3 Ratings,"Km Road, Chikmagalur",,08401494905,Construction Contractors; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Prj Enterprises and Solution,+,4.7,38 Ratings,"Vv Road Somwarpet, Coorg",,07411790325,,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
3d Arch Architects and Interiors,+,5.0,3 Ratings,"Payyanur, Kannur",,,Industrial; Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Epkainex,+,5.0,5 Ratings,"Payyanur Payyanur, Kannur",,,Fibre Door Dealers; Aluminium Sliding Door Dealers,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
Be cool events and tents,B,4.0,2 Ratings,"Tejur, Hassan",,,24 Hours Open,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.627Z
GRANDEC HARDWARES & PLYWOODS,+,4.9,283 Ratings,"Payyambalam Beach Road Chalad, Kannur",,08460206655,Marine,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.628Z
S A S Door Planet,+,5.0,14 Ratings,"Badavane Taralabalu Extension, Davangere",,,PVC Door Dealers; Fibre Door Dealers,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Udupi,2025-05-27T11:07:33.628Z
