name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
4squaredesign,<,5.0,80 Ratings,"Main Road Santhekatte, Udupi",,08401650913,Building,true,true,true,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.665Z
Galleria Furniture & Interiors,<,4.7,70 Ratings,"Blue Diamond Complex Bannanje, Udupi",,08401859986,Antique Furniture Dealers; Furniture Dealers,true,true,false,false,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.665Z
Kitchenwise Interiors,<,5.0,1 Rating,"Badagupete Adi Udupi, Udupi",,08401865177,Modular Kitchen Dealers; Interior Designers,true,true,false,false,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.665Z
Karavali Interiors,<,4.8,164 Ratings,"Temple Road Puttur, Udupi",,09972941485,On Site Services; Online Estimates,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.665Z
Shreeya Interiors,<,4.0,4 Ratings,"Agumbe Udupi Highway Perdur, Udupi",,08460430884,Interior Designers; Interior Decorators,true,true,true,true,false,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.665Z
Sri Krishna Interior,<,5.0,2 Ratings,"Chanthar Village Brahmavara, Udupi",,08401862127,Interior Designers For Office; Interior Designers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.666Z
Ssv Associates,<,4.6,25 Ratings,"Kalsanka Ambagilu, Udupi",,,Building,true,true,true,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.666Z
Kanasu Interior Work,<,4.5,3 Ratings,"Kundapura Road Kundapura, Udupi",,09845219364,Residential,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.666Z
Sri Balaji Plywood,<,5.0,11 Ratings,"Neelavara Cross Brahmavara, Udupi",,08460499406,Interior Designers; Hardware Shops,true,true,false,false,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.666Z
Suha Design and Builders,<,5.0,10 Ratings,"Kannangar Padubidri Udupi, Udupi",,08460539599,Civil Contractors; Interior Designers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.666Z
Ansh Consulting Civil Engineers & Contractors,+,5.0,3 Ratings,"Udupi Main Road Bannanje, Udupi",,08511554382,Quick Visit; Acoustic False Ceiling; Aluminium False Ceiling,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.667Z
Padmashali Aluminium Fabricators,+,4.7,10 Ratings,"Sagri Kunjibettu, Udupi",,,Door Fabricators; Interior Designers,true,true,true,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.667Z
Sri Sai Vishwakarma Wood Works Inna,+,4.5,6 Ratings,"Kanjarkatte Padubidri Udupi, Udupi",,08401877145,Fibre Door Dealers; Wooden Door,true,true,false,false,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.667Z
Ashuthosh Construction,+,5.0,13 Ratings,"Main Road Kota, Udupi",,09606251745,,true,true,false,false,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.667Z
Innovative Construction And Interiors,+,5.0,43 Ratings,"Nh 66 Bannanje, Udupi",,08401608922,Builders & Developers; Civil Contractors,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.667Z
Grv Groups,+,5.0,6 Ratings,"Hebri, Udupi",,08511498460,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.668Z
Home Deccor,+,4.3,34 Ratings,"NH 66 Adi Udupi, Udupi",,08401872624,Same Day Delivery,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.668Z
P R Associates,+,4.8,4 Ratings,"Adi Udupi, Udupi",,07411825097,Interior Designers For Office; Civil Contractors,true,true,true,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.668Z
Verma Pop Decorators Udupi,+,4.7,10 Ratings,"Ambagilu Road Perampalli, Manipal",,,Textured Wall Painting,true,true,false,true,true,Interior Designers,Residence Interior Designers,Udupi - Elevate Your Living Space,2025-05-27T11:04:06.668Z
