name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Legal Corner,<,,,"Court Rd Udupi Courts, Udupi",,08401946113,Lawyers For Criminal; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.174Z
Akil B Hegde,<,,,"Court Road Adi Udupi, Udupi",,08401806466,Lawyers For Criminal; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.174Z
Narayana Shetty,<,,,"Kallianpur Kallianapura, Udupi",,08460278548,Lawyers For Accident Claims; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.174Z
P Jayachandra Shetty,<,,,"New Bus Stand Kundapura, Udupi",,08128490702,Lawyers; Lawyers For Matrimonial Cases,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.174Z
Legalintel Udupi,<,,,"Convent Road Brahmagiri, Udupi",,07485990827,Lawyers; Lawyers For Property Case,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.174Z
Law In Action,<,,,"Post Office Road Udupi Courts, Udupi",,08511369252,Public Notary,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.174Z
Sajan Ms,<,,,"Premanjali Complex Tekkatte, Udupi",,08490892432,Lawyers; Lawyers For Property Case,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Naik Dinesh C,<,,,"Anantha Tower Udupi Courts, Udupi",,07043417263,Lawyers; Lawyers For Matrimonial Cases,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Fortune Law Form,<,,,"First Floor Brahmagiri, Udupi",,09972843557,Lawyers; Lawyers For Matrimonial Cases,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Gururaj N Joshi,<,,,"Shree Vansree Malmaddi, Dharwad",,08123116458,Lawyers For Accident Claims; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Vh Legal Consultants,V,,,"Kodungallur, Thrissur",,08460231436,Legal Consultants; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
M K Jain Consultant,+,,,"Vinayaga Maisty Street Sowcarpet, Chennai",,,Licence; Accounting; GST Return,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Adv. Subhash Chandra Lawyers & Associates,+,,,"Supreme Court South Tukoganj, Indore",,,Lawyers For Accident Claims; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Adv. Satyendra Tiwari,+,,,"Chamber No. 203 Civil Lines, Allahabad",,07487861805,Lawyers For High Court; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
M B Subhrahmanyam & Associates,+,,,"Kunj Nagar Sakchi, Jamshedpur",,08401449462,Lawyers For Commercial Law; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Ruchi Gupta & Associates,R,,,"Building No 13 G Kamla Nagar, Delhi",,08904953622,Lawyers; Lawyers For Supreme Court,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Strengthdesk Als LLP,+,,,"Vikram Tower Rajendra Place, Delhi",,08867753551,Lawyers For Supreme Court; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Kumar Law Associates,K,,,"Shivalik-Malviya Nagar, Delhi",,09972331375,Lawyers; Lawyers For Criminal,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.175Z
Adv.Subhash Chandra,A,,,"Puri Krishna Nagar New Delhi, Delhi",,,Lawyers; Business Consultants,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.176Z
Adv. Sunil Singh,A,,,"New Colony Mahadeva, Siwan",,08460274959,NOC; Public Provident Fund; GST Return,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.176Z
Apex Juris Consultants. Amandeep Malhotra Advocate,A,,,"Dhakoli Zikarpur, Zirakpur",,07041484134,Lawyers; Lawyers For High Court,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.176Z
Nagaranjan U,+,,,"Udupi Ho, Udupi",,,Lawyers For Consumer Court; Lawyers,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.176Z
Shiriyara Prabhakar Nayak,S,,,"Court Road Circle Udupi Courts, Udupi",,,Lawyers; Lawyers For Matrimonial Cases,true,true,false,false,false,Lawyers,,Udupi,2025-05-27T11:13:57.176Z
