name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
RADON PACKERS & MOVERS,<,4.4,47 Ratings,"Saralabettu Road Eshwar Nagar, Manipal",,08401358056,Domestic Courier; All India; Packers And Movers,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.085Z
Anjaneya Packers and Movers,<,4.6,255 Ratings,"Laxmindra Nagar Laxmindra Nagar, Manipal",,08401885020,Residential Relocation Services; Packers And Movers; All India,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.085Z
Shree Ram Packers and Movers,<,4.9,371 Ratings,"Road Manipal Udupi Highway, Manipal",,09054092948,,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.086Z
Shri Ganesh Packers and Movers,<,5.0,35 Ratings,"George Fernandes Marg Kunjibettu, Udupi",,08460509361,GPS Tracking Available; Free Survey; Door to Door,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.086Z
The Kangaroo Packers & Movers,<,5.0,10 Ratings,"Main Road Hebri-576112 Adi Udupi, Udupi",,08511825878,Packers And Movers; Electronic; Machinery,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.086Z
Spot Packers and Movers,<,4.8,500 Ratings,"Alevoor Road Manipal, Manipal",,07383855069,Packers And Movers,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.086Z
Shiv Cargo Packers And Movers,<,4.8,178 Ratings,"Hill Road Eshwar Nagar, Manipal",,08401640779,All India; International Courier; Domestic Courier,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.086Z
Global Packers and Movers,<,5.0,3 Ratings,"Badagabettu Road Manipal, Manipal",,08147955327,Residential Relocation Services; Packers And Movers; All India,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.086Z
Abhiman Packers & Transport,<,4.4,17 Ratings,"Ishwar Nagar Manipal, Manipal",,08401937226,Packers And Movers; All India; Within City,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.087Z
Padmavathi Packers and Movers,<,4.3,24 Ratings,"Sai Krupa Paditaru House Mundkur, Udupi",,08401976046,Residential Relocation Services; Packers And Movers; All India,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.087Z
Easy Packers and Movers,+,4.6,30 Ratings,"Circle Chikmagalur HO, Chikmagalur",,08460430743,Packers And Movers; All India,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.087Z
Surya Facility Service,+,4.2,53 Ratings,"Police Chowki Vinoba Nagar, Shimoga",,09731644360,Packers And Movers,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.088Z
Care Packers And Movers,+,4.3,6 Ratings,"Street Vijayapuram Chikmagalur, Chikmagalur",,08511643831,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.088Z
BEST Relocations Packers And Moovers,+,5.0,52 Ratings,"Vidyanagar Hubli, Hubli",,08460452321,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.088Z
Suraksha Packers and Movers,+,4.5,68 Ratings,"Shirur Park Vidyanagar Hubli, Hubli",,08401259807,Packers And Movers; All India; Within City,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.088Z
Vishwas Packers and Movers,+,4.6,48 Ratings,"Near Gokul Road Anand Nagar, Hubli",,08460506201,Pets Transportation; Car Transportation; Commercial And Office Relocation Services,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.088Z
Royal Cargo Packers & Movers,+,4.8,172 Ratings,"Near BRTS Bus Stand Vidyagiri, Dharwad",,08401217512,,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.088Z
Lata Packers and Movers,L,4.4,20 Ratings,"Mj Nagar, Hospet",,07487906639,Packers And Movers; All India; Within City,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.088Z
Safe India Movers & Packers,+,4.6,573 Ratings,"Saiswara Temple Wilson Garden, Bangalore",,09035025567,Packers And Movers; All India; International,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Tirumala Packers and Movers,+,4.7,21 Ratings,"Bhagya Nagar Bhagya Nagar, Guntakal",,08460221154,Packers And Movers; Electronic,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Go Up Logistics,+,4.0,93 Ratings,"Near Human Temple Nayandahalli, Bangalore",,09980218296,International Courier; Cargo Service; Domestic Courier,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Sinu Roadlines,S,5.0,27 Ratings,"Menonpara Road Kanjikode, Palakkad",,08460484417,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Anr Transport,+,5.0,9 Ratings,"Main Road Udamalpet Bazaar, Udumalpet",,08460205843,GPS Tracking Available; Cargo Service; Domestic Courier,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Good Luck Transport,G,4.2,33 Ratings,"Narayana Nagar Kanakapura Road, Bangalore",,08401668875,Cargo Service; Domestic Courier; Packers And Movers,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Blessingstar Packers And Movers,+,3.9,21 Ratings,"Bhavani Nagar Bijapur City, Bijapur-Karnataka",,07383423106,,true,true,false,true,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Sky Land Xpress Cargo,+,4.0,44 Ratings,"KPN Colony Union Mill Road, Tirupur",,,,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Urbx Worldwide,+,4.7,74 Ratings,"Cochin Special Economic Zone, Ernakulam",,08401097476,International Courier; Cargo Service; Domestic Courier,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.089Z
Balaji Packers and Movers,B,3.5,2 Ratings,"Link Road Wakad, Pune",,08460237516,Cargo Service; Packers And Movers,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Yestee Agency,+,4.1,321 Ratings,"Wall Tax Road Park Town, Chennai",,08197305459,Industrial Machinery Relocation; Cargo Service; Domestic Courier,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
KGN Transport & Logistics,+,4.2,31 Ratings,"Gandiguda Village Shadnagar, Mahabubnagar",,09054784995,International Courier; Trucks On Rent; Domestic Courier,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Shyam Transport,S,4.0,72 Ratings,"Mahavir Nagar Kandivali West, Mumbai",,07405412431,Animal Transportation; Packers And Movers,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Falnest Relocations,F,4.3,3 Ratings,"Kapurbawdi-Thane West, Thane",,08460221627,Packers And Movers,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Diamondsafety Lorry Transport Packers and Movers,+,4.1,49 Ratings,"Bypass Road Khammam Bypass Road, Khammam",,09724438448,Pets Transportation; Packers And Movers; All India,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Sun Transport,+,3.8,36 Ratings,"Highway Road Mehsana Nagar Road, Vadodara",,09054604193,Pets Transportation; Packers And Movers; All India,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
GURUNANAK GOLDEN ROADWAYS,G,5.0,2 Ratings,"Transport Nagar Pithampur, Dhar",,08460501188,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Mahalaxmi Transport,+,4.4,36 Ratings,"Shop No 37 Morbi Bypass Road, Morbi",,09725352726,Trucks On Rent; Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Suryavansham Transport,+,3.5,93 Ratings,"Bilaspur Highway Gudhiyari, Raipur-Chhattisgarh",,08460211093,Animal Transportation; Packers And Movers; Electronic,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Suyash Road Lines,+,4.1,103 Ratings,"Neemuch Road Ratlam Station Road, Ratlam",,08128143529,Domestic Courier; All India; Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Reliable Packer & Movers Courier Service,+,4.7,3 Ratings,"Adinathnagar Odhav, Ahmedabad",,08904998358,Packers And Movers; All India; International,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.090Z
Shree Devnarayan Transport Company,+,4.5,62 Ratings,"Transport  Nagar Transport Nagar, Kota-Rajasthan",,07411856402,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Mirai Logistics India Private Limited,+,3.5,279 Ratings,"Kesarwani College Garha Phatak, Jabalpur",,08511256279,International Courier; All India; Cargo Service,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Shri Krishna Transport Service,+,3.9,64 Ratings,"Coplex Block City Centre, Gwalior",,07048137126,Packers And Movers,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Omm Logistic Transport Service,+,4.2,79 Ratings,"Kanpur Road Transport Nagar, Lucknow",,09724729580,Trucks On Rent; Domestic Courier; Packers And Movers,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
New Mahakal Transport,+,4.2,100 Ratings,"Yaqutganj Railway Yaqutganj, Farrukhabad",,08460557327,Superior Quality; Animal Transportation; Budget Friendly,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
New Mahakal Transport,+,4.2,100 Ratings,"Valipur Yaqutganj, Farrukhabad",,08128042414,Animal Transportation; Pets Transportation; Packers And Movers,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Om Shakti Associates,+,4.2,102 Ratings,"Plot No-60 Sitapur Rd, Lucknow",,08401521816,Residential Relocation Services; Packers And Movers,true,true,false,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Chandan Transport Company,+,4.0,318 Ratings,"Kamruddinpur, Begusarai",,07801848348,Industrial Machinery Relocation; Superior Quality; Budget Friendly,true,true,true,true,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Shri Khatu Shyam Roadlines,+,4.2,64 Ratings,"Sanjay Gandhi Transport Nagar, Delhi",,09054682129,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
All India Tailor Transport,+,4.1,72 Ratings,"Ganesh Chandra Ave Bowbazar, Kolkata",,08128588617,Cargo Service; Tempos On Hire; Animal Transportation,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Engineers Parcel,+,4.2,21 Ratings,"I2H Building IIT ISM Hirapur, Dhanbad",,08971740245,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
New Gaurav Transport Service,N,4.3,34 Ratings,"Nagar Gate No. 1 Pahari, Patna",,08460418079,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.091Z
Gati Cargo Packer and Mover,+,4.8,4 Ratings,"Najafgarh, Delhi",,09008921591,Domestic Courier; Packers And Movers; Air Cargo,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Jmd Tourism And Logistics Corporation,+,4.6,742 Ratings,"Market Rabindrapally Keshtopur, Kolkata",,08904967937,Pets Transportation; International Courier; Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Bihta Transportation & Packer and Mover Services,B,4.0,4 Ratings,"Amhara Bihta Patna Bihta, Patna",,06364874878,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Shree Balaji Transport,+,4.2,122 Ratings,"New Delhi Sangam Vihar, Delhi",,08460439021,Packers And Movers; All India; Within City,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Shakti Transport Company,S,4.4,8 Ratings,"Gorakhpur Road Deoria Sadar, Deoria",,08460434045,Packers And Movers; All India; Within City,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Canara Packers And Movers Udupi,+,4.0,33 Ratings,"Nh 66 Karavali Bypass Udupi HO, Udupi",,,Packers And Movers,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Sayyed Transport Packers and Movers,+,4.9,9 Ratings,"Karkala Kukkundur, Udupi",,,Packers And Movers; Air Cargo,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Ez Move Logistics Pvt Ltd,+,5.0,1 Rating,"Nh 66 Puttur, Udupi",,,Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Agarwal Fastway Packers And Movers,+,4.8,44 Ratings,"2ND STREET Manipal, Manipal",,,Pets Transportation; Packers And Movers; All India,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Radon Packers And Movers,+,4.4,47 Ratings,"Manipal, Manipal",,,All India; Domestic Courier; Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
V Locate Packers & Movers,+,4.6,27 Ratings,"K H Street Manipal, Manipal",,,Packers And Movers; All India; Within City,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Shree Krishna Mukyaprana Logistics,S,4.0,22 Ratings,"Nh-66 Adi Udupi, Udupi",,,All India; Packers And Movers; Within City,true,true,false,true,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Cpc Logistic Ltd,+,2.7,19 Ratings,"Kinnimulki Junction Kinnimulki, Udupi",,,Domestic Courier; Packers And Movers,true,true,false,false,false,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Pioneer Logistics And Packers,P,5.0,8 Ratings,"TEMPLE STREET Kalathur Udupi, Udupi",,,Pets Transportation; Packers And Movers; All India,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
Sai Packers & Movers,+,4.1,7 Ratings,"Udayavani Road Manipal, Manipal",,,Domestic Courier; All India; Packers And Movers,true,true,false,false,true,Packers & Movers,,Udupi,2025-05-27T11:30:22.092Z
