name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Editing World,<,4.3,29 Ratings,"VST Road VST Road, Udupi",,08401805031,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.314Z
Sthothram Studios Of Arts,<,4.2,5 Ratings,"NH 169A Bus Stand Road, Udupi",,08460284207,Videography,true,true,false,true,true,Photographers,,Udupi,2025-05-27T11:22:42.314Z
S. Kumar Photography,<,5.0,6 Ratings,"Adi Udupi Adi Udupi, Udupi",,08487925708,Videography,true,true,false,true,true,Photographers,,Udupi,2025-05-27T11:22:42.314Z
Naveen Digital Studio,<,4.4,18 Ratings,"Hind Tower Adi Udupi, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.314Z
Rainbow Studio and Video,<,4.2,15 Ratings,"Main Road Kundapura, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.315Z
Gokula Rental Wears,<,5.0,8 Ratings,"Koteshwara Main Road Koteshwara, Udupi",,08460407669,Photographers; Costumes On Rent,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.315Z
Panchami Studio,<,4.5,52 Ratings,"Unioun Bank Building Brahmavara, Udupi",,09972909870,Videography,true,true,false,true,true,Photographers,,Udupi,2025-05-27T11:22:42.315Z
Photo Gallery,<,4.7,87 Ratings,"Main Road Kundapura, Udupi",,09972901787,On Site Services; Videography,true,true,false,true,true,Photographers,,Udupi,2025-05-27T11:22:42.315Z
Umamaheshwara Events,<,4.9,25 Ratings,"General Store Eshwar Nagar, Manipal",,09054788679,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.315Z
S. Kumar Photography and Events,<,4.0,3 Ratings,"Malpe Road Adi Udupi, Udupi",,09054872167,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.315Z
Independent Technologies,+,4.8,43 Ratings,"Kalyan Nagar Bandihalli, Chikmagalur",,,Irrigation System Dealers; Agricultural Equipment Dealers,true,true,false,true,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Archith Photography,+,4.9,98 Ratings,"Road Main Bazar Road, Hindupur",,08197215720,Traditional Videography; Albums; Cinematography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Nuclear Events,+,4.9,17 Ratings,"Subrub Vidyaranyapuram, Mysore",,08460255672,On Site Services; In Store Collect; Same Day Delivery,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
The Maarvel Studio,+,4.8,10 Ratings,"Market Basaveshwara Nagar, Bangalore",,08460204920,Videography,true,true,false,true,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Vibhava Creations,+,4.5,344 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Sree Durga Parameshwari Catering Service,+,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Ork Studio And Video,+,5.0,153 Ratings,"Ramchandra Nagar Kamalanagar, Anantapur",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Masters Event Management,+,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Wedding Invitation Video Maker - Weditations (INDIA),+,4.3,52 Ratings,"Plot. No:01 Lingampally, Hyderabad",,08792492833,Invitation Video Makers; Photographers,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Visualvid Creation,+,5.0,3 Ratings,"Tapovan Link Road Dwarka, Nashik",,08904584587,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Enzoey.com,+,4.5,131 Ratings,,,08488949380,Bakery; Cake Shops; Home Delivery,true,true,true,true,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Sr Events,+,4.4,18 Ratings,"Puduru Palakollu, West Godavari",,08460403938,Event Organisers; Caterers,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Aerizone,+,4.5,237 Ratings,"Hingna Road Parsodi, Nagpur",,08401032409,,true,true,false,true,true,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Alpine Creation,+,3.9,261 Ratings,"Dadu Marg Barkat Nagar, Jaipur",,,Photographers; E Commerce Photographers,true,true,true,true,false,Photographers,,Udupi,2025-05-27T11:22:42.316Z
Sutter Count Photography,+,5.0,1 Rating,"Rambag Road Chandausi Kaithal, Chandausi",,08460513665,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Payal Studio Pvt Ltd,+,4.5,81 Ratings,"Circular Road Abohar, Abohar",,08050811895,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Raikar Photography,+,4.5,8 Ratings,"Kundapura, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Rock Click Photography,+,5.0,1 Rating,"Kalsanka Ambagilu Road Nittur, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Nitte Events,N,5.0,14 Ratings,"Near Nit Campus Nitte Udupi, Udupi",,,Balloon Arch; Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Kathyayini Studio,+,3.3,3 Ratings,"Bailoor Road Udupi Bus Stand, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Picon Pixel Perfect,+,5.0,2 Ratings,"Udupi Malpe Road Adi Udupi, Udupi",,,,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.317Z
P 2 Visuals Photography,+,3.3,5 Ratings,"JLB Road Kundapura, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Foto Touch Studio,+,4.8,93 Ratings,"Gundibail Road Kunjibettu, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Santhosh Studio,+,4.5,4 Ratings,"Manipal Cross Road Alevoor, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Harsha Digital Studio And Video,+,5.0,1 Rating,"Kemmannu, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.317Z
G K Studio,+,5.0,17 Ratings,"Church Road Kundapura, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
PREMAL STUDIOS,+,5.0,2 Ratings,"Nh66 Nittur, Udupi",,,Projection Equipment; Lighting; Decorator,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Friends Creation,+,4.9,22 Ratings,"NH66 Uppunda, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Prashanth Kotian Photography,+,5.0,367 Ratings,"Service Road VST Road, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Focus Studio,+,4.6,168 Ratings,"Modern Building Adi Udupi, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
Zion Studio,+,5.0,103 Ratings,"NH 66 Santhekatte, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.317Z
The Da Vinci Event Planners,+,4.4,109 Ratings,"Kinnimulki, Udupi",,,Event Organisers For New Year Party; Event Organisers,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.318Z
Cheezz Factory,+,4.9,95 Ratings,"Manipal Main Road Kunjibettu, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.318Z
Adlabs Studio,+,4.2,110 Ratings,"Main Road Manipal Manipal, Manipal",,,Photo,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.318Z
Ankitha Studio,+,4.6,98 Ratings,"Court Road Udupi Courts, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.318Z
G H Photography,+,4.9,88 Ratings,"Padukere Manur, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.318Z
Raga Productions,+,4.8,80 Ratings,"Kunjibettu Ambalapadi, Udupi",,,Photographers; Wedding Planners,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.319Z
Sparkle Studio,+,4.9,63 Ratings,"kenha Pilar Udupi, Udupi",,,,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.319Z
Pradeep Anjar Photography,+,4.8,60 Ratings,"Head Post Office Road Udupi HO, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.320Z
Kodak Lab,K,3.7,76 Ratings,"Manipal Eshwar Nagar, Manipal",,,Videography,false,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.320Z
Sunny Kabbinada Lens Men (Ni),S,4.8,57 Ratings,"Manipal, Manipal",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.320Z
Ashwin'S Studio,+,4.7,47 Ratings,"Bannanje Road Bannanje, Udupi",,,Photo Studios; Photographers,false,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.320Z
Phoenix Studio,+,4.3,49 Ratings,"Main Road Shirva Udupi, Udupi",,,Digital Photo Studios; Photo Studios,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.320Z
Pixel Shade Digital Studio,P,5.0,42 Ratings,"Kundapura Kundapura, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.321Z
Sri Guru Studio,+,4.4,46 Ratings,"Manooligujji Doddangudde, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.321Z
Pmk Photography,+,4.8,42 Ratings,"Udupi Manipal Road Kunjibettu, Udupi",,,Commercial Photographers; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.321Z
Esskay Studio And Video,+,3.7,52 Ratings,"Alevoor Road Adarsha Nagara, Manipal",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.321Z
Akshay Digital Studio Barkur,+,4.9,39 Ratings,"Barkurpete, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.321Z
Prasad Jathan Photography,+,5.0,34 Ratings,"to Malpe Highway Shiribeedu, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.321Z
SS Films and Studios,+,5.0,33 Ratings,"Silver Mine Building Kinnimulki, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Amrathbeejadi Photography,+,4.9,33 Ratings,"Kundapura, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Colour Studio,+,5.0,30 Ratings,"Alevoor Road Kukkikatte, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Pixray Studios,+,5.0,30 Ratings,"SHIRVA KAPU STREET Shirva Udupi, Udupi",,,Photo Studios; Event Organisers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Chaya Digital Studio,+,4.8,29 Ratings,"Main Road Kundapura Kundapura, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Cristal Studio,+,3.9,35 Ratings,"Ashwin Arcade Shirva Udupi, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Shri Ganesh Studio,+,4.8,28 Ratings,"Baindur Byndoor, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Vinayaka Studio,V,4.8,28 Ratings,"Barkurpete, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Shabari Studio,S,4.6,29 Ratings,"Main Road Perdur, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Kidiyoor Digital Studio and Video,+,4.2,31 Ratings,"Kadiyali Road Kadiyali, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Janthra Hills Belmannu,J,4.2,31 Ratings,"Sh 67 Karnataka Nandalike, Udupi",,,Photographers,false,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Life Digitals,+,4.8,26 Ratings,"Ananthasayana Road Karkala, Karkala",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Editing World,+,4.3,29 Ratings,"Maruthi Veethika Thenkpete, Udupi",,,Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Sa Ri Ga Ma Digital Studio&video,+,4.8,23 Ratings,"SHETTY COMPLEX Ambagilu, Udupi",,,Wedding Photographers; Photo Studios,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Kb Clicks,+,4.8,22 Ratings,"S.V.T School Road Srinivas Nagar, Karkala",,,Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Kb Clicks,+,4.8,22 Ratings,"Kuntalapady Road Karkala, Karkala",,,Model Photographers; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.322Z
Bharath Studio,B,3.9,27 Ratings,"Masthikatte Kundapura West, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.323Z
My C@m,+,4.9,21 Ratings,"Gulvidy Post Kundapura, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.323Z
Beyond The Lens,B,4.9,20 Ratings,"Belapu, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.323Z
Fusion Moments,+,4.6,20 Ratings,"Bramavara Kunjal, Udupi",,,Photo Studios; Photographers,false,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.323Z
Surabhi Digital Studio,S,4.2,20 Ratings,"Pithrody Main Road Pithrodi, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.323Z
Thepicturetalk Photography,+,4.8,17 Ratings,"Saralebettu Saralabettu, Manipal",,,Photographers,false,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.323Z
Raga Productions,R,4.6,17 Ratings,"Kudrukere, Udupi",,,Videography,false,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.323Z
Vilaas Studio,+,4.7,16 Ratings,"Circle Chittaranjan Circle, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.324Z
Jaas Digitals,+,5.0,15 Ratings,"Palligudde Katapadi, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.324Z
Avirag Studio,+,4.0,18 Ratings,"Marigudi Road Brahmavara, Udupi",,,Videography,true,true,false,false,true,Photographers,,Udupi,2025-05-27T11:22:42.324Z
Digital View Studio,+,4.2,17 Ratings,"HEBRI Road Hirgana Kukkundur, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.324Z
Life In Reels Photography,L,4.8,14 Ratings,"Mathoshree Residency Brahmagiri, Udupi",,,Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.325Z
The Orange Stories,+,4.5,14 Ratings,"Subhash Nagar, Udupi",,,,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.325Z
Bharath Digital Studio & Video,B,3.9,16 Ratings,"Main Road Kundapura, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Cinegraphix Media,+,4.8,13 Ratings,"Brahmavar Hebri Road Brahmavara, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Rnr Clix,+,4.8,12 Ratings,"Mala, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Adiga Clicks,A,4.8,12 Ratings,"Shankaranarayana, Udupi",,,Photographers; Wedding Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Chaitravi Digital Studio And Video,+,5.0,11 Ratings,"Kirimanjeshwara Kirimanjeshwara, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Genius Studio,+,4.5,12 Ratings,"Raj Towers Bus Stand Road, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Pavana Digital Studio,P,4.5,12 Ratings,"Kundapura Road Neralakatte, Udupi",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Prasanna Digital Studio,P,4.4,12 Ratings,"Kelepete Perdur, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.326Z
Modern Studio & Xerox,+,3.7,13 Ratings,"Santhe Market Road Brahmavara, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.327Z
Srinidhi Studio,+,4.3,11 Ratings,"to Manipal Highway Parkala, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.327Z
Kamath Studio & Video,K,4.5,10 Ratings,"Pragathi Nagara Km Marg, Udupi",,,Videography,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.327Z
Lens Art,+,4.5,10 Ratings,"Km Marg, Udupi",,,Wedding Photographers; Photo Studios,true,true,false,false,false,Photographers,,Udupi,2025-05-27T11:22:42.327Z
