name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Dots Prints,<,3.7,134 Ratings,"Nagar Vidyaratna Nagar, Manipal",,08401922582,Digital; Flex; On Site Services,true,false,false,true,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.257Z
Signventure,<,4.7,18 Ratings,"Pandubettu Malpe, Udupi",,08401934917,Digital; Flex,true,false,false,true,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.257Z
The Print Palace,<,3.7,226 Ratings,"Bannanje Road Shiribeedu, Udupi",,,Photo; Digital,true,false,false,true,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Foto Palace,<,4.0,110 Ratings,"Kaadabettu Udupi Courts, Udupi",,08792506760,Digital Photo Frame Dealers; Printing Services,true,false,false,true,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Prakash Printers,<,5.0,2 Ratings,"Prn Loft Kota, Udupi",,08105763301,Flex; Book,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Frames N More,<,4.9,63 Ratings,"College Road Mosque Road, Udupi",,07411819531,3D Painting; Traditional Videography; Albums,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Ayodhya Digi Prints,<,5.0,17 Ratings,"Maruti Veetika Road Udupi Courts, Udupi",,07405970057,Book; Color,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Shruthi Graphics,<,4.0,4 Ratings,"Doddangudde Main Rod Doddangudde, Udupi",,07411648694,Digital,true,false,false,false,false,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Pavitra Digital Signs,<,4.2,35 Ratings,"Main Road Kundapura, Udupi",,08401891484,Digital; Flex,true,false,false,true,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Sri Krishna Printing Press,<,4.5,14 Ratings,"Bypass Road Anekere Karkala, Karkala",,08401174882,Flex,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Shreya Printers,+,4.6,188 Ratings,"Circle Chittaranjan Circle, Udupi",,,Banner; Color,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Kundeshwara Prints and Boards,+,5.0,2 Ratings,"Main Road Kundapura Kundapura, Udupi",,,Digital; Flex,true,false,false,false,false,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Photo Punch,+,4.4,44 Ratings,"Ananthashayana Road Karkala, Karkala",,,Photo,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Sampark Xerox,+,4.4,393 Ratings,"PPC Road KM Marg, Udupi",,,On Site Services,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Sujan Offset Printers,S,5.0,9 Ratings,"Old Coastal Road Katapadi Udupi, Udupi",,,Digital; Flex,true,false,false,true,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
GIRI CREATIONS,+,5.0,5 Ratings,"Malpe Main Road Malpe, Udupi",,,Digital; Flex,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.258Z
Parag Llc,+,5.0,6 Ratings,"Karavali Bypass Ambalapadi, Udupi",,,Book,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Laxmi Graphics,+,5.0,24 Ratings,"Main Road Shirva Udupi, Udupi",,,Digital; Flex,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Walraft Framings,+,4.7,323 Ratings,"Akashvani Circle Brahmavara, Udupi",,,Same Day Delivery,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Manipal Technologies Ltd (Corporate Office),+,4.2,235 Ratings,"Press Corner Road, Manipal",,,Digital; Flex,true,false,true,true,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Thumb Print,+,4.1,229 Ratings,"Mgm Diana Road Kunjibettu, Udupi",,,Readymade Garment Retailers; Printing Services,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Np Printing Solutions,+,5.0,181 Ratings,"Jodurasthe Karkala, Karkala",,,Printing Services; Printing Press,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Print Point,+,4.9,167 Ratings,"Mosque Road Jumma Masjid Road, Udupi",,,Book; Digital,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Drishti Digital Banners,+,4.9,134 Ratings,"College Road Kundapura Kundapura, Udupi",,,Digital; Flex,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
Pro Digi Printing,+,4.1,140 Ratings,"Hospital Road Udupi Courts, Udupi",,,Digital,true,false,false,false,true,Reliable Printing Services,,Udupi - Quality You Can Trust,2025-05-27T11:25:12.259Z
