name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Palan Enterprises,<,4.7,27 Ratings,"Mathrachaya Building Ambagilu, Udupi",,07383643646,Plumbers; Hardware Shops,true,false,true,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.908Z
Mahadev Machine Tools & Hardware,<,5.0,2 Ratings,"Hotel Kidiyoor Road Shiribeedu, Udupi",,08904948968,Hardware Shops; Pipe Dealers,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.908Z
Modern Lock and Keys,<,4.5,124 Ratings,"Kadiyali Temple Road Kunjibettu, Udupi",,08105538082,Door; Lockers,true,false,false,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.908Z
Deepthi Enterprises,<,4.4,58 Ratings,"Bypass Junction Adi Udupi, Udupi",,07947196699,Same Day Delivery; Shop In Store,true,false,false,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.909Z
Sudha Enterprises,<,4.3,29 Ratings,"G B Panth Road Court Road, Udupi",,,Same Day Delivery,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.909Z
Prabhu General Stores,<,4.4,46 Ratings,"NH 66 Santhekatte, Udupi",,,General Stores; Hardware Shops,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.909Z
Mysore Steels,<,4.2,277 Ratings,"Thenkpete Road Car Street, Udupi",,,Same Day Delivery; Shop In Store,false,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.909Z
Vinyas Traders,<,4.0,165 Ratings,"Karkala - Hiriyadka road Karkala, Karkala",,,Hardware Shops; Pipe Dealers,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.909Z
Hegde Hardwares,<,4.3,148 Ratings,"Danashala Road Karkala, Karkala",,,Same Day Delivery; Delivery Available; Shop In Store,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.909Z
Ekadantha Traders,<,4.9,109 Ratings,"Nh66 Near Yedthare, Udupi",,,Hardware Shops; Pipe Dealers,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.909Z
Shree Enterprises,S,5.0,27 Ratings,"Divya Complex Sasthan, Udupi",,,Steel Door Dealers,true,false,false,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
M K Traders,+,4.4,19 Ratings,"Near NH 66 PADUBIDRI, Udupi",,,Same Day Delivery; Shop In Store; In Store Collect,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
S S Ply,+,4.5,18 Ratings,"KUNDAPURA Koteshwara, Udupi",,,Same Day Delivery; Shop In Store,true,false,false,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Jain Hardwares,J,4.2,16 Ratings,"Kudremukha Road Bajagoly, Udupi",,,Same Day Delivery; Shop In Store; In Store Collect,true,false,false,false,false,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Sri Shivadurgi Hardware,S,4.3,15 Ratings,"Brahmavar Road Hebri, Udupi",,,Same Day Delivery; In Store Collect,true,false,false,false,false,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Surya Sanitary,+,4.6,14 Ratings,"OPPOSITE FISH MARKET Kadiyali, Udupi",,,Shop In Store,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Coastel Glass Plywood And Hardware,+,4.8,13 Ratings,"Main Kundapura Road Baindur, Udupi",,,Hardware Shops; Nut Bolt Dealers,true,false,false,false,false,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Yashas Modular Kitchen & Hardwares,Y,4.0,15 Ratings,"Karkala Srinivas Nagar, Karkala",,,Hardware Shops; Nut Bolt Dealers,true,false,false,false,false,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Maya Electricals & Hardware Belmaan,+,4.5,11 Ratings,"Belmannu, Udupi",,,Hardware Shops; Electrical Shops,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Sowmya Hardwares Glass And Plywoods,+,4.3,11 Ratings,"Banglegudde Road Karkala, Karkala",,,Same Day Delivery; Shop In Store,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.910Z
Sarfaraz,+,4.5,10 Ratings,"Kunjibettu, Udupi",,,Furniture Dealers; Bed Dealers,true,false,false,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.911Z
S&K Hardware,+,4.7,9 Ratings,"Ardi Belanje, Udupi",,,Shop In Store,true,false,false,false,false,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.911Z
Shiv Shakthi Hardwares,+,4.6,9 Ratings,"Hotel Janardhan Complex KM Marg, Udupi",,,Hardware Shops; Pipe Dealers,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.911Z
Best Enterprises,+,4.5,9 Ratings,"Main Road Doddangudde, Udupi",,,Delivery Available; Same Day Delivery; Shop In Store,true,false,false,false,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.912Z
MS Hardware,+,5.0,8 Ratings,"Nh 66 Santhekatte, Udupi",,,Same Day Delivery; Shop In Store,true,false,false,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.912Z
Fab Steels and Tools,+,4.8,8 Ratings,"Bannanje Road Udupi Bannanje, Udupi",,,Steel Door Dealers,true,false,false,true,true,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.912Z
Sarvasiddi Hardware S Sadananda Shanubhogue,S,4.1,9 Ratings,"2/122 Hunsemakki, Udupi",,,Same Day Delivery; Shop In Store,true,false,false,false,false,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.912Z
New SYS Traders,+,4.6,8 Ratings,"NH 66 Shiroor, Udupi",,,Same Day Delivery; Shop In Store,true,false,false,false,false,Security System,Popular Lock Dealers,Udupi,2025-05-27T11:38:54.913Z
