name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Tunga Infotech,+,4.8,3 Ratings,"Circle  Kundapura Kundapura, Udupi",,,Computer Hard Disk Repair & Services; CCTV Dealers,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.743Z
Digital Kingdom,D,5.0,1 Rating,"Joshi Marg Jhotwara, Jaipur",,08460234082,Ethical Hacking Services; Internet Website Developers,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.743Z
P& L Services,+,4.1,42 Ratings,"Singhal Tower Khora Colony Noida, Noida",,08511731082,Wifi Internet; Customers Served-; CCTV Surveillance,true,false,false,false,false,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.743Z
Anantha It Care,+,4.8,63 Ratings,"Bunder Road Bunder, Mangalore",,,Computer Repair & Services; Computer Dealers,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.743Z
V H Solution,+,4.6,7 Ratings,"Channappa Layout Savalanga Road, Shimoga",,08105595346,CCTV Installation Services; CCTV Dealers,true,false,true,true,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.743Z
Er T C Patil Engineer,E,3.5,2 Ratings,"Nagar Umashankar Nagar, Ranebennur",,,Placement Services (Candidate); Civil Contractors,false,false,false,false,false,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.743Z
Mc Malimath Consulting Civil Engineer,M,4.8,2 Ratings,"Bus Stand Road Haveri Bazar, Haveri",,,Chartered Engineers; Placement Services (Candidate),true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
Silicon Systems,+,4.0,54 Ratings,"2nd Main Pj Extension Davangere, Davangere",,,Free installation; Company Authorised Dealer,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
VEDA GANESH ENTERPRISES,V,5.0,2 Ratings,"BEPQUEGAL Curchorem, Goa",,,Laptop Cooling Pad Repair & Services-Quantum; Online Shopping Websites,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
Manoj L Manek Engineer,M,4.0,3 Ratings,"Desai Cross Hubli Ho, Hubli",,,Placement Services (Candidate); Civil Contractors,false,false,false,false,false,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
M5 Computers,+,4.9,20 Ratings,"Novangalli Varca, Goa",,,Company Authorised Dealer,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
24x7 Cctv Networking,2,5.0,2 Ratings,"Main Road Akshay Colony, Hubli",,,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
OnePoint,+,4.5,108 Ratings,"Vidyanagar Hubli, Hubli",,09725553419,CCTV Dealers; Computer Dealers,true,false,false,true,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
Kripal Systems,+,3.1,5 Ratings,"2nd Cross SAI Nagar, Hubli",,,Assembled Computer Repair & Services; Computer Repair & Services,true,false,false,true,false,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
Sadvi Computers,+,4.9,33 Ratings,"Maruthi Tent Road Janatha Nagar, Mysore",,,CCTV Installation Services; Computer Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
Techfix,+,4.7,80 Ratings,"Irwin Road KT Street, Mysore",,,Computer Repair & Services; Laptop Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.744Z
Pro Smart It Solution,+,4.7,58 Ratings,"Ashoka Road Lashkar Mohalla, Mysore",,,Computer Repair & Services; CCTV Installation Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Udupi,2025-05-27T11:48:43.745Z
