name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sunshine Cooling Point,<,4.5,32 Ratings,"Police Station Hosaline Road, Hassan",,09724442204,Washing Machine Repair & Services-IFB; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Nida Refrigeration,<,4.8,178 Ratings,"Vallabhai Road Bm Road, Hassan",,08460550336,Refrigerator Repair & Services-Godrej; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Shivu Electronics,<,4.6,7 Ratings,"Municipal Complex Arsikere, Hassan",,,Washing Machine Repair & Services; Refrigerator Repair & Services,true,true,true,true,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Hassan Service 24x7,<,5.0,32 Ratings,"Station Road Hosaline Road, Hassan",,,Home Appliance Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Electro Cooling Solutions,<,4.7,42 Ratings,"Main Road Vivekanagara, Hassan",,,Wiring,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Quadri Cooling System,<,5.0,1 Rating,"Hosaline Road Hosaline Road, Hassan",,,Refrigerator Repair & Services-Siemens; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Sri Chamundeshwari Enterprises,<,4.3,3 Ratings,"Badavane Hassan City, Hassan",,,Water Purifier Dealers; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
AIR Conditioning,<,5.0,1 Rating,"80 Feet Road Hassan Hassan HO, Hassan",,,AC Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Hotel Sky Bird,<,4.5,480 Ratings,"BM Road Shanthigrama, Hassan",,,Lodging Services; Hotels,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
Ark Service Centre,<,4.9,428 Ratings,"Bypass Arkalgud, Hassan",,,Refrigerator Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Hassan,2025-05-27T07:10:37.579Z
