name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Kushika's Makeup Studio,<,5.0,94 Ratings,"Main Road Kuvempu Nagar, Hassan",,08460533257,Facial; Bridal Makeup,true,true,true,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.590Z
Gravity Unisex Saloon,<,4.9,196 Ratings,"Mg Road MG Road Hassan, Hassan",,08734985811,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.590Z
Innate Ladies Beauty Parlour,<,4.9,251 Ratings,"Pete Main Road Holenarsipur, Hassan",,08460403009,Facial,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.590Z
Lakme Salon,<,4.5,"1,343 Ratings","M G Road Hassan HO, Hassan",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.590Z
R A Makeup Studio,<,5.0,30 Ratings,"Puram Main Road Hemavathinagar, Hassan",,08401653436,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.591Z
MG Unisex Salon,<,4.8,63 Ratings,"Ring Road Ring Road, Hassan",,08460432680,Waxing; Facial; Bridal Makeup,true,true,true,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.591Z
Anagas Ladies Beauty and Spa,<,4.0,166 Ratings,"Jubli Park Kr Puram Hassan, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.591Z
Shringar,<,5.0,3 Ratings,"Lakshmipura Arsikere, Hassan",,08488030660,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.591Z
Mj Stylying Studio Unisex Saloon,<,4.8,44 Ratings,"1st Stage Kuvempu Nagar, Hassan",,08460489185,Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.591Z
Jayanthi Makeup and Hair,<,4.6,13 Ratings,"Nisarga Clinic Channarayapatna, Hassan",,08971475565,,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.591Z
Rohini Beauty Studio,+,4.5,12 Ratings,"Gundegowdana Koppalu Ring Road, Hassan",,08511490034,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Malnad Unisex Salon,+,4.7,28 Ratings,"Bittagowdanahalli, Hassan",,09054754558,,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Kushi Makeover,+,5.0,4 Ratings,"2nd Stage Jaya Nagar, Hassan",,08105830938,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
BEST Cutz Unisex Saloon,+,3.5,2 Ratings,"Ring Road Rangoli Halla, Hassan",,08460305763,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Suma Ladies Beauty Parlour,S,4.7,28 Ratings,"2 Nd Floor Temple Road, Belur",,,Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Hair Master Unisex Salon,+,4.9,163 Ratings,"Hemavathi Nagar Ring Road, Hassan",,,Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
GLD Makeovers,+,4.9,274 Ratings,"Vidyanagar Hassan City, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Shamys Lounge,+,4.2,797 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Blushing Bride,+,4.2,23 Ratings,"Basettikoppal Main Road, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Shamys Lounge Unisex Spa And Salon,+,4.3,743 Ratings,"Mutt Road Kr Puram Hassan, Hassan",,,Waxing,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Naturals Salon,+,4.6,"1,647 Ratings","Mg Road Vidhya Nagar, Hassan",,,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Splash Unisex Salon,+,4.7,417 Ratings,"KHB Layout Hassan City, Hassan",,,In Store Collect; Shop In Store,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Cute & Curly Unisex Salon,+,4.6,670 Ratings,"Main Road Kuvempu Nagar, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Alpha Beauty Unisex Salon,+,4.9,683 Ratings,"Hemavathi Nagar, Hassan",,,Waxing,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Guru'S Men'S Saloon,+,4.8,92 Ratings,"Temple Road Shankaripuram, Hassan",,,Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Amruth Beauty Care,+,4.8,132 Ratings,"Convent Road Channarayapatna, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
Lotus Spa & Beauty Center,+,3.9,48 Ratings,"Race Course Road Pwd Colony, Hassan",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.592Z
The Makeup Mania Studio & Training Academy,+,4.9,55 Ratings,"College Road Avk College Road, Hassan",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Scandal Unisex Salon & Spa,+,4.2,51 Ratings,"Main Road Vidyanagar Hassan, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Cute & Curly,+,4.5,291 Ratings,"Hospital Road Channarayapatna, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
SHUBHADA BEAUTY PARLOUR & BANGLE STORE,+,4.7,10 Ratings,"Halla Bus Stand Road Hassan, Hassan",,,Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Colours Makeup Studio,+,4.6,201 Ratings,"Old Bus Stand Road Rangoli Halla, Hassan",,,Home Services Offered,false,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Dream & Desire Unisex Salon1,+,4.9,143 Ratings,"Circle Channapatna Extension, Hassan",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Style And Smile Ladies Beauty Parlour And Komala Tatoos,S,4.5,32 Ratings,"Ambedkar Circle Temple Road, Belur",,,Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
sangeetha mens saloon,+,4.9,236 Ratings,"Ballupet, Hassan",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Maharani Unisex Saloon,M,4.7,28 Ratings,"Ammeer Mohalla, Hassan",,,Beauty Parlours,false,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Smart Parlour,+,3.7,137 Ratings,"Rangoli Halla, Hassan",,,Facial,false,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Glamour Family Saloun,+,4.5,248 Ratings,"B.H.Road Arsikere, Hassan",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Shreengar Men Parlour&tatto,+,4.5,28 Ratings,"Main Road Belur, Belur",,,Beauty Parlours; Tattoo Parlours,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Aishwarya Beauty Parlour,+,5.0,3 Ratings,"Navodaya Circal Channarayapatna, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Spin Unisex Salon,+,4.4,458 Ratings,"Road Chikkakondagola, Hassan",,,,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Sri Herbal Beauty Parlour,+,4.6,34 Ratings,"Nagasamudra Road Channarayapatna, Hassan",,,Beauty Parlours; Beauty Parlours For Hair Treatment,false,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.593Z
Dolls Makeup Studio,+,4.4,144 Ratings,"M G Road Hassan, Hassan",,,Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Kanasu Beauty World,+,4.1,16 Ratings,"MG Road Kr Puram Hassan, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Cute N Shine Beauty Parlour & Tailor (Ladies),+,4.9,26 Ratings,"Kopaalu Tejur Road Bm Road, Hassan",,,Beauty Parlours,false,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
L Oral Saloon,L,4.2,182 Ratings,"Main Road Hoysalanagar Main Road, Hassan",,,Facial,false,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Kushal Kari Beauty Parlour,+,4.9,46 Ratings,"Old Bus Stand Road Hassan City, Hassan",,,Beauty Parlours; Makeup Artists,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Makeover By Hitha Sunil,+,4.9,102 Ratings,"Devraj Urs Road Bm Road, Hassan",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Aishu Beauty Parlour,A,5.0,1 Rating,"Sampige Road Kr Puram Hassan, Hassan",,,Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Mg Unisex Salon,M,4.9,50 Ratings,"Ring Road Hemavathi Nagar, Hassan",,,Beauty Parlours,false,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Neha Beauty Parlour,+,3.3,8 Ratings,"Road Ravindra Nagara Hassan City, Hassan",,,Beauty Parlours; Makeup Artists,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Supreeth Gents Parlour,S,3.6,26 Ratings,"Goodshed Road Arsikere, Hassan",,,Facial,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Beauty Care Saloon,B,4.8,41 Ratings,"Arsikere, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
Sinchana Stylish Beauty Parlour,+,4.8,26 Ratings,"S.P Road Ballupet, Sakleshpur",,,Waxing; Facial,false,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Hassan,2025-05-27T07:15:05.594Z
