name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Alg Unisex Hair and Style Salon,<,4.8,741 Ratings,"Mangalore Road Kuvempu Nagar, Hassan",,08460469938,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.149Z
Rohini Beauty Studio,<,4.5,12 Ratings,"Gundegowdana Koppalu Ring Road, Hassan",,08511490034,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.149Z
Makeover By Farheen,<,5.0,9 Ratings,"Mudigere Road Belur, Belur",,08867752470,Home Services Offered,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.149Z
Jayanthi Makeup and Hair,<,4.6,13 Ratings,"Nisarga Clinic Channarayapatna, Hassan",,08971475565,,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.149Z
Kushi Makeover,<,5.0,4 Ratings,"2nd Stage Jaya Nagar, Hassan",,08105830938,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.149Z
Malnad Unisex Salon,<,4.7,28 Ratings,"Bittagowdanahalli, Hassan",,09054754558,,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
BEST Cutz Unisex Saloon,<,3.5,2 Ratings,"Ring Road Rangoli Halla, Hassan",,08460305763,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Sri Sanvi Makeup Studio and Beauty Parlour,<,4.9,10 Ratings,"Sakleshpur Ring Road Belur Road, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Kanasu Beauty World,<,4.1,16 Ratings,"MG Road Kr Puram Hassan, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Pooja Makeup Studio,<,4.4,7 Ratings,"Gondegoqdanakopplu, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Golden Hand Makeover,+,4.0,4 Ratings,"Belur Road Belur Road, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Naturals Salon,+,4.6,"1,647 Ratings","Mg Road Vidhya Nagar, Hassan",,,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Rajashree Makeup Studio,+,4.8,11 Ratings,"Ring Road Salagame Road, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Make Up Sitharra H,+,5.0,4 Ratings,"K R Puram Hassan City, Hassan",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Meghashree Makeover,+,5.0,2 Ratings,"Holenarsipura Holenarsipur, Hassan",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Shamys Lounge,+,4.2,797 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
sangeetha mens saloon,+,4.9,236 Ratings,"Ballupet, Hassan",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Chanda's Makeup,+,4.8,98 Ratings,"Biccodu, Hassan",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Nidhi's Cosmocare Studio,+,5.0,87 Ratings,"Nagara MG Road Hassan City, Hassan",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Makeover By Inchara,+,5.0,68 Ratings,"Salagame Road Salagame Road, Hassan",,,Bridal Makeup,false,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
The Makeup Mania Studio & Training Academy,+,4.9,55 Ratings,"College Road Avk College Road, Hassan",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Glamlook Makeover Studio,+,4.9,46 Ratings,"Indra Nagara Satyamangala, Hassan",,,Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Scandal Unisex Salon & Spa,+,4.2,51 Ratings,"Main Road Vidyanagar Hassan, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Ushahassan Makeup Academy,U,4.7,23 Ratings,"Main Road Krishnaraja Pura, Hassan",,,Bridal Makeup,false,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Sindhu Makeup Studio And Academy,+,4.8,16 Ratings,"Nuggihalli, Hassan",,,Waxing; Facial; Bridal Makeup,false,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Kanasu Makeup Studio,+,3.8,13 Ratings,"Race Course Road Hassan, Hassan",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
Unique Hair Studio,U,5.0,7 Ratings,"Dodda Rangegowda Road Arsikere, Hassan",,,Beauty Parlours; Salons,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.150Z
MAKEOVER BY ANJALI GOWDA,+,4.9,7 Ratings,"Race Course Road Hassan City, Hassan",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Neha Beauty Parlour,+,3.3,8 Ratings,"M G Road Ravindra Nagar Hassan, Hassan",,,,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Princess Makeup Studio,P,5.0,5 Ratings,"Jaya Nagar, Hassan",,,Facial,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
The Makeup Mania,+,5.0,4 Ratings,"College Road College Road Hassan, Hassan",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Makeover by Sinchana,+,4.7,3 Ratings,"Arkalagud Arkalgud, Hassan",,,Home Services Offered,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Vaishnavi Bride,V,4.0,3 Ratings,"Shankar Mutt Road, Hassan",,,Waxing; Facial; Bridal Makeup,false,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Rose Ladies Beauty Parlour,R,4.0,2 Ratings,,,,Waxing; Facial; Bridal Makeup,false,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Ashwini Pro Make Up Artist,+,5.0,1 Rating,"Channarayapatna, Hassan",,,Home Services Offered,false,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Kaparthy Nilaya,K,3.0,1 Rating,"Pete Main Road Holenarsipur, Hassan",,,Waxing; Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Yashodeepa Beauty Parlour,+,4.9,30 Ratings,"Kr Pete Thaluk Anegola, Mandya",,08197659761,Facial,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
New Look Beauty Care,+,5.0,3 Ratings,"Shanivarasanthe Shanivarasanthe, Coorg",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Makeover By Priya,+,5.0,7 Ratings,"Chikmagalur Zp, Chikmagalur",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Makeover With Srisai,+,4.9,36 Ratings,"Bypass Road Doddkurbralli, Chikmagalur",,,Bridal Makeup,false,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Makeupbyniveditasanthosh,+,4.8,74 Ratings,"Bore Extn Chikmagalur Fort, Chikmagalur",,07383172487,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Makeup By Sitharra H,+,4.6,48 Ratings,"M G Road Hanumanthappa Circle, Chikmagalur",,,,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Makeoverwith Sushmithabirur,+,4.6,9 Ratings,"Vijaya Nagar Chikmagalur Fort, Chikmagalur",,08105905206,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Elba'S Herbal Beauty Care,E,4.8,69 Ratings,"MG Road Chikmagalur, Chikmagalur",,,Salons; Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Nail and Makeover By Suma Manjunath,+,5.0,1 Rating,"Ramnalli Chikmagalur Ho, Chikmagalur",,,Home Services Offered; Nail Art; Waxing,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
Makeover By Kavya,+,4.9,20 Ratings,"Jyosthi Nagaara Chikmagalur Fort, Chikmagalur",,09036230920,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.151Z
The Mirrors Beauty Spa,+,4.8,39 Ratings,"Tiptur, Tumkur",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Gayatri Makup Artist,+,5.0,1 Rating,"PESARAGATTA MAIN ROAD Tiptur, Tumkur",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Magic Touch,+,4.9,8 Ratings,"Nallur Road Nallur, Chikmagalur",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Chiguru Beauty Parlour,+,5.0,5 Ratings,"Mg Road MG Road Chikmagalur, Chikmagalur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Ok Saloon,+,4.8,"1,726 Ratings","Hunkle Circle Naidu Street, Chikmagalur",,,Salons; Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Makeover By Meghanagowda,+,4.9,32 Ratings,"Thy Layout Chikmagalur HO, Chikmagalur",,09724659405,Groom Makeup Artists; Salons,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Isha Beauty Parlour,+,4.9,8 Ratings,"B M Shri Road Chikmagalur HO, Chikmagalur",,,Home Services Offered; Nail Art; Waxing,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Sinchana Ladies Herbal Beauty Salon,+,4.7,9 Ratings,"Tippu Nagar, Chikmagalur",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Style N Smile,+,4.3,26 Ratings,"M G Road MG Road Chikmagalur, Chikmagalur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Neha'S Makeup Studio And Salon,+,4.9,36 Ratings,"Mg Road Joythinagar, Chikmagalur",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Manasa Beauty Parlour,+,5.0,3 Ratings,"Swamy Temple Road Tiptur, Tumkur",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
Hd Makeover Studio and Academy,+,5.0,44 Ratings,"I. G Road Adarsha Nagara, Chikmagalur",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Hassan,2025-05-27T07:18:15.152Z
