name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Gravity Unisex Saloon,<,4.9,196 Ratings,"Mg Road MG Road Hassan, Hassan",,08734985811,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.802Z
Alg Unisex Hair and Style Salon,<,4.8,741 Ratings,"Mangalore Road Kuvempu Nagar, Hassan",,08460469938,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.804Z
Rohini Beauty Studio,<,4.5,12 Ratings,"Gundegowdana Koppalu Ring Road, Hassan",,08511490034,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.805Z
Lakme Salon,<,4.5,"1,343 Ratings","M G Road Hassan HO, Hassan",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.805Z
Anagas Ladies Beauty and Spa,<,4.0,166 Ratings,"Jubli Park Kr Puram Hassan, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.805Z
Jayanthi Makeup and Hair,<,4.6,13 Ratings,"Nisarga Clinic Channarayapatna, Hassan",,08971475565,,true,true,false,true,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.805Z
Mj Stylying Studio Unisex Saloon,<,4.8,44 Ratings,"1st Stage Kuvempu Nagar, Hassan",,08460489185,Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.806Z
MG Unisex Salon,<,4.8,63 Ratings,"Ring Road Ring Road, Hassan",,08460432680,Waxing; Facial; Bridal Makeup,true,true,true,true,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.806Z
Malnad Unisex Salon,<,4.7,28 Ratings,"Bittagowdanahalli, Hassan",,09054754558,,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.806Z
BEST Cutz Unisex Saloon,<,3.5,2 Ratings,"Ring Road Rangoli Halla, Hassan",,08460305763,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.806Z
Stylet Unisex Salon,+,5.0,59 Ratings,"Channarayapatna Fort, Hassan",,,Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.807Z
Naturals Salon,+,4.6,"1,639 Ratings","Mg Road Vidhya Nagar, Hassan",,,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.807Z
Aavani Hair Look,+,4.8,742 Ratings,"Malekal Tirupathi Road Arsikere, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.807Z
Spin Unisex Salon,+,4.4,457 Ratings,"Road Chikkakondagola, Hassan",,,,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.807Z
Makeover By Hitha Sunil,+,4.9,102 Ratings,"Devraj Urs Road Bm Road, Hassan",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.807Z
Anand Cosmetics,+,4.7,168 Ratings,"Circle Panduranga Temple Road, Hassan",,,Salons; Beauty Salons,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.807Z
Amruth Beauty Care,+,4.8,132 Ratings,"Convent Road Channarayapatna, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.807Z
Shamys Lounge,+,4.2,796 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.808Z
Shamys Lounge Unisex Spa And Salon,+,4.3,743 Ratings,"Mutt Road Kr Puram Hassan, Hassan",,,Waxing,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.808Z
Adivasi Maruthi Herbal Hair Oil,+,4.1,20 Ratings,"Madihally Hobli Hagare, Hassan",,,Salons; Herbal Hair Oil Wholesalers,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.809Z
Lakme Salon,+,4.5,"1,343 Ratings","MG Road Vidya Nagar Hassan, Hassan",,,Salons,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.809Z
L Oral Saloon,L,4.2,182 Ratings,"Main Road Hoysalanagar Main Road, Hassan",,,Facial,false,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.810Z
Shine My Face Beauty Parlour Hassan,+,4.9,35 Ratings,"PWD Colony, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.810Z
Cute & Curly Unisex Salon,+,4.6,670 Ratings,"Main Road Kuvempu Nagar, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.810Z
Akarshak Beauty Lounge,A,4.6,17 Ratings,"Rangoli Halla Rangoli Halla, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.810Z
Ganapati Hair Care,+,4.3,123 Ratings,"Main Road Hoysalanagar Main Road, Hassan",,,Salons; Hair Colour Highlight Services,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.810Z
Scandal Unisex Salon & Spa,+,4.2,51 Ratings,"Main Road Vidyanagar Hassan, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.811Z
sangeetha mens saloon,+,4.9,236 Ratings,"Ballupet, Hassan",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.811Z
Cute & Curly,+,4.5,291 Ratings,"Hospital Road Channarayapatna, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.811Z
Rashmi Beauty Parlour,+,4.1,7 Ratings,"Race Course Road Hassan, Hassan",,,Bridal Makeup,false,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.811Z
Beauty Care Saloon,B,4.8,41 Ratings,"Arsikere, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.812Z
Splash Unisex Salon,+,4.7,417 Ratings,"KHB Layout Hassan City, Hassan",,,In Store Collect; Shop In Store,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.812Z
Lotus Spa & Beauty Center,+,3.9,48 Ratings,"Race Course Road Pwd Colony, Hassan",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Glamour Family Saloun,+,4.5,248 Ratings,"B.H.Road Arsikere, Hassan",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Rj Salon,+,4.7,130 Ratings,"Vijay Nagar Bm Road, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Innate Ladies Beauty Parlour,+,4.7,60 Ratings,"Channarayapatna, Hassan",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Smart Parlour,+,3.7,137 Ratings,"Rangoli Halla, Hassan",,,Facial,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Facelook Mens Parlour,F,4.0,23 Ratings,"Rangoli Halla Rangoli Halla, Hassan",,,Facial,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Colours Makeup Studio,+,4.6,201 Ratings,"Old Bus Stand Road Rangoli Halla, Hassan",,,Home Services Offered,false,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Girish Hair Salon,G,4.4,53 Ratings,"Hiriyur Hiriyur, Hassan",,,Hair Stylists; Salons,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.813Z
Sthree Skin And Hair Care Salon,+,4.8,22 Ratings,"Ashoka Road, Sakleshpur",,,Facial,false,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Smart Gents and Ladies Beauty Parlour,+,3.9,24 Ratings,"Jv Ram Complex Kr Puram Hassan, Hassan",,,Unisex Beauty Parlours; Beauty Spas,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Soundrya Beauty Parlour,+,4.5,4 Ratings,"Kushalnagar Road Konanur, Hassan",,,Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Pradeep Hair Saloon,+,4.2,7 Ratings,"Mysore Main Road Channarayapatna, Hassan",,,Salons; Beauty Parlours For Hair Treatment,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Choice Hair Dress,C,4.0,2 Ratings,"Hosaline Road, Hassan",,,Beauty Salons For Men; Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Salon Park,+,3.6,5 Ratings,"Sakleshpur, Sakleshpur",,,Salons; Beauty Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Sri Manjunatha Hair Dresses Dan,S,4.0,2 Ratings,"Mysore Road, Hassan",,,Salons; Hair Colour Highlight Services,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Tease Men's Hair Design Studio,+,4.3,12 Ratings,"Appihalli, Hassan",,,Beauty Parlours; Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Blushing Bride,+,4.2,23 Ratings,"Basettikoppal Main Road, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Cute & Curly,+,4.2,53 Ratings,"Hassan Mg Road Hassan, Hassan",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Y G Men's Saloon,+,4.0,2 Ratings,"Kuvempunagara Hassan City, Hassan",,,Beauty Parlours; Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Sri Gokul Enterprises,S,4.4,5 Ratings,"Bypass Road Kadavinakote Hantha, Hassan",,,Salons,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Boovanahalli Cross,B,4.3,37 Ratings,"Holenarasipur Road Holenarasipur, Hassan",,,Salons,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Style And Smile Ladies Beauty Parlour And Komala Tatoos,S,4.5,32 Ratings,"Ambedkar Circle Temple Road, Belur",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Suma Ladies Beauty Parlour,S,4.7,28 Ratings,"2 Nd Floor Temple Road, Belur",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Green Sizer Play,G,3.3,6 Ratings,"Vidhya Nagar, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Cute Cut Saloon,C,4.5,4 Ratings,"Shivamogga Main Road Jajur, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Dazzle Beauty Centre,+,4.8,2 Ratings,"Channarayapatna, Hassan",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Vlr Hair Parlour,V,3.8,24 Ratings,"Hosahalli, Hassan",,,Waxing; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Sundar Mens Hair Dresser,S,4.0,2 Ratings,"Kavirathna Kalidasa Road, Hassan",,,Salons; Hair Colour Highlight Services,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Noothan Men'S Parlour,N,5.0,7 Ratings,"Allana Coffe Curing, Hassan",,,Facial,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.814Z
Lady Like Beauty's Bridal Make Up Studio &Beauty ACADEMY,+,4.9,27 Ratings,"Rangegowda Street Arsikere, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Salon Park,S,4.0,11 Ratings,"Belur Road Arehalli Hassan, Hassan",,,Salons; Beauty Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
G Modeling Gents Saloon,G,4.6,5 Ratings,"Ambedkar Nagar, Halebeedu",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Vijay Men'S Beauty Parlour,V,4.6,6 Ratings,"Gandasi, Hassan",,,Salons,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Kanasu Makeup Studio,+,3.8,13 Ratings,"Market Road Bm Road, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Mj Styling Studio,M,4.4,55 Ratings,"Bm Road, Hassan",,,Facial,false,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Navami Salon,+,4.5,4 Ratings,"No Ghodshet Road, Hassan",,,Salons; Hair Colour Highlight Services,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Fashion Beauty Saloon And Spa,F,3.8,7 Ratings,"Housing Board Hassan City, Hassan",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Sri Lakshmivenkateshwara Hair Sallon,S,4.0,2 Ratings,"Shop No 02 Main Road, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Sindhu Makeup Studio And Academy,+,4.9,15 Ratings,"Nuggihalli, Hassan",,,Waxing; Facial; Bridal Makeup,false,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Supreeth Gents Parlour,S,3.6,26 Ratings,"Goodshed Road Arsikere, Hassan",,,Facial,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Alankar Men's Parlour,A,3.0,9 Ratings,"Arehally Road Arehalli Hassan, Hassan",,,Beauty Parlours; Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Cute Girls Ladies Parlour Poornima M H,C,4.0,2 Ratings,"Main Road Holenarasipur, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Nagasree Beauty Parlour,N,4.8,12 Ratings,"Channarayapatna, Hassan",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.815Z
Krish Beauty Parlour,K,4.9,26 Ratings,"Sakleshpur Market Road, Sakleshpur",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.816Z
Ganpathi Hair & Care Unisex Saloon,+,4.1,31 Ratings,"Krishnaraja Pura, Hassan",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.816Z
Tanishka Beauty Parlour,T,4.8,6 Ratings,"Ravindhra Nagar Hassan City, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.816Z
Shine Ladies Beauty Saloon,+,4.9,36 Ratings,"Bm Road Sakleshpur, Sakleshpur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.817Z
Monisha Beauty Parlour Training Institue & Trailoring Class,+,5.0,1 Rating,"Aralikatte Road Salagame Road, Hassan",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.817Z
Gents Beauty Care,G,3.1,7 Ratings,"Main Road Srinivaspura, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.817Z
Glamar Hair Dress,G,4.3,3 Ratings,"Hassan Periyapatna Road, Hassan",,,Salons; Hair Colour Highlight Services,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.817Z
Manu Hairdress,M,4.0,2 Ratings,"Bagur Road Channarayapatna, Hassan",,,Salons,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.818Z
Mubarak Hair Cut Saloon,M,4.5,6 Ratings,,,,Salons; Hair Colour Highlight Services,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.818Z
Decent Men's Parlour,+,5.0,1 Rating,"Salagame Road, Hassan",,,Beauty Parlours; Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.818Z
Princess Saloon,+,4.5,4 Ratings,"Ring Road Rangoli Halla, Hassan",,,Facial,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.818Z
Rich Feel Mens Beauty Parlour,R,4.0,3 Ratings,"Pension Mohalla, Chikmagalur",,,Facial,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.819Z
Giri Saloon,G,4.3,3 Ratings,"Arsikere, Hassan",,,Salons,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.819Z
Savitha Shop,S,4.0,2 Ratings,"Main Road, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.819Z
Sri Guru Mens Parlour,S,4.7,8 Ratings,"Shop No 85 Ammeer Mohalla, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.819Z
Spoorthi Hair Dresses,S,4.0,3 Ratings,"Bm Road Ashoka Road, Sakleshpur",,,Salons; Hair Colour Highlight Services,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.820Z
Saloon Park,S,3.6,5 Ratings,,,,Salons; Hair Colour Highlight Services,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.820Z
New Glamour Hair Saloon,N,4.7,7 Ratings,"Satyamangala, Hassan",,,Salons; Men Beauty Parlours,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.820Z
New Hair Cut Selon,N,4.0,2 Ratings,"80 Feet Road Tippu Nagar, Hassan",,,Salons,false,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.820Z
Style And Style Hair Salon,S,4.6,6 Ratings,"Shop No 7 Main Road, Hassan",,,Salons,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.820Z
Unique Hair Studio,U,5.0,7 Ratings,"Dodda Rangegowda Road Arsikere, Hassan",,,Beauty Parlours; Salons,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.821Z
Sneha Beauty Parlour,+,4.0,2 Ratings,"Behind Bus Stop Banavara, Hassan",,,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.821Z
BEST CUT JENTS SALON,+,4.5,1 Rating,"Channarayapatna, Hassan",,,Beauty Salons For Men; Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.821Z
Golden Hand Makeover,+,4.0,4 Ratings,"Belur Road Belur Road, Hassan",,,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.821Z
saloon & care,s,5.0,2 Ratings,"K R Puram Hassan City, Hassan",,,Beauty Parlours; Salons,true,true,false,false,true,Beauty Spa,Popular Salons,Hassan,2025-05-26T14:33:15.821Z
