name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Naturals Salon,<,4.6,"1,647 Ratings","Mg Road Vidhya Nagar, Hassan",,,,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.396Z
Shamys Lounge,<,4.2,797 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,,Home Services Offered; Skin Treatment,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Shamys Lounge Unisex Spa And Salon,<,4.3,743 Ratings,"Mutt Road Kr Puram Hassan, Hassan",,,,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Relax centre,<,4.8,64 Ratings,"Bm Road Sakleshpura, Sakleshpur",,,Body Massage Centres,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Appu Mens Parlour,<,4.0,48 Ratings,"Channarayapatna, Hassan",,,Home Services Offered; Thai Massage,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Lotus Spa & Beauty Center,<,3.9,48 Ratings,"Race Course Road Pwd Colony, Hassan",,,Home Services Offered; Thai Massage,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Soni Ladies Beauty Parlour and Fancy Center,<,4.6,5 Ratings,"Arsikere, Hassan",,,Home Services Offered,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Blush and Curls,<,3.7,3 Ratings,"MG Road Vidya Nagar Hassan, Hassan",,,,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Agasthya Spa,<,3.7,30 Ratings,"Bypass Road Chokkanna Street, Chikmagalur",,,Herbal Body Massage Centres For Men; Body Massage Centres,false,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.397Z
Mansi Ladies Beauty Parlour,<,4.1,22 Ratings,"Tiptur, Tumkur",,,Home Services Offered,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
SereneSpa Aadrika,S,4.0,55 Ratings,"Theatre Road Chikmagalur HO, Chikmagalur",,,Foot Reflexology Massage Services; Body Massage Centres,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Ayushmaan Ayurvedic,A,3.6,51 Ratings,"Ig Road, Chikmagalur",,,Body Massage Centres; Massage Centres For Men,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Durgashree Beauty Parlor,+,5.0,3 Ratings,"MG Road Chikmagalur, Chikmagalur",,,Home Services Offered,false,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Sinfinity Unisex Salon,S,4.6,7 Ratings,"1st Floor Rathnagiri Road, Chikmagalur",,,Home Services Offered,false,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Guna Beauty Parlor,+,4.0,2 Ratings,"Vijayapuram Chikmagalur, Chikmagalur",,,,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Agasthya Spa (Siri Nature Roost Resort),A,4.0,4 Ratings,"State Highway 57 Allampura, Chikmagalur",,,Body Massage Centres,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Satva and Appu Ayurvedic Center,+,3.9,36 Ratings,"Kudloor Village Kushalnagar, Coorg",,,Home Services Offered; Hair Spa,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Ocean Ayurvedic Spa,+,4.3,80 Ratings,"Kushalnagr Kushalnagar, Coorg",,07383359668,Thai Massage,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Golden Isha Ayurvedic Unisex Spa & Wellness,+,4.4,167 Ratings,"Block Gandadakote Kushalnagar, Coorg",,09035285540,Beauty Parlours; Body Massage Centres,true,true,true,true,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Hair N Face Care,+,4.0,64 Ratings,"BM Road Kushalnagar, Coorg",,,Home Services Offered; Hair Spa,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Hiko-Thai,+,4.5,94 Ratings,"Extension B.M Road Kushalnagar, Coorg",,06366960246,Thai Massage; Aroma Massage,true,true,false,true,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Golden Isha Ayurveda & Western Spa,+,4.5,219 Ratings,"BM Road Kushalnagar, Coorg",,07487914006,Ayurvedic Body Massage Centres; Body Massage Centres,true,true,true,true,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Buddha Ayurvedic Spa,+,4.3,40 Ratings,"BM ROAD Koppa Kushalnagar, Coorg",,07487862167,Hair Spa,true,true,false,true,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Arya Ayurveda S'pa,+,4.6,34 Ratings,"Koppa Iguru Kushalnagar, Coorg",,,Body Massage Centres; Beauty Spas,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Iris Ayurvedic Spa & Beauty Studio,I,4.2,56 Ratings,"Old Market Road Kushalnagar, Coorg",,,Business Owned By Women; Online Appointments,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
The Excellency Spa,+,3.6,423 Ratings,"B M Road Guddehosur, Coorg",,,Thai Massage,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Phinix Mens Ac Parlour,P,3.4,13 Ratings,"Road Birur Chikmagalur, Chikmagalur",,,Home Services Offered,true,true,false,false,false,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
Old Kent Estates And Spa,+,4.4,"1,146 Ratings","North and Village Horoor, Coorg",,,Fireplace,true,true,false,false,true,Body Massage Centres,,Hassan,2025-05-27T07:13:23.398Z
