name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Vinayaka Tours and Travels,<,4.1,186 Ratings,"R C Road Hassan Ho, Hassan",,07383156927,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.479Z
Sri Hassanambha Travels,<,5.0,1 Rating,"B M Road Channapatna Extension, Hassan",,08460488503,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.480Z
Kiran Tours and Travels,<,4.6,10 Ratings,"Salagame Road, Hassan",,08460407607,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.480Z
Diya Tours And Travels,<,4.7,51 Ratings,"Bangalore Road Channarayapatna, Hassan",,08487021127,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.480Z
Punya Tours and Travels,<,5.0,152 Ratings,"Saraswatipuram Ext.. Sakleshpur, Sakleshpur",,08735945792,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.480Z
Sri Krishna Tours & Travels,<,4.7,136 Ratings,"Channapatna Bypass Bm Road, Hassan",,09054558294,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.481Z
Travel Easy,<,4.3,42 Ratings,"R Race Course Road Hassan, Hassan",,08460526029,Visa Assistance; Car Rental,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.481Z
Dharsh Car Rental,<,4.0,61 Ratings,"Bhimana Colony Bm Road, Hassan",,09054867523,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.481Z
Mr Manjunatha,<,5.0,2 Ratings,"Thanniruhalla, Hassan",,08460541131,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.482Z
Kanaka Travels,<,5.0,109 Ratings,"Shop No 5 Main Road Arsikere, Hassan",,08460417511,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.482Z
Kanasu Holidays,+,4.4,10 Ratings,"Park Opposite Kr Puram Hassan, Hassan",,08123046981,Car Rental; Travel Agents,true,true,false,false,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.482Z
Diamond Taxi,+,4.6,195 Ratings,"Sakleshpur, Sakleshpur",,08401853368,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.482Z
Hasanamba Tourism,+,5.0,5 Ratings,"Park Road Hemavathinagar, Hassan",,08105383244,,true,true,false,false,false,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.482Z
Sakleshpur Punarvi Taxi Service,+,5.0,31 Ratings,"New Bus Sakleshpur Market Road, Sakleshpur",,09606271389,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.482Z
Hasanamba Tours and Travels,+,4.6,7 Ratings,"Housing Board Bm Road, Hassan",,07411551579,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.483Z
Ayyappas Tours and Travels,+,4.7,27 Ratings,"Bm Road Sakleshpur, Sakleshpur",,08485984124,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.483Z
Jai Shree Ram Car And Bike Rental,J,4.4,54 Ratings,"Vijayanagara Thanniruhalla, Hassan",,08460297724,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.483Z
M S Travels,+,4.9,31 Ratings,"Vidhanasouda Road Kuvempu Nagar, Hassan",,06366960409,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Hassan,2025-05-27T07:21:40.483Z
