name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
SAFE CRANE SERVICES,<,4.5,54 Ratings,"Channarayapatna, Hassan",,08128960505,Towing Services,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.255Z
Vinayaka Motors,<,4.4,171 Ratings,"BM Bypass Road Hassan City, Hassan",,08460268667,Car Repair & Services; Garages,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.255Z
Vishwa Automotive Services,<,3.3,15 Ratings,"Ring Road Hassan City, Hassan",,09054656964,Company Authorised Dealer; Towing Services,true,true,false,false,false,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Bharath Tinkering Works,<,4.2,14 Ratings,"Bharath Tinkering Works Bm Road, Hassan",,07411850165,Motorcycle Painting Services; Car Repair & Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Malnad Towing Service,<,4.8,53 Ratings,"BM Road Sakleshpur Market Road, Sakleshpur",,08401382743,Delivery Available,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Hindustan Auto Works,<,3.9,15 Ratings,"Ballupet Ballupet, Sakleshpur",,,Towing Services,true,true,false,false,false,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Evergreen Car Garage,<,4.0,6 Ratings,"Near Reshme Ilakhe Bm Road, Hassan",,07041632304,DoorStep Service; Towing Services,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Sri Maruthi Auto Work,<,4.1,40 Ratings,"Subhash Maidana Sakleshpur, Sakleshpur",,09980781966,Doorstep Car Repair; Towing Services; On-site Repair,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Sri Maruthi Car Repair and Service,<,4.5,15 Ratings,"SubhasField Sakleshpur, Sakleshpur",,09725519319,Towing Services,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Janatha Tinkering And Painting,<,5.0,1 Rating,"Channarayapatna, Hassan",,08460234067,Car Repair & Services; Car Repair & Services-Maruti Suzuki,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Sri Raksha Car Garage,+,4.3,28 Ratings,"Colony Vidyanagar Hassan, Hassan",,08460424526,,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Vidhatri Motors Pvt Ltd,+,4.7,"1,820 Ratings","Kandalli Post Bm Road, Hassan",,09054869102,Shop In Store,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Pavanputhra Car Towing & Car Mechanic,+,5.0,39 Ratings,"Anemahal Donigal, Sakleshpur",,08460233513,Towing Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Javeed Body Builder,+,3.5,2 Ratings,"Hulira Road Arsikere, Hassan",,08123030719,Car Repair & Services; Truck Body Building Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Imperial Car Care,+,4.9,52 Ratings,"Tanniruhalla Hassan HO, Hassan",,09725792995,Car Detailing,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Friendly Motors,+,4.7,122 Ratings,"Rajagatta By Pass Road Bm Road, Hassan",,07043608856,Towing Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Bsc Car Care,+,4.3,12 Ratings,"Shanthigrama, Hassan",,,Car Repair & Services,true,true,false,false,false,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Indian Car Auto Works,+,4.3,98 Ratings,"BM Road Sakleshpur, Sakleshpur",,,Oil Change; Towing Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Shri Maruthi Motors,S,5.0,4 Ratings,"DM Halli Hassan City, Hassan",,,Car Repair & Services; Truck Repair & Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.256Z
Arun Motors,+,4.7,50 Ratings,"Bm Road Channarayapatna, Hassan",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Bosch Speed Automotives,B,3.8,50 Ratings,"H N Pura Road Hassan Ho, Hassan",,,Car Repair & Services-Nissan; Car Repair & Services,true,true,false,false,false,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Shivamoga Car Workshop,+,3.0,2 Ratings,"Channarayapatna, Hassan",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Auto Craft,+,4.1,28 Ratings,"Opp Mahendhra 1st Bm Road, Hassan",,,Towing Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Safe Crane Service,S,4.5,54 Ratings,"Channarayapatna, Hassan",,,Towing Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Ntc Automobile,+,4.4,55 Ratings,"Hassan Road Arsikere, Hassan",,,Company Authorised Dealer; Same Day Delivery; In Store Collect,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Vaishnavi Motors,+,4.7,3 Ratings,"B M Road Shanthigrama, Hassan",,,Towing Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Sri Pushpagiri Car Clinic,+,3.7,4 Ratings,"D M Halli Hassan Ho, Hassan",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Harihara Motors,+,4.5,2 Ratings,"Holenarsipura Road Hassan City, Hassan",,,Lockers; Company Authorised Dealer; DoorStep Service,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Sagar Enterprises,+,4.0,2 Ratings,"BM Road Channarayapatna, Hassan",,,Company Authorised Dealer,true,true,false,false,false,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
National Car Garage,+,4.3,8 Ratings,"B M Road Channarayapatna, Hassan",,,Car Repair & Services; Car Repair & Services-Maruti Suzuki,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
M R Car Washing,+,5.0,1 Rating,"Hassan Main Road, Hassan",,,Car Repair & Services; Car AC Repair & Services,false,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Sri Lakshmi Car Care,+,5.0,3 Ratings,"Petrol Pump Channarayapatna, Hassan",,,Car Repair & Services; 24 Hours Car Repair & Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Bharath Car Clinic,+,4.1,13 Ratings,"Bm Road Channarayapatna, Hassan",,,DoorStep Service; Towing Services; 24x7 Customer Support,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Amk Engineering Sales and Service,+,5.0,4 Ratings,"Old Post Office Road Bm Road, Hassan",,,Towing Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Bajarangi Motors,+,4.8,3 Ratings,"BM Road Kandali, Hassan",,,Car Repair & Services; Car AC Repair & Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Malnad Motors,+,4.3,24 Ratings,"B M Road Ashoka Road, Sakleshpur",,,Customer Lounge,true,true,false,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Karnataka Car Clinic And Car Electrician,+,4.5,13 Ratings,"Mysore Road Channarayapatna, Hassan",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Ka13 Carinformers,K,5.0,6 Ratings,"Bypass Uddur, Hassan",,,Second Hand Car Dealers; Car Repair & Services,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Advaith Motors Pvt. Ltd.,+,4.6,"2,402 Ratings","State Highway 57 Thanniruhalla, Hassan",,,Delivery Available,true,true,true,true,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Advaith Hyundai,+,4.7,"1,259 Ratings","B M Road Thanniruhalla, Hassan",,,Company Authorised Dealer; Customer Lounge,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
Tata Motors Showroom,+,4.1,937 Ratings,"Thanniruhalla Bm Road, Hassan",,,Delivery Available,true,true,false,false,true,Car Repair & Services,Hassan,2025-05-26T12:28:57.257Z
