name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Anna Poorneshwari Caterers & Event Management,<,5.0,10 Ratings,"Old Post Office Road Bm Road, Hassan",,08490847639,Birthday Party Decorators; Caterers,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.457Z
D Events Pro,<,5.0,14 Ratings,"Jaya Nagar, Hassan",,07411848513,Caterers; Balloon Decorators,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.457Z
Donne Biriyani Mane,<,4.1,"2,648 Ratings","R Race Course Road Hassan, Hassan",,,Delivery; Casual Dining; South Indian,false,false,false,true,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.457Z
Cloud Kitchen,<,4.0,"1,197 Ratings","Shankarmutt Road Kr Puram Hassan, Hassan",,09054070229,Delivery; Dine-in; Chinese,true,false,false,true,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.457Z
P S Venkatesh Caterers,<,4.9,18 Ratings,"Channapatna Housing Board Colony, Hassan",,08460527100,Caterers; Caterers For Events,true,true,false,true,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.457Z
Jayalakshmi Catering And Service,<,4.9,8 Ratings,"Ward No1 Bm Road, Hassan",,08460234530,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.457Z
Sanvi Veg Catering,<,5.0,26 Ratings,"Vijayanagara Bm Road, Hassan",,08511689664,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.458Z
Manjunath and Yogesh Cooking and Catering,<,4.8,2 Ratings,"Ravindra Nagara Hassan City, Hassan",,07041211467,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.458Z
Blessing Events,<,4.7,9 Ratings,"Jubilee Park Kr Puram Hassan, Hassan",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.458Z
Jagannath Brothers (Arogya Sambhar Kendra),<,3.5,2 Ratings,"Sampige Road Kr Puram Hassan, Hassan",,06364838237,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.458Z
H Group & Arbin Caterers,+,5.0,2 Ratings,"2nd Stage Banashankari Road, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.458Z
Majisa Rnm Sweets and Caterers,+,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,true,false,false,true,Caterers,Popular Caterers,Hassan,2025-05-26T14:42:10.458Z
