name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
P S Venkatesh Caterers,<,4.9,18 Ratings,"Channapatna Housing Board Colony, Hassan",,08460527100,Caterers; Caterers For Events,true,true,false,true,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.574Z
Inspira Foods,<,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.574Z
Chaitanya Caterers,<,4.9,27 Ratings,"Cross Road Vani Vilas Mohalla, Mysore",,08460305168,,true,true,false,false,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.574Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,true,false,false,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.574Z
Shehnai Event Palnners,<,5.0,1 Rating,"Masjid Road Rajivnagar, Mysore",,,Banquet Hall Decoration; Car Decoration; Videography,true,true,false,false,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.574Z
Annapoorneshwari Catering,<,4.7,24 Ratings,"Layout Ramakrishnanagar, Mysore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.575Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.575Z
Navyashree Catering Services,<,3.8,10 Ratings,"100 Feet Road Durgigudi, Shimoga",,,,true,true,false,false,false,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.575Z
Sri Annapurna Mess Pure Veg,<,4.9,6 Ratings,"Sagara Main Road Apmc Marketyard, Shimoga",,,Mess; Tiffin Service; Home Delivery,true,true,false,false,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.575Z
Shree Vaidhyanatha Caterings,<,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Andhra Caterers,Hassan,2025-05-27T07:29:01.575Z
