name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
S S Caters And Events,<,4.8,3 Ratings,"THIRTHAHALLI TQ Chikmagalur Zp, Chikmagalur",,07383210455,Veg Caterers; Caterers,true,false,false,true,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.220Z
Thrupthi Catering Services,<,4.3,3 Ratings,"Heerekolale Road Uppalli, Chikmagalur",,,Caterers; Decorators,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.221Z
Chaitanya Caterers,<,4.9,27 Ratings,"Cross Road Vani Vilas Mohalla, Mysore",,08460305168,,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.221Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.221Z
Rakshitha Catering,<,5.0,2 Ratings,"Gurur Village Ramabai Nagar, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.222Z
Spoorthi Catering Services And Event Organisers,<,5.0,3 Ratings,"Puttur Parladka Devasya Road, Puttur",,,Parking Available; 24 Hours; Home Delivery,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.222Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.222Z
Sgr Catering Service,<,4.8,15 Ratings,"Mandya M C Road Mandya, Mandya",,08904260795,Home Delivery,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.223Z
Nafi Caterers&Events,<,4.0,3 Ratings,"Malabar Hill Hwy Alakode, Kannur",,,Caterers; Caterers For Events,true,false,false,false,false,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.223Z
Sri Annapoorneswari Caterers & Catering Contractors,<,5.0,2 Ratings,"Yellapura Yellapur, Tumkur",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.223Z
Charbhuja Caterers,+,4.8,5 Ratings,"15th Cross SS Puram, Tumkur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.223Z
Chilly Hut,C,3.9,67 Ratings,"Chemperi Chemperi, Kannur",,,Delivery; Dine-in; South Indian,true,false,false,false,false,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.224Z
Prince Catering.,+,5.0,3 Ratings,"100feet Rd Shimoga Market, Shimoga",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.224Z
Hao Hao Chinese Restaurant,H,4.7,3 Ratings,"Alangar Moodbidri-574227 Alangar, Moodbidri",,,Home Delivery,false,false,false,false,true,Caterers,Popular Chinese Caterers,Hassan,2025-05-27T07:33:05.224Z
