name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,false,false,false,true,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
Thrupthi Catering Services,<,4.3,3 Ratings,"Heerekolale Road Uppalli, Chikmagalur",,,Caterers; Decorators,true,false,false,false,true,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
The Big Bite,<,4.3,83 Ratings,"N H 206 Kadur, Chikmagalur",,,Delivery; Dine-in; Chinese,true,false,false,false,true,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
Sri Matha Catering Services,<,4.8,25 Ratings,"Ringroad Lokanayakanagara, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
Chilly Hut,<,3.9,67 Ratings,"Chemperi Chemperi, Kannur",,,Delivery; Dine-in; South Indian,true,false,false,false,false,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
Hotel New Impala,<,4.5,2 Ratings,"Kankanady-575002. Kankanady, Mangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.729Z
Penquin Caterers,<,3.0,1 Rating,"Bendoorwell, Mangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.730Z
Zero Plus Catering,<,4.6,23 Ratings,"Medical College Pilathara, Kannur",,09035105984,Caterers; Caterers For Events,true,false,false,false,true,Caterers,Popular Continental Caterers,Hassan,2025-05-27T07:34:04.730Z
