name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Royal Cafe,<,4.0,29 Ratings,"Alameda Aralepet, Hassan",,,Dine-in; Bar; Chinese,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Royal Cafe,<,4.5,47 Ratings,"Balehonnur Road Balehonnur, Chikmagalur",,,Dine-in; Bar; Chinese,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Chilly Hut,<,3.9,67 Ratings,"Chemperi Chemperi, Kannur",,,Delivery; Dine-in; South Indian,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Taste Hut Caterers & Events,<,4.9,18 Ratings,"Thondiyil, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Shree Vaidhyanatha Caterings,<,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.528Z
Royal Cafe,<,3.5,3 Ratings,"Fernandez Building Hampankatta, Mangalore",,,Dine-in; Bar; Chinese,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Sri Sai Caterers,<,4.3,3 Ratings,"Street  Bunts Hostel Road, Mangalore",,,Tiffin Service; Chinese; Punjabi,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Chamundeshwari Enterprises,C,5.0,1 Rating,"Kullangal House Surathkal, Mangalore",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Royal Cafe,+,3.8,17 Ratings,"Chungam Pappinisseri, Kannur",,,Delivery; Dine-in; Chinese,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Crew 24x7 Events Pvt Ltd,+,5.0,1 Rating,"Caltex Junction Kannur Ho, Kannur",,,Event Decoration,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Creweventor Events & Catering,+,5.0,2 Ratings,"Vyithri Kalpetta, Wayanad",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Royal Cafe,+,3.9,8 Ratings,"Maruti Mandir Road Achitnagar, Bangalore",,,Dine-in; Bar; Chinese,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Mani Catering Services,+,4.3,4 Ratings,"Mahadeshwara Badavane Kanakapura, Ramanagara",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Harshitha Catering Services,+,4.8,35 Ratings,"Vigneshwara Nagara Sunkadakatte, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Shree Annapoorneshwari Caterers,+,4.5,30 Ratings,"KHB Calony Basaveshwara Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Srivasasiri Events & Caterers,+,4.6,53 Ratings,"Balaji Layout Uttarahalli, Bangalore",,07405708597,Event Decoration,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
The Food Caterers,T,5.0,1 Rating,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.529Z
Nammura Oota Caterers,N,4.0,59 Ratings,"Raghuvanahalli Kanakapura Road, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Sriram Catering And Services,S,3.0,1 Rating,"18th Main Banashankari 1st Stage, Bangalore",,,Indian Caterers Upto 50 Persons; Caterers,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Sai Kutera,+,4.7,3 Ratings,"Srinagara Main Road Chamarajpet, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Akshaya Deluxe Veg And Non Veg Multicuisine Restaurant,+,4.1,"6,217 Ratings","New Bel Road, Bangalore",,,Congenial Staff; Delivery; Dine-in,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Royal Cafe,+,3.5,2 Ratings,"Kumaraswamy Layout, Bangalore",,,Dine-in; Bar; Chinese,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Alarfe,+,4.9,63 Ratings,"Anjanapura Jp Nagar 9th Phase, Bangalore",,,Tiffin Service; Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Lucky Caterers,+,4.4,10 Ratings,"Hamza Saab Lane Doddamavalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Royal Cafe,+,5.0,1 Rating,"2nd Main Road Jp Nagar, Bangalore",,,Dine-in; Bar; Chinese,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Sagar Caterers,+,4.3,"3,124 Ratings","Palace Ground Mekhri Circle, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Venjer Caters,V,3.0,1 Rating,"1st A Main Amruthahalli, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
Hotel Dubai,+,3.6,420 Ratings,"Calicut Ootty Road Ripon Wynad, Wayanad",,,Multicuisine; Sea Food; North Indian,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Hassan,2025-05-27T07:45:17.530Z
