name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Anna Poorneshwari Caterers & Event Management,<,5.0,10 Ratings,"Old Post Office Road Bm Road, Hassan",,08490847639,Birthday Party Decorators; Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.455Z
D Events Pro,<,5.0,14 Ratings,"Jaya Nagar, Hassan",,07411848513,Caterers; Balloon Decorators,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.455Z
Sanvi Veg Catering,<,5.0,26 Ratings,"Vijayanagara Bm Road, Hassan",,08511689664,Home Delivery,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.455Z
Blessing Events,<,4.7,9 Ratings,"Jubilee Park Kr Puram Hassan, Hassan",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.456Z
Manjunath and Yogesh Cooking and Catering,<,4.8,2 Ratings,"Ravindra Nagara Hassan City, Hassan",,07041211467,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.456Z
Jayalakshmi Catering And Service,<,4.9,8 Ratings,"Ward No1 Bm Road, Hassan",,08460234530,Home Delivery,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.456Z
Jagannath Brothers (Arogya Sambhar Kendra),<,3.5,2 Ratings,"Sampige Road Kr Puram Hassan, Hassan",,06364838237,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.456Z
Hvr Veg,<,4.4,"4,339 Ratings","Main Road Ravindra Nagar Hassan, Hassan",,,Delivery; Coffee Shops; South Indian,true,false,true,true,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.457Z
Twist Restaurant,<,3.9,792 Ratings,"Race Course Road Hassan, Hassan",,,Delivery; Dine-in; Multicuisine,false,false,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.457Z
Clicks 24 Photography,<,4.6,86 Ratings,"Northran Extantion Hassan HO, Hassan",,,Videography,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.457Z
Vishnu Udupi Thindi,+,4.0,"2,318 Ratings","Ring Road Hassan City, Hassan",,,Delivery; Dine-in; Chinese,true,false,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.458Z
New Famous Catering Services,+,4.1,"1,008 Ratings","7th Cross Kr Puram Hassan, Hassan",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.458Z
M S Shamiyana,M,5.0,2 Ratings,"Ring Road Hassan HO, Hassan",,,Caterers; Decorators,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.458Z
Rangashetru Biryani Corner,+,4.5,63 Ratings,"Bm Road, Hassan",,,Indian Restaurants; Restaurants,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.458Z
Babu Catering Services,+,4.6,6 Ratings,"Kuvempu Nagar Channarayapatna, Hassan",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.458Z
SBL Caterers,+,5.0,25 Ratings,"Hosakoppalu, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
Hotel Lakshmi Delicacy Veg & Non Veg Family Restaurant,+,4.6,11 Ratings,"Madikeri Hassan Road Arkalgud, Hassan",,,South Indian; Multicuisine; North Indian,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
M S Hotel,M,3.5,29 Ratings,"Janivara Channarayapatna, Hassan",,,South Indian; Home Delivery,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
Manjunath Catering,M,4.5,2 Ratings,"Udayagiri Road Kuvempu Nagar, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
Sharadamba Mess And Catering Services,S,3.8,25 Ratings,"Nursing Home Krishnaraja Pura, Hassan",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
M H Convention Hall,+,4.4,4 Ratings,"Arlepete Main Road Aralepet, Hassan",,,,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
Pulimunchi caterers,+,4.9,8 Ratings,"Channapattana, Hassan",,,Home Delivery,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
Younus Caterers,+,3.9,15 Ratings,"SJP Road, Hassan",,,Caterers For Events; Caterers,true,false,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.459Z
Hotel Sri Purdhama,+,4.8,3 Ratings,"Salagame Road Subhash Square, Hassan",,,Fine Dining; Food Court; North Indian,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.460Z
Babu Ramdev Caterers,B,5.0,1 Rating,"Hassan HO, Hassan",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.460Z
Hotel Sri Kala Bairaveshwara,+,5.0,4 Ratings,"Bm Road, Hassan",,,Restaurants; Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.460Z
Chef & Dish Caterers,+,5.0,2 Ratings,"Santhepete Bm Road, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.460Z
Arogya Sambar Kendra,A,3.8,3 Ratings,"9 Th Cross Sampige Road Hassan, Hassan",,,Home Delivery,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.460Z
Shree Nidhi Hotel,+,4.5,3 Ratings,"Thiputur Road Dudda, Hassan",,,Restaurants; Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.460Z
Thilka Chicken Centre,T,2.5,2 Ratings,"Kunduru Channarayapatna, Hassan",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.461Z
S.k.s.k Caterers,S,4.6,6 Ratings,"Masjid Road Santhepet, Hassan",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.461Z
Amma biriyani corner,A,5.0,1 Rating,"Hemavati Cercle Hassan City, Hassan",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.461Z
Nayana Family Restaurant,N,5.0,1 Rating,"Hnp Road Channarayapatna, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.461Z
Bismillah Food And Catering,B,4.0,2 Ratings,"Azad Road Sakleshpur, Sakleshpur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.461Z
Sri annapoorneshwari catering services,S,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.461Z
KGN Catring Contractor,K,4.8,2 Ratings,"Road Hemavathy Nagar Hassan, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.461Z
Manjunatha Catering Services,M,5.0,2 Ratings,"Railwary Station Road Arsikere, Hassan",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Ilyaz Caterers,+,4.5,1 Rating,"Tippunagar Pension Mohalla, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Thrupti Tiffen,+,3.0,2 Ratings,"Aralikatte Road Salagame Road, Hassan",,,Tiffin Service,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Hallimane HOTEL Makonahally,H,3.9,24 Ratings,"Nandipura, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
S S Caters And Events,+,4.8,3 Ratings,"THIRTHAHALLI TQ Chikmagalur Zp, Chikmagalur",,07383210455,Veg Caterers; Caterers,true,true,false,true,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Kethan baduta,K,4.0,1 Rating,"Kalyana Nagara Chikmagalur Zp, Chikmagalur",,,Restaurants; Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Sharada Caterers,S,4.0,2 Ratings,"Back Road Tiptur, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Jp Events,+,5.0,2 Ratings,"Belur Road Chikmagalur, Chikmagalur",,,Videography,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Udupi Hotel,+,4.0,397 Ratings,"Gavanahalli Gavanahalli, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.462Z
Sunrise catering,S,5.0,1 Rating,"Dc Office Road Adarsha Nagara, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.463Z
Royal Caterers,R,4.3,6 Ratings,"Shariff Street Shariff Street, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.463Z
Sns Event Organiser,+,3.2,5 Ratings,"Nagar Market Road Chikmagalur, Chikmagalur",,,Banquet Hall Decoration; Car Decoration; 24 Hours,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.463Z
RK Galaxy Catering Service,+,5.0,1 Rating,"Aza Maszid Chikmagalur City, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.463Z
Inspira Foods,+,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.463Z
Namma Biriyani Mane,+,4.1,584 Ratings,"Ig Road, Chikmagalur",,,Delivery; Dine-in; South Indian,false,false,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.463Z
Taj Caterers,+,4.2,23 Ratings,"1st Cross Shariff Street, Chikmagalur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.464Z
A R Caterers,A,4.5,1 Rating,"Ayyappa Temple Ig Road, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.464Z
Sri Raghavendra Hotel And Catering Service,+,4.5,3 Ratings,"KM Road 1st Cross Km Road, Chikmagalur",,,South Indian,true,true,false,false,true,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.464Z
Vasu Mess,+,4.0,575 Ratings,"Basavanahalli Chikmagalur, Chikmagalur",,,Delivery; Dine-in,true,true,false,false,false,Caterers,Popular Veg Caterers,Hassan,2025-05-27T07:53:36.464Z
