name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jaheer Ahamad,<,3.8,20 Ratings,"College Road Avk College Road, Hassan",,08460408660,GST Return; TDS Return; Income Tax Return,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.161Z
B N Ramesh & Co,<,5.0,4 Ratings,"Shankar Mutt Rd Kr Puram Hassan, Hassan",,,CA,false,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.161Z
Kndc and Associates LLP,<,4.7,37 Ratings,"GHS Road Hampankatta, Mangalore",,,Licence; GST Return; TDS Return,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
Mohit Mahajan & Co.,<,3.9,38 Ratings,"Koppikar Road Koppikar Road, Hubli",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
CA Anusha Gupte & Associates,<,4.5,4 Ratings,"Nanded City Road Nanded City, Pune",,08460423917,Accounting; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
Yatesh Renuke & Company,<,4.6,22 Ratings,"Erandwane Kothrud, Pune",,08460426416,GST Return; TDS Return; Income Tax Return,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
Yogita S And Company,<,4.7,33 Ratings,"Thane Bhiwandi Road Kasheli, Bhiwandi",,07795682280,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
Mithlesh Pardhi & Co,<,4.2,360 Ratings,"Jaitala Road Jaitala Road, Nagpur",,08511513986,GST Return; TDS Return; Income Tax Return,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
B R A H M & Associates,<,4.2,46 Ratings,"Jamnagar HO, Jamnagar",,,Accounting; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
TKSA SERVICES PVT LTD,<,3.5,2 Ratings,"Government Place East Esplanade, Kolkata",,08904955304,Licence; GST Return; NRI ITR Filing,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.162Z
Arpit Gupta & Co,+,4.1,156 Ratings,"Westend Marg Saket, Delhi",,,,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
K K K D & CO,+,4.7,45 Ratings,"101 BP BLOCK Pitampura, Delhi",,09731820288,Accounting; GST Return; TDS Return,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
V V S V & CO,+,4.2,13 Ratings,"Pandav Nagar Block A, Delhi",,09035176479,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Equiltax Private Limited,E,,,"Thapar Nagar, Meerut",,08105037165,Business Advisory Services; Name Change; IPO,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Dwarka & Co,D,4.1,97 Ratings,"Barabazar Garikhana, Shillong",,09054867046,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
B N Ramesh,B,4.7,4 Ratings,"SJP Road, Hassan",,,CA,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Nagaraj & Co,N,3.5,3 Ratings,"Ayurvedic College Thanniruhalla, Hassan",,,Auditors; CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Hassan Dist Lorry Owners Association (R),H,5.0,2 Ratings,"Bm Rd Hassan Ho, Hassan",,,Associations Of Builders; Architects,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
C K Padmanabha & Co,C,4.5,2 Ratings,"Northern Extension Salagame Road, Hassan",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
M Balakrishna Achar,M,4.5,2 Ratings,"No.1389 Harshamahal Road, Hassan",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
S K Sathyanarayan And Company,S,5.0,1 Rating,"R Race Course Road Hassan, Hassan",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Chandru M K,C,5.0,1 Rating,"Aralikatte Circle Salagame Road, Hassan",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Harish Gowda & Co,H,5.0,1 Rating,"R C Road, Hassan",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Chandru Mk & Co,C,5.0,1 Rating,"Park Road Salagame Road, Hassan",,,CA; Accounting Services,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Karvy Data Management Services Ltd,K,5.0,1 Rating,"Tiptur, Tumkur",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Vaibhav S Kangokar & Co,V,4.6,5 Ratings,"Sri Vijayalakshmi, Chikmagalur",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Joseph V G,J,4.0,1 Rating,"Kelagur Mathias Towers Ig Road, Chikmagalur",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Sumukha Associates,S,4.5,1 Rating,"Nehru Road Nehru Road, Chikmagalur",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Jabiulla B S & Associates,J,5.0,2 Ratings,"U B Road Kadur, Chikmagalur",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
Francis P W and Company,F,5.0,1 Rating,"College Road Madikeri, Coorg",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.163Z
A Gopalakrishna,A,4.3,2 Ratings,"Junction-college Madikeri, Coorg",,,CA,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Bal And Bhimeshwar,B,5.0,2 Ratings,"Chikpet Madikeri, Coorg",,,ITR Filing,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Preetham Jain,P,4.0,2 Ratings,"Km Road Kalasa, Chikmagalur",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Gayathri Rao and Associates Chartered Accountants,G,4.6,23 Ratings,"Kaniyur Beltangady, Belthangady",,,CA; Accountants,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
AJR Associates,A,3.6,8 Ratings,"KRS Road Hootagalli, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
CA Dodda Lingappa,C,4.5,1 Rating,"Hebbal, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Bhat Associates Sullia,B,4.8,14 Ratings,"Sullia, Mangalore",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Prsr And Co Chartered Accountants,P,4.9,65 Ratings,"Sullia Srirampete, Mangalore",,,ITR Filing,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Rajesha L And Associates,R,4.3,3 Ratings,"Lokanayaka Nagar Kumbara Koppal, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Bhat And Associates,B,5.0,1 Rating,"Road Sullia Dakshina Kannada, Mangalore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Satisha R & Associates,S,4.3,3 Ratings,"Nagar Vijaynagar Mysore, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Sham Prasad And Associates,+,4.9,8 Ratings,"Mahadeshwara Badavane Layout, Mysore",,,Wheel Chair Accessible Entrance And Exit,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Kodandera M Subbaiah,K,5.0,1 Rating,"Gonikoppal Gonikoppal Madikeri, Coorg",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Dna Consulting,+,4.8,122 Ratings,"Office Vijaynagar 3rd Stage, Mysore",,08490056396,Accounting; GST Return; NRI ITR Filing,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Krishna C & Associates,K,4.5,4 Ratings,"Vijaynagar Mysore, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Manju K & Associates,M,5.0,83 Ratings,"Temple Road Jayalakshmipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Jayashri R And Associates,J,3.0,1 Rating,"3rd A Main Gokulam 2nd Stage, Mysore",,,CA; Associations Of CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Francis P W & Co,F,3.8,5 Ratings,"Main Road Jayalakshmipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Roopa Swamy And Associates,R,4.3,16 Ratings,"Stage 10th Vijaynagar 3rd Stage, Mysore",,,,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
S Bhargava And Co,+,4.9,75 Ratings,"Vijaynagar Mysore, Mysore",,,Wheel Chair Accessible Entrance And Exit,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
Surendra Hegde & Co,S,4.4,16 Ratings,"Gokulam, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.164Z
NJS Tax And HR Consultants,N,4.5,12 Ratings,"Kalidasa Road Jayalakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
Phani Datta And Associates,P,4.0,2 Ratings,"19th Cross Vidyaranyapuram, Mysore",,,Company Secretary; CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
Elite Accountingpro Llp,E,4.8,13 Ratings,"Road2nd Cross Vani Vilas Mohalla, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
Thejaswini & Co,T,4.6,5 Ratings,"Temple Road Jayalakshmipuram, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
T Chetan Bhati & Co.,T,5.0,3 Ratings,"Mysuru Jayalakshmipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
Hariharan And Company Ca,H,4.0,1 Rating,"Narasimharaja Mohalla, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
MTR & Co,+,4.9,33 Ratings,"Temple Road Jayalakshmipuram, Mysore",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
Gowtham,G,5.0,1 Rating,"Devaraja Mohalla, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
Sastry & Co(ni),S,5.0,2 Ratings,"Kantharaja Urs Road Lakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.165Z
Wayfin Tax Solutions,W,4.9,16 Ratings,"Kabir Temple Road Iningere, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.166Z
Jagadeesh,J,5.0,1 Rating,"Saraswathipuram, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.166Z
B A Ganapathy & Co,B,5.0,2 Ratings,"16th Main Saraswathipuram, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.166Z
Srinivas K And Associates,S,5.0,2 Ratings,"Road Ramakrishnanagar, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Hassan,2025-05-27T07:55:59.166Z
