name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Shree Renukha Devi Transport,<,3.8,17 Ratings,"Extension Ring Road, Hassan",,08792261100,Commercial Courier; Corporate Courier; Ecommerce Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Vinayaka Enterprises (DTDC Courier),<,4.0,5 Ratings,"Bm Road Alur, Hassan",,,Ecommerce Courier; Domestic Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Sri Ganapathy Transport and Traveling Agency,<,4.5,19 Ratings,"Palayam Kalappa Naicken Palayam, Coimbatore",,08123376960,Courier Services; Transporters,true,true,true,true,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Fastmove Courier,<,4.7,3 Ratings,"Kurudusonnenahalli, Bangalore",,08105091177,Corporate Courier; Ecommerce Courier; Cargo Service,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Apeksha Logistics Pvt Ltd,<,4.5,1 Rating,"Main Road Singahalli, Bangalore",,07041967715,Cargo Service; Domestic Courier; Urgent Shipment Delivery,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Sky Land Xpress Cargo,<,4.0,44 Ratings,"KPN Colony Union Mill Road, Tirupur",,,,true,true,true,true,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Alleppey Parcel Service L L P,<,4.0,74 Ratings,"Vazhichery Ward Court Road, Alappuzha",,,Commercial Courier; Corporate Courier; Ecommerce Courier,true,true,false,true,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Urbx Worldwide,<,4.7,73 Ratings,"Cochin Special Economic Zone, Ernakulam",,08401097476,International Courier; Cargo Service; Domestic Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Xpress INDIA,<,4.2,394 Ratings,"Street Industrial Colony Trichy, Trichy",,07383608407,Cargo Service; Trucks On Rent; Bulk Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.127Z
Fastmove Courier & Cargo Services,<,5.0,1 Rating,"MD Farm Road Kanajiguda, Hyderabad",,08733880985,Corporate Courier; Bulk Courier; Speed Post,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Speedman Express,+,3.9,81 Ratings,"Chira Bazar-Kalbadevi, Mumbai",,08128897011,Ecommerce Courier; Domestic Courier; Bulk Courier,true,true,false,true,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Vrltransport Services,+,3.6,10 Ratings,"Masjid Bunder, Mumbai",,09980763661,Electronic,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Fastmove Courier & Cargo Services,F,3.5,2 Ratings,"Transport Nagar-Nigdi, Pune",,07041651674,Ecommerce Courier; Bulk Courier; Cargo Service,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Jay Maa Durge Logistics Pvt Ltd,J,3.6,21 Ratings,"Sakinada Andheri East, Mumbai",,09036695108,Door to Door,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
South Indian Transport Company,+,3.7,13 Ratings,"Mankoli Road Bhiwandi City, Bhiwandi",,07041943753,Door to Door,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Shubhaam Logistics Services,S,5.0,1 Rating,"Swadeshi Mill Road Sion, Mumbai",,09606413539,Cargo Service,true,true,true,true,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Fastmove Courier & Cargo Services,+,4.2,9 Ratings,"Sainaka Andheri East, Mumbai",,08123380727,Commercial Courier; Cargo Service; Corporate Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Jpg Logistics,J,4.5,8 Ratings,"SOUTH BAGHSEWANIYA Amrai Parisar, Bhopal",,08460300399,Cargo Service; Domestic Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Associated Logistics Corporation Of INDIA,+,4.1,185 Ratings,"Sector - C Sonagiri Indrapuri, Bhopal",,08460280113,Bulk Courier; Domestic Courier; Corporate Courier,true,true,false,true,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Mirai Logistics India Private Limited,+,3.5,279 Ratings,"Kesarwani College Garha Phatak, Jabalpur",,08511256279,International Courier; All India; Cargo Service,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Bajrang Roadlines,+,4.5,11 Ratings,"Etaura Rewa Super Bazar, Rewa",,08401896025,Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Engineers Parcel,+,4.2,21 Ratings,"I2H Building IIT ISM Hirapur, Dhanbad",,08971740245,Packers And Movers,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
India Door to Door Cargo Services,I,3.1,10 Ratings,"SSB Camp Rangamati, Ranchi",,08460507650,Cargo Service; Domestic Courier; Air Courier,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Fastmove Courier & Cargo Services,+,4.2,51 Ratings,"Road No. 5K Kishoreganj Chowk, Ranchi",,08197493875,Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Door to Door All India Service,D,5.0,2 Ratings,"Bhumi Link Road Link Road, Mathura",,08460406701,Trucks On Rent; Domestic Courier; Air Courier,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Om Sai Angdiya,O,4.2,19 Ratings,"Hana Ansari Road Darya Ganj, Delhi",,07383240726,,true,true,false,true,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Digital Cargo,D,4.1,16 Ratings,"5 Kaushik Enclave Burari, Delhi",,08792663371,Bulk Courier; Commercial Courier; Corporate Courier,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Transxpress World Wide,T,3.5,2 Ratings,"Janakpuri B Block, Delhi",,08511712179,Cargo Service,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Pooja Logistic,+,4.0,8 Ratings,"Kiran Garden-uttam Nagar, Delhi",,07411590145,Commercial Courier; Domestic Courier; Corporate Courier,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Paan India Door 2 Door Cargo Service,+,4.0,115 Ratings,"Gali No-9 Uttam Nagar, Delhi",,09845437538,International Courier; Cargo Service; Domestic Courier,true,true,false,true,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Prime Transport Solution,1,4.1,11 Ratings,"Chandan Hola Chatarpur Noida, Noida",,08460506360,24X7 Customer Care; Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Mahadev Courier Cargo Services,M,4.7,3 Ratings,"Behind Metro Kashmere Gate, Delhi",,08050623191,Cargo Service; Domestic Courier; Bulk Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.128Z
Priority Premium Courier Services,+,5.0,4 Ratings,"GALI RAJA KEDARNATH Chawri Bazar, Delhi",,08401398590,,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Dr Courier Express Pvt. Ltd.,+,3.5,20 Ratings,"Main Vasant Kunj Road Mahipalpur, Delhi",,08460567203,Government Verified; Door to Door,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Swiftline Cargo & Express Logistics Pvt. Ltd,S,5.0,16 Ratings,"Uttam Nagar Rewari Bypass Road, Rewari",,08511338696,Government Verified; 24X7 Customer Care; Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Fastmove Logistics,+,4.3,33 Ratings,"Baguipara Baguiati, Kolkata",,07405327680,Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Omshiv Express Courier Cargo,O,3.5,13 Ratings,"Office A1 Khengrapatti, Kolkata",,07041477183,International Courier; Ecommerce Courier; Cargo Service,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Fastmove Courier & Cargo Services,+,4.0,51 Ratings,"NH 30 Adarsh Colony Road, Patna",,09980741983,Commercial Courier; Corporate Courier; Ecommerce Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Express India Logistic,E,4.5,13 Ratings,"Khajuri Khas, Delhi",,08460270918,,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Gati Cargo Packer and Mover,+,4.8,4 Ratings,"Najafgarh, Delhi",,09008921591,Domestic Courier; Packers And Movers; Air Cargo,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Shakti Transport Company,S,4.4,8 Ratings,"Gorakhpur Road Deoria Sadar, Deoria",,08460434045,Packers And Movers; All India; Within City,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
DHL Express Courier,D,4.8,176 Ratings,"Gt Road Anand Avenue, Amritsar",,06366535081,Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Door 2 Door Cargo Service,+,4.0,69 Ratings,"Poonch Road Akhnoor, Jammu",,09035020896,Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
Deekins Travel Solutions Pvt Ltd,D,4.0,11 Ratings,"Jammu and Kashmir Horzey, Leh Ladakh",,09606165447,Cargo Service; Domestic Courier; Bulk Courier,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.129Z
DTDC Express Ltd,+,4.3,25 Ratings,"Channarayapatna Channarayapatna, Hassan",,,Door to Door,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
ELBEX COURIER SERVICE PVT.LTD & Gst Suvidha Kendra,E,5.0,3 Ratings,"Kasturba Rd HASSAN CITY, Hassan",,,Cargo Service; Domestic Courier; Commercial Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
The Professional Couriers,+,3.9,691 Ratings,"Mutt Road Kr Puram Hassan, Hassan",,,International Courier; Domestic Courier; Corporate Courier,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.129Z
VRL Logistics Ltd,+,3.9,228 Ratings,"Bommanayakanahalli Bm Road, Hassan",,,Cargo Service; 24 Hours Aircraft; Domestic Courier,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.129Z
DTDC Express Ltd,+,3.9,174 Ratings,"RC Road Bm Road, Hassan",,,Door to Door,true,true,false,false,false,Courier Services,Hassan,2025-05-26T12:26:26.129Z
The Professional Couriers,+,4.3,144 Ratings,"B H Road Arsikere, Hassan",,,International Courier; Domestic Courier; Corporate Courier,true,true,false,false,true,Courier Services,Hassan,2025-05-26T12:26:26.129Z
