name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Beauty Redefined,<,4.3,43 Ratings,"11th Cross Kr Puram Hassan, Hassan",,08490028375,,true,true,false,false,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.910Z
Dr Roopesh Gowda - The Skin Clinic Hassan - Dr Sukruthi Raj,<,4.8,533 Ratings,"Harshamahal Rd. Harshamahal Road, Hassan",,08904958870,,true,true,true,true,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.910Z
Dr Priyanka Gowda,<,4.8,23 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,07487975446,,true,true,false,true,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.910Z
Kaanti Skin and Cosmetic Clinic,<,4.6,18 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,09972833692,,true,true,false,true,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.910Z
Dakshyaini Dental and Cosmetic Clinic,<,4.6,14 Ratings,"Koppalu Main Vidya Nagar Hassan, Hassan",,08904894686,,true,true,false,true,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.911Z
Janapriya Hospital,<,4.1,321 Ratings,"Math Road Kr Puram Hassan, Hassan",,07383059057,,true,false,false,true,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.911Z
Twacha Skin & Aesthetic Clinic Laboratory,<,4.0,37 Ratings,"Sampige Road Krishnaraja Pura, Hassan",,09054506052,,true,true,false,false,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.911Z
Sahyaadri Multispeciality Hospital,<,4.1,195 Ratings,"RC Road rangoli halla, Hassan",,07383181968,,true,true,false,false,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.912Z
Lifeline Clinic and Research Institute,<,4.2,418 Ratings,"Station Road Station Road, Jalgaon",,,,true,true,false,true,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.912Z
Ghanishka Skin Care,<,4.2,5 Ratings,"Sampige Road Bm Road, Hassan",,,,true,true,false,false,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.912Z
Royals Clinic,+,5.0,18 Ratings,"Mysore Hassan Road Bm Road, Hassan",,,,true,true,false,false,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.914Z
Yash Skin & Hair Clinic,Y,3.5,9 Ratings,"Old Bus Stand Channarayapatna, Hassan",,09054067758,,true,true,false,false,true,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.914Z
Mangala Hospital,+,3.9,763 Ratings,"K R Puram Sampige Road Hassan, Hassan",,,,true,true,false,false,false,Best Dermatologists,,Hassan - Book Appointment Online,2025-05-27T08:02:18.915Z
