name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Dark Light Electrical,<,4.0,5 Ratings,"Main - 6th Cross Hemavathinagar, Hassan",,08734067791,Electricians; Electrical Shops,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.177Z
Shankmukha Electricals,<,5.0,1 Rating,"Road Channarayapatna, Hassan",,08460487188,Electricians; Electricians For Building,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.177Z
Sri Maruthi Electronics Land,<,4.9,165 Ratings,"Kr Circle Channarayapatna, Hassan",,,Electrical Shops; Electricians,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.177Z
Sri Virabadreshwara Electricals,<,3.5,2 Ratings,"Aralikatte Road Salagame Road, Hassan",,08460494448,Electricians; Birthday Party Decorators,true,true,false,false,false,Electricians,,Hassan,2025-05-27T08:04:50.177Z
R N Groups,<,3.5,2 Ratings,"Near Ksrtc Bus Stand Belur, Belur",,09731948676,Electricians; Plumbers,true,true,false,false,false,Electricians,,Hassan,2025-05-27T08:04:50.177Z
Vaishnavi Electrical Contractor,<,4.0,2 Ratings,"Channarayapatna, Hassan",,,Electricians; Electricians For Commercial,true,true,false,false,false,Electricians,,Hassan,2025-05-27T08:04:50.178Z
S A Royal Electricians,<,4.8,11 Ratings,"K R PURAM Bm Road, Hassan",,,Electricians; Electrical Contractors,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.178Z
SP Technology,<,5.0,1 Rating,"Hassan Channapatna Extension, Hassan",,,,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.178Z
Durga Solution,<,4.8,4 Ratings,"Circle Channapatna Extension, Hassan",,,24 Hours Open,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.178Z
Sw Construction,<,3.7,3 Ratings,"Hilayi Nagara Pension Mohalla, Hassan",,,24 Hours Open,true,true,false,false,false,Electricians,,Hassan,2025-05-27T08:04:50.178Z
Isha Electrical and Hardwares,+,4.9,25 Ratings,"Ring Road Vidya Nagar Hassan, Hassan",,,24 Hours Open,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.178Z
Hms Electrical,H,3.9,7 Ratings,"Vallabai Road HASSAN CITY, Hassan",,,,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.178Z
Electro Cooling Solutions,+,4.7,42 Ratings,"Main Road Vivekanagara, Hassan",,,Wiring,true,true,false,false,true,Electricians,,Hassan,2025-05-27T08:04:50.178Z
