name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Eventz Architect,<,5.0,2 Ratings,"Arehalli Hassan, Hassan",,,Birthday Party Decorators; Balloon Decorators,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.609Z
Picnic Point - An Agri Tourism Center,<,4.5,"1,387 Ratings","Solapur Pune - Highway Mohol, Solapur",,,Home Delivery,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.609Z
Miqqi Events,<,4.1,71 Ratings,"Sankar Marg Sahkar Marg, Jaipur",,,Event Organisers For Dance Parties; Advertising Agencies,true,false,false,true,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.609Z
Classic Event Management,<,4.9,11 Ratings,"M S Complex Rathnagiri Road, Chikmagalur",,,Camp Organisers; Banquet Halls,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.610Z
Thrupthi Catering Services,<,4.3,3 Ratings,"Heerekolale Road Uppalli, Chikmagalur",,,Caterers; Decorators,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.610Z
Events Tech,<,4.3,6 Ratings,"Course Road Madikeri, Coorg",,08460516251,Mandap Decorators; Caterers,true,false,false,true,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.610Z
Sky Stars Events,<,4.5,29 Ratings,"2nd Cross Hebbal, Mysore",,07383396537,Balloon Backdrop,true,false,false,true,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.610Z
Creative Events Solutions,<,4.8,81 Ratings,"2nd Stage Rajivnagar, Mysore",,,,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.611Z
Frozen Celebrationzs,<,4.9,119 Ratings,"Devnur Rajivnagar, Mysore",,08511065527,On Site Services; DJ; Venue Selection,true,false,true,true,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.611Z
Unique Events,<,4.4,16 Ratings,"Ring Road Rajivnagar, Mysore",,09972953893,Banquet Hall Decoration; Car Decoration,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.611Z
Event Mart,+,5.0,27 Ratings,"Kanhangad Kanhangad, Kasaragod",,08147531456,Car Decoration; Event Decoration; Home Delivery,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.611Z
Shine Events And Entertainment,+,4.6,54 Ratings,"Alfa Tower Building Hampankatta, Mangalore",,,Home Delivery,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.611Z
Geetha Events,+,4.4,17 Ratings,"1st Cross Rajarajeshwari Nagar, Bangalore",,,Decorators Stage Backdrop; Flower Decorators,false,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.611Z
Crazy Crew,+,5.0,4 Ratings,"Maddni Nagar Chikbanavara, Bangalore",,,Event Organisers For Sports; Event Organisers,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
The Nature Farm,+,4.5,20 Ratings,"Village Hesaraghatta Grass Farm, Bangalore",,,Event Organisers; Birthday Party Organisers,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
Kerala Chende Melam Banglore,+,4.9,36 Ratings,"Dasarahalli Dasarahalli Peenya, Bangalore",,,Nadaswaram Players; Flower Decorators,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
A Star Led Video Wall,+,4.0,2 Ratings,"F Layout Laggere Peenya, Bangalore",,08401182615,LED Screens On Rent; Tent House,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
Bardapure Production And Event Organizer,B,5.0,1 Rating,"Nagarbhavi 2nd Stage, Bangalore",,,Kalyana Mandapams; Caterers,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
Partyy Box,+,5.0,2 Ratings,"3rd Stage Basaveshwara Nagar, Bangalore",,,Event Organisers; Birthday Party Decorators,true,false,false,false,false,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
SRS Av Line,+,4.5,53 Ratings,"Channasandra AGS Layout, Bangalore",,08732902485,Video Equipment; Lighting; Projection Equipment,true,false,true,true,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
Mediaholic Events and Entertainment,+,4.3,17 Ratings,"Jalahalli Post Jalahalli, Bangalore",,,Decorator,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.612Z
Elyte Integrated Marketing Services Pvt Ltd,+,4.7,5 Ratings,"No. 1698/A Prakash Nagar, Bangalore",,,Event Organisers For Dance Parties; Event Organisers,true,false,false,true,false,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.613Z
Js Creations,J,5.0,1 Rating,"Banashankari 3rd Stage, Bangalore",,,Event Organisers For Dance Parties; Corporate Companies,true,false,false,false,false,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.613Z
Vserve Audio Visual Solutions,V,4.5,1 Rating,"Sirsi Road Chamarajpet, Bangalore",,,Photographers; Event Organisers,true,false,false,false,false,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.613Z
Magnum Events,M,4.0,2 Ratings,"1st B Cross Mathikere, Bangalore",,,Event Organisers; Event Organisers For Wedding,false,false,false,false,false,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.613Z
Eventz Architects,+,5.0,2 Ratings,"B No 18 David Davangere Mills, Davangere",,,Event Organisers; Birthday Party Decorators,true,false,false,false,true,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.613Z
Boom Box,B,3.6,5 Ratings,"Main Road Jayamahal Extension, Bangalore",,,Event Organisers; Event Management Companies,true,false,false,false,false,Event Organizer,Popular Corporate Party Organisers,Hassan,2025-05-27T08:07:33.613Z
