name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shivu Events And Home Needs,<,3.8,2 Ratings,"Aralepet, Hassan",,,Car Decoration; 24 Hours Open,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.840Z
R CUBE EVENT PLANNERS & BANQUET HALL,<,5.0,304 Ratings,"Harangi Road Attur Kushalnagar, Coorg",,,Banquet Halls; Caterers,true,false,false,true,true,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.841Z
Brothers In Event Decorators,<,4.8,6 Ratings,"Madikeri Coorg Madikeri, Coorg",,,,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.841Z
Shree Shastha Sound Of Musiq,<,5.0,1 Rating,"Old Tank Street Yelwal, Mysore",,,Event Organisers; Event Organisers For Birthday Party,true,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.842Z
S J Events and Promotions,<,5.0,1 Rating,"Main Road Koorgalli Koorgalli, Mysore",,,Event Organisers; Event Management Companies,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.842Z
Align Ads And Events,<,3.9,9 Ratings,"Hebbal Main Road Metagalli, Mysore",,,Event Organisers For Dance Parties; Event Organisers,false,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.842Z
Trishika Event Management,<,5.0,5 Ratings,"7Th Main Vijaynagar 2nd Stage, Mysore",,,Videography,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.843Z
Adeventia,<,5.0,26 Ratings,"SBI Main Road Hebbal 1st Stage, Mysore",,07490033643,Corporate; Banquet Hall Decoration,true,false,true,true,true,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.843Z
Fusion Eventz,<,5.0,1 Rating,"Parishath Road Vijaynagar, Mysore",,,Event Organisers For Dance Parties; Event Organisers,true,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.843Z
Events Guru,<,5.0,2 Ratings,"Road 7th Main Vv Mohalla, Mysore",,,Flower Decorators For Function; Flower Decorators,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Hassan,2025-05-27T08:09:34.844Z
