name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Blue Sky Events & Exhibitions,<,4.3,3 Ratings,"90 Feet Road Nalasopara East, Palghar",,09036670588,,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.217Z
Align Ads And Events,<,3.9,9 Ratings,"Hebbal Main Road Metagalli, Mysore",,,Event Organisers For Dance Parties; Event Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.217Z
Darla Sales And Agencies,<,4.5,729 Ratings,"No.1516/A Shivarampet, Mysore",,,Same Day Delivery; On Site Services,true,false,true,true,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.217Z
Southern Furnishers,<,4.3,26 Ratings,"Madhwachar Circle Kr Mohalla, Mysore",,,Event Organisers For Dance Parties; Event Organisers,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.218Z
Bhavya Janma Bhoomi Spirito Organic Farms LLP,<,5.0,2 Ratings,,,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.218Z
Paropakaram Pvt. Ltd,<,4.5,4 Ratings,"Kottiyoor Road Manathana, Kannur",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.218Z
Ashwathy Trading Company,<,4.0,2 Ratings,"Thuruthy Road Mavilakadapuram, Kasaragod",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.218Z
Ultimate The Event Management Group,<,4.5,2 Ratings,"Bank Road Kannur Ho, Kannur",,,Event Management Companies; Wedding Planners,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.218Z
Standalone Exhibits Pvt Ltd,<,4.8,32 Ratings,"T-DASARAHALLI T Dasarahalli, Bangalore",,,Event Management Companies; Event Organisers,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.218Z
Raana's Event Hub,<,4.1,14 Ratings,"Kirloskar Hessargatta Main Road, Bangalore",,,24 Hours; Decorator; Car Decoration,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Events & Promotions,+,3.3,3 Ratings,"5th Main T Dasarahalli, Bangalore",,,Wedding Planners; Flower Decorators,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Aarka Events,A,4.8,2 Ratings,"Annaporneshwari Nagar Nagarbhavi, Bangalore",,,Event Management Companies For Sports; Corporate Companies,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Flea Fever Events,+,2.5,2 Ratings,"Purva Highland Kanakapura Road, Bangalore",,,Birthday Party Organisers; Flower Decorators,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Think Big Platforms,+,4.9,23 Ratings,"6th Cross Vijayanagar, Bangalore",,,Exhibition Organisers; Caterers,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Nn Traders,N,4.0,3 Ratings,"Vengapally Kalpetta, Wayanad",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Eagle Events The Party Blasters,E,5.0,1 Rating,"5th Cross Peenya 1st Stage, Bangalore",,,Event Decoration,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Argus Inc,A,4.3,3 Ratings,"Agrahara Dasarahalli, Bangalore",,,Trade Fair Organisers; Social Accountability Services,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Pinkbug,P,4.0,1 Rating,"Main Mahalakshmipuram Layout, Bangalore",,,Event Management Companies; Balloon Decorators,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.219Z
Ascent Events And Alllied,+,4.0,6 Ratings,"Puranik Road Basaveshwara Nagar, Bangalore",,,Event Organisers; Birthday Party Organisers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Orion Expositions,O,4.0,1 Rating,"4th Blk Basaveshwara Nagar, Bangalore",,,Event Organisers; Exhibition Halls,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Royal Production House,+,4.4,5 Ratings,"4th Cross Chikkalsandra, Bangalore",,,Decorator,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Big Dreams Events & Exhibitions,B,3.5,3 Ratings,"Rajaji Nagar Manjunatha Nagar, Bangalore",,,Flower Decorators; Event Organisers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Eminent,E,5.0,10 Ratings,"No.10/1 Dodda Bommasandra, Bangalore",,,Wedding Planners; Event Organisers For Wedding,false,false,false,true,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
ASNA Events,A,3.0,2 Ratings,"3gf Hub Mathikere, Bangalore",,,Event Organisers; Event Management Companies,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Crystal Events and Wedding Planner,+,5.0,1 Rating,"5 Th Main Uttarahalli, Bangalore",,,Event Management Companies; Flower Decorators,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Miracle Events,+,4.2,14 Ratings,"4th Main Srirampuram, Bangalore",,,Videography,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Js Creations,J,5.0,1 Rating,"Banashankari 3rd Stage, Bangalore",,,Event Organisers For Dance Parties; Corporate Companies,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Bluefinch Events And Productions,+,4.6,24 Ratings,"Hanumantha Nagar-Banashankari, Bangalore",,,Event Organisers For Corporate; Event Organisers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Chrisha Solutions,+,4.8,4 Ratings,"15th Cross Malleswaram, Bangalore",,,Car Decoration,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Virgo INDIA,V,3.0,3 Ratings,"MAIN ROAD Kalasipalyam, Bangalore",,,Event Organisers; Event Management Companies,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Fabricana Exhibition Systems,F,3.0,4 Ratings,"Sekanakapur Road Bangalore City, Bangalore",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.220Z
Alarfe,+,4.9,63 Ratings,"Anjanapura Jp Nagar 9th Phase, Bangalore",,,Tiffin Service; Home Delivery,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Cosmic Meltdown Crew,C,3.8,6 Ratings,"phase Rmv Extension 2nd Stage, Bangalore",,,Event Management Companies For Sports; Flower Decorators,true,false,false,true,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Bunker Productions Pvt Ltd,B,5.0,2 Ratings,"Kendra Vidyalaya JAI Bhima Nagar, Bangalore",,,Party Organisers; Event Organisers,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Exhibit India Inc,E,4.0,1 Rating,"Tpl Rd Mvm Malleswaram, Bangalore",,,Exhibition Organisers; Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Cmc Live,+,3.8,45 Ratings,"Raj Mahal Vilas 2nd Stage, Bangalore",,,Event Organisers; Event Management Companies,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Eventz Unlimited,E,4.8,11 Ratings,"4th Cross Chickpete, Bangalore",,,Event Management Companies; Event Organisers,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Manu Media,M,4.7,3 Ratings,"Avalahalli First Main Road, Bangalore",,,Decorators Stage Backdrop; Flower Decorators,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Fairfest Media Ltd,F,4.8,6 Ratings,"Main Road Banashankari 2nd Stage, Bangalore",,,Exhibition Organisers; Event Management Companies,false,false,false,true,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Krishna Convention Hall,+,4.0,751 Ratings,"7th Main Banashankari 2nd Stage, Bangalore",,,Banquet Halls; Convention Halls,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
7 Wonders Business Solutions,+,3.7,3 Ratings,"4th Phase Main Road Yelahanka, Bangalore",,,Event Organisers For Dance Parties; Event Organisers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
S V T Events,S,5.0,1 Rating,"Railway Gate Sahakara Nagar, Bangalore",,,Caterers; Event Organisers,false,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Boom Box,B,3.6,5 Ratings,"Main Road Jayamahal Extension, Bangalore",,,Event Organisers; Event Management Companies,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Spate Events And Services,S,5.0,2 Ratings,"5th A Kumara Park West, Bangalore",,,Event Management Companies; Event Organisers,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Mars Event,M,4.8,4 Ratings,"Post Office Jayanagar 7th Block, Bangalore",,,Event Organisers; Event Management Companies,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.221Z
Brand Profesor,+,4.9,99 Ratings,"Nagar 8th Phase Jp Nagar, Bangalore",,07041543531,On Site Services; Book Appointment,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.222Z
Green Tree Events,+,3.5,22 Ratings,"No. 23Archana Complex Jc Road, Bangalore",,,Decorator; Car Decoration; Corporate,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.222Z
Innoversant Solutions Pvt Ltd,+,4.3,6 Ratings,"Delmia Circle Jp Nagar 4th Phase, Bangalore",,,Organisation Development Consultants; Business Consultants,false,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.223Z
Spectrum,S,4.0,1 Rating,"Sankey Road, Bangalore",,,Exhibition Organisers; Trade Fair Organisers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.223Z
Vc Facility Management,V,4.0,2 Ratings,"5Th Jp Nagar 8th Phase, Bangalore",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.223Z
Raj Events,+,4.3,3 Ratings,"33rd Cross Jayanagar 4th Block, Bangalore",,,Event Management Companies; Balloon Decorators,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.224Z
Shiva Event Organising Group,S,5.0,2 Ratings,"2nd PH Jp Nagar 3rd Phase, Bangalore",,,Event Organisers; Event Management Companies,false,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.224Z
White Collar Event Management,+,4.7,19 Ratings,"HBCS Layout Jp Nagar 2nd Phase, Bangalore",,,Event Management Companies For Sports; Flower Decorators,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
Winmedia Communications Pvt Ltd,W,3.0,1 Rating,"Cunningham Road Vasanth Nagar, Bangalore",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
Deepu Digital Technology,D,5.0,4 Ratings,"Marenahalli, Bangalore",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
Triune Exhibitors Pvt Ltd (Corporate Office),T,4.0,36 Ratings,"8th Main Road Cunningham Road, Bangalore",,,Exhibition Organisers; Event Organisers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
A 1 Events,+,4.2,11 Ratings,"1st Cross Rt Nagar, Bangalore",,,Event Management Companies; Flower Decorators,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
Madrun Communications,+,4.4,19 Ratings,"Rt Nagar, Bangalore",,,Corporate Companies For Event Organisers; Caterers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
Anand S Sharan,A,4.6,6 Ratings,"Cunningham Road, Bangalore",,,Dance Classes For Folk; Dance Classes,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
Muviwork,+,5.0,6 Ratings,"6th Phase Jp Nagar 6th Phase, Bangalore",,,Videography,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Hassan,2025-05-27T08:10:36.225Z
