name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
J J Wonder Wash,<,3.9,6 Ratings,"Road Doddabasavanahalli Bm Road, Hassan",,08460538849,Home Delivery; Dry Clean Up; Anti-Bacterial Laundry Service,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.657Z
Retro,<,4.1,7 Ratings,"Kasturba Road Kasturba Road, Hassan",,,Shoe Dealers; Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.657Z
Naveen Dry Cleaners,<,4.8,239 Ratings,"Bm Road, Hassan",,,Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.657Z
Mystique Falls Homestay,<,3.5,84 Ratings,"Devalkere Post Sakleshpur, Sakleshpur",,,Housekeeping Services; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.657Z
Parnika Dry Cleaners,<,5.0,15 Ratings,"army office Vidya Nagar Hassan, Hassan",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.657Z
I Shine Laundry,<,4.8,12 Ratings,"2nd Cross Sakleshpur Market Road, Sakleshpur",,,Ironing,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.657Z
I-Shine Laundry,<,4.8,12 Ratings,"Sakleshpur Market Road, Sakleshpur",,,Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.657Z
Brand Box Dry Cleaners Laundry Service,<,4.8,11 Ratings,"Someshwara Complex Alur, Hassan",,,Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
P B Laundry,<,4.9,8 Ratings,"Nh75 Anemahal, Sakleshpur",,,Laundry Services,false,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Manjushree Dry Cleaners,<,5.0,4 Ratings,"R. Race Course Road Hassan, Hassan",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Parnika Landry And Dry Cleaner,P,4.5,4 Ratings,"Nagara Arsikere Main Road, Hassan",,,Dry Cleaners; Laundry Services,false,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Super Dry Cleaners,+,4.3,3 Ratings,"Salagame Road Jaya Nagar, Hassan",,,Dry Clean Up; Free Pick Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Sri Manjunatha Drycleaners,S,4.3,3 Ratings,"Krishnaraja Pura, Hassan",,,Dry Cleaners; Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Prowash Elite Laundry,P,4.3,3 Ratings,"Sakleshpura, Sakleshpur",,,Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Parnika Dry Cleaning,P,4.8,2 Ratings,"Arsikere Main Road Indra Nagara, Hassan",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Parnika Dry Cleaning,P,4.8,2 Ratings,"Vidyanagar Hassan, Hassan",,,Laundry Services; Dry Cleaners,true,true,false,false,false,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Kiran Dry Cleaning,K,4.0,2 Ratings,"No 02 Belur Road Belur Road, Hassan",,,Laundry Services; Dry Cleaners,true,true,false,false,false,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
S. M. Laundry Shop,S,4.0,2 Ratings,"K.T Road Arsikere, Hassan",,,Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Dhurgesh Landri,D,4.0,2 Ratings,"Channapattana, Hassan",,,Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
Floor Milleillahalli,F,4.0,2 Ratings,"Illahalli Santhemarur, Hassan",,,Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Hassan,2025-05-27T08:21:51.658Z
