name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
A1 Builders,<,4.4,22 Ratings,"Rajanna Complex Hosaline Road, Hassan",,09054456921,,true,true,true,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.016Z
Ramadhuth Construction,<,4.6,14 Ratings,"Ashoka Road Ashoka Road, Sakleshpur",,08487820702,Residential,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.017Z
Archavinya,<,5.0,6 Ratings,"Bm Road Hassan City Market, Hassan",,08123631140,Building; Apartment,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.018Z
Nandi Associates,<,4.5,4 Ratings,"Main Road Ring Road, Hassan",,09606182950,Residential; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.018Z
Vision Homes Construction,<,4.9,13 Ratings,"Belur Road Thanniruhalla, Hassan",,08460526525,,true,true,true,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.018Z
Artforms Civil and Interiors,<,5.0,17 Ratings,"Kr Puram Kr Puram Hassan, Hassan",,09980255296,Decorative; Designer,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.018Z
SRV Constructions And Consultancy,<,4.7,11 Ratings,"Arsikere Road Hassan Ho, Hassan",,,Architects; Civil Contractors,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.018Z
Sra Architect And Construction,<,4.9,29 Ratings,"Hall Hassan Hassan City, Hassan",,08460269013,,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
S K S Projects Pvt Ltd,<,4.6,18 Ratings,"Hassan Dairy Circle Hassan City, Hassan",,09725467755,,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Atom Designs Interior Design Studio and Construction,<,4.9,14 Ratings,"Nagara Main Kr Puram Hassan, Hassan",,08123698049,Building; Residential,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
DELTA ARCHITECTS,+,4.8,77 Ratings,"80 Feet Hunsinkere Main Road, Hassan",,08460214152,Industrial; Residential,true,true,true,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Jss Constructions,+,4.5,4 Ratings,"BH Road Arsikere, Hassan",,09054248202,Architects; Civil Contractors,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Hassan Projects Pvt Ltd,+,4.3,10 Ratings,"Ring Road, Hassan",,08511640191,Digital; Residential,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Elite Architects and Construction,+,5.0,34 Ratings,"Ring Road Jaya Nagar, Hassan",,08123921342,Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
SBNG Construction,+,4.5,3 Ratings,"S P Road Sakleshpur, Sakleshpur",,,Industrial; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Nandana Builders and Developers,N,5.0,6 Ratings,"2nd  Main Jaya Nagar, Hassan",,07411653391,Civil Contractors; Real Estate Agents,true,true,true,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Urban Interior and Architects,U,3.5,2 Ratings,"Vivekanagara, Hassan",,08128603051,Residential; Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Anna Poorneshwari Steels and Cements,+,4.5,35 Ratings,"Arsikere Main Road B Katihalli, Hassan",,07048626983,Cement Dealers-Jsw; Civil Contractors,true,true,true,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Maruthi Grey Sqaure,+,5.0,5 Ratings,"5th Cross Kuvempu Nagar, Hassan",,09980204860,Residential,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Vayuputra Constructions and Consultants,+,4.9,142 Ratings,"Belur Road Thanniruhalla, Hassan",,08490965098,Digital; Industrial,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Bee Group Construction & Interior,+,4.8,43 Ratings,"Salagame Road Salagame Road, Hassan",,08460447420,Building,true,true,true,true,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Vijay Infra Projects,V,5.0,1 Rating,"Hassan City Market, Hassan",,09035256945,Residential; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.019Z
Hp Constructions,+,5.0,1 Rating,"Pura Krishnaraja Pura, Hassan",,08197355079,Construction Companies; Civil Contractors,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Hassan,2025-05-27T08:27:03.020Z
