name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Evergreen Interiors,<,5.0,3 Ratings,"Alphonces Nagara Channarayapatna, Hassan",,08460523030,Decorative; Designer,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.053Z
Vision Homes Construction,<,4.9,13 Ratings,"Belur Road Thanniruhalla, Hassan",,08460526525,,true,true,true,true,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.053Z
Zabi Ullah Carpenter,<,3.9,13 Ratings,"Vidyuthnagara, Hassan",,,Carpenters; Interior Designers,true,true,false,false,false,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.053Z
S K S Projects Pvt Ltd,<,4.6,18 Ratings,"Hassan Dairy Circle Hassan City, Hassan",,09725467755,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.053Z
Atom Designs Interior Design Studio and Construction,<,4.9,14 Ratings,"Nagara Main Kr Puram Hassan, Hassan",,08123698049,Building; Residential,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.053Z
Royal Silvia Constructions And Interiors Pvt Ltd,<,5.0,12 Ratings,"Salagame Road Rangoli Halla, Hassan",,07411563299,Residential; Apartment,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.053Z
Nandi Associates,<,4.5,4 Ratings,"Main Road Ring Road, Hassan",,09606182950,Residential; Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.053Z
Yaksha Interiors,<,4.7,298 Ratings,"Doddabasavanahalli Belur Road, Hassan",,,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.054Z
Punya Interior,<,5.0,1 Rating,"Arsikere Road B Katihalli, Hassan",,08460202820,Interior Designers; False Ceiling Contractors,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.054Z
Artforms Civil and Interiors,<,5.0,17 Ratings,"Kr Puram Kr Puram Hassan, Hassan",,09980255296,Decorative; Designer,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.054Z
Avista Constructions and Interiors,+,5.0,2 Ratings,"HB Road Arsikere, Hassan",,06366414459,Residential,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.054Z
SRV Constructions And Consultancy,S,4.7,11 Ratings,"Arsikere Road Hassan Ho, Hassan",,,Architects; Civil Contractors,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.054Z
Sra Architect And Construction,+,4.9,29 Ratings,"Hall Hassan Hassan City, Hassan",,08460269013,,true,true,false,false,true,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.054Z
Sri Kanteshwara Interior Design Studio,+,3.5,2 Ratings,"Hassan City Market, Hassan",,09980240465,Interior Designers; Upvc Window Dealers,true,true,false,false,false,Interior Designers,Residence Interior Designers,Hassan - Elevate Your Living Space,2025-05-27T08:28:25.054Z
