name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Vijay Silver Palace,<,4.6,92 Ratings,"Devigere Circle Subhash Square, Hassan",,08460211705,Silver Jewellery; Shop In Store; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.418Z
Rajeshwari Jewellers,<,4.3,8 Ratings,"Society Road Gandhi Bazaar, Hassan",,09724228694,Diamond Jewellery; Gold Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.418Z
Kanz Gold And Daimonds,<,4.6,11 Ratings,"Subhas Squre Bm Road, Hassan",,09008318361,Silver Jewellery; Diamond Jewellery,true,false,false,true,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.418Z
H K S Jewellers,<,4.3,10 Ratings,"Bm Road, Hassan",,,Platinum Jewellery; Silver Jewellery,true,false,false,true,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.418Z
Dyuthi Gold Company,<,4.1,10 Ratings,"Bsnl Bhavan Side Bm Road, Hassan",,,Jewellery Showrooms; Gold Jewellery Showrooms,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.419Z
Bhagavathi Jewels,<,4.9,7 Ratings,"Vasavi Mahal Road Arsikere, Hassan",,,Silver Jewellery; Gold Jewellery,true,false,false,true,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.419Z
Bhima Jewellers,<,4.9,"10,866 Ratings","B M Road Kr Puram Hassan, Hassan",,,Pearl Jewellery; Platinum Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.419Z
Joyalukkas,<,4.8,"9,616 Ratings","Bm Road, Hassan",,,Gold Jewellery; Pearl Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.419Z
Malabar Gold & Diamonds,<,4.7,"3,563 Ratings","Lakshmi Arcade Bm Road, Hassan",,,Same Day Delivery; Shop In Store,true,false,true,true,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.419Z
G L Acharya Jewellers,<,4.8,"2,843 Ratings","Circle Kasturba Road Hassan, Hassan",,,Pearl Jewellery; Silver Jewellery; Shop In Store,true,false,false,true,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.419Z
GRT Jewellers,G,4.8,"1,413 Ratings","Rangoli Halla, Hassan",,,Jewellery Showrooms,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.419Z
SRS Jewellers,+,4.1,"1,248 Ratings","Bm Road, Hassan",,,Silver Jewellery; Pearl Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
The Kanz Gold And Diamonds,+,4.9,418 Ratings,"Subhash Square Bm Road, Hassan",,,Shop In Store; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Kalyan Jewellers,+,3.8,493 Ratings,"Kasturba Road Subhash Square, Hassan",,,Diamond Jewellery; Gold Jewellery; Same Day Delivery,true,false,false,false,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Sri Roopa Jewellers,+,4.2,124 Ratings,"Subash Square Subhash Square, Hassan",,,Pearl Jewellery; Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Sri Roopa Jewellers,+,4.0,100 Ratings,"Gandhibazar Hassan Ho, Hassan",,,Pearl Jewellery; Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Nakshatra Jewellers Corporation,+,4.3,76 Ratings,"Bagur Road Channarayapatna, Hassan",,,Pearl Jewellery; Silver Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Nakshatra,+,4.1,73 Ratings,"Bm Road Bm Road, Hassan",,,Silver Jewellery; Diamond Jewellery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Nakshatra,+,4.1,73 Ratings,"Office Road Subhash Square, Hassan",,,Pearl Jewellery; Silver Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Nakshatra,+,4.1,73 Ratings,"Main Road Subhash Square, Hassan",,,Jewellery Showrooms; Jewellery Showrooms-Nakshatra,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.420Z
Navarathna Jewellers,N,4.2,57 Ratings,"Channarayapatna, Hassan",,,Gold Jewellery; Pearl Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Kanaka Jewellery Mart & Kanaka Bankers,+,4.2,53 Ratings,"N.R.Circle Bm Road, Hassan",,,Imitation Jewellery; Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Vasavi Jewellers,+,4.6,48 Ratings,"Vasavi Mahal Road Arsikere, Hassan",,,Gold Jewellery; Silver Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Damas Gold And Silver,+,3.5,61 Ratings,"B M Road Channarayapatna, Hassan",,,Gold Jewellery; Silver Jewellery; Shop In Store,true,false,false,true,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Rr Gold Palace,+,3.8,53 Ratings,"DHANALAXMI COMPLEX ARKALGUD, Hassan",,,Gold Jewellery; Pearl Jewellery; Delivery Available,true,false,false,false,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Rj Jeweller,R,4.3,46 Ratings,"Mangalore Road Ammeer Mohalla, Hassan",,,Gold Jewellery; Pearl Jewellery; Delivery Available,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Mahaveer Jewellers,M,4.1,34 Ratings,"Main Road Holenarsipur, Hassan",,,Silver Jewellery; Delivery Available; Same Day Delivery,true,false,false,false,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Rk Abharana,R,4.3,32 Ratings,"Mangalore Road Gandhi Bazaar, Hassan",,,Silver Jewellery; Same Day Delivery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Shree Lakshmi Jewellery Works,S,4.3,32 Ratings,"Doddabasti Road, Hassan",,,Pearl Jewellery; Silver Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Kaveri Jewellers,+,4.9,26 Ratings,"Bazar Street Arasikere Arsikere, Hassan",,,Silver Jewellery; Shop In Store; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.421Z
Vardhaman Jewellers And Pawn Brokers,+,4.6,27 Ratings,"Peta Main Road Holenarsipur, Hassan",,,Shop In Store; Delivery Available; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.422Z
Hks Jewelers,H,4.5,27 Ratings,"Ammeer Mohalla Bm Road, Hassan",,,Gold Jewellery; Pearl Jewellery; Same Day Delivery,false,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.422Z
Rajkamal Jewellers,+,4.3,26 Ratings,"Road Arkalgud, Hassan",,,Gold Jewellery; Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.422Z
Sri SAI Gold Palace,+,3.6,30 Ratings,"B.M Road Channarayapatna, Hassan",,,Silver Jewellery; Shop In Store,true,false,false,false,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.422Z
Parama Jewellers,+,5.0,21 Ratings,"Main Road Kasturba Road Hassan, Hassan",,,Pearl Jewellery; Silver Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.422Z
Hema Jewellers,H,4.2,24 Ratings,"H N Pura Holenarsipur, Hassan",,,Pearl Jewellery; Silver Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.422Z
Manikanta Pearls and Gems,+,4.5,22 Ratings,"Bm Road, Hassan",,,Pearl Jewellery; Silver Jewellery,false,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.423Z
Singhvi Jewellers,S,4.7,21 Ratings,"Gandhi Bazar Road Hassan Ho, Hassan",,,Silver Jewellery; Shop In Store,true,false,false,false,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.423Z
Vinayaka Jewellers,V,3.1,30 Ratings,"Banavara, Hassan",,,Jewellery Showrooms; Jewellery Dealers,false,false,false,false,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.423Z
Sri Radhakrishna Jewellers,+,5.0,18 Ratings,"Near Pi Internationl Hassan HO, Hassan",,,Silver Jewellery; Delivery Available; Shop In Store,true,false,false,false,false,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.423Z
Sri Roopa Jewellers,+,4.4,20 Ratings,"Arsikere, Hassan",,,Jewellery Showrooms; 1 Gram Gold Jewellery Dealers,true,false,false,false,true,Jewellery Showrooms,Hassan,2025-05-26T12:42:21.423Z
