name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Das Home Nursing Services,<,4.6,146 Ratings,"H N Pura Road NR Circle, Hassan",,07383446102,Nursing Care,true,true,false,true,true,Nursing Services,Hassan,2025-05-26T12:46:57.027Z
N V Home Health Care Services,<,1.8,3 Ratings,"Hassan Road-Arkalgud, Hassan",,08147995879,Home Nursing Services; Nursing Services,true,true,false,false,false,Nursing Services,Hassan,2025-05-26T12:46:57.027Z
Standard Group,<,4.0,218 Ratings,"Nellikai Road Nellikai Road, Mangalore",,,Overseas Placement,true,true,false,false,true,Nursing Services,Hassan,2025-05-26T12:46:57.027Z
Ramesh Aili Home Care Service,<,4.4,25 Ratings,"Basaveshwar Nagar Gadag Betgeri, Gadag",,09972845472,Home Nursing Services; Nursing Services,true,true,false,false,true,Nursing Services,Hassan,2025-05-26T12:46:57.028Z
Mother Home Care Nursing And Nursing Aid Services,<,3.8,15 Ratings,"Basapura Biet, Davangere",,,Nursing services,true,true,false,true,false,Nursing Services,Hassan,2025-05-26T12:46:57.028Z
Mahishi Trust Yoga and Naturopathy Hospital,<,4.7,336 Ratings,"Daddikamalpur Alnavar Road Mugad, Dharwad",,,Weight Loss,true,true,false,false,true,Nursing Services,Hassan,2025-05-26T12:46:57.028Z
Good Health Home Care Services,<,5.0,1 Rating,"Tejur Road Chikkakondagola, Hassan",,,Home Nursing Services; Nursing Services,true,true,false,false,true,Nursing Services,Hassan,2025-05-26T12:46:57.028Z
Shree Chamundeshwari Krupa Home Nursing Service and Admission Care Centre,<,5.0,3 Ratings,"Bm Road, Hassan",,,Home Nursing Services; Nursing Services,true,true,false,false,true,Nursing Services,Hassan,2025-05-26T12:46:57.028Z
Shabari Home Health Care,<,4.4,7 Ratings,"and 11th Kr Puram Hassan, Hassan",,,Home Nursing Services; Nursing Services,true,true,false,false,true,Nursing Services,Hassan,2025-05-26T12:46:57.028Z
Health &wellness Health Care Service,<,5.0,43 Ratings,"Mutt Road Avk College Road, Hassan",,,Home Nursing Services; Health Care Centres,true,true,false,false,true,Nursing Services,Hassan,2025-05-26T12:46:57.028Z
