name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Chandan Studio and Event Management,<,4.8,17 Ratings,"Adlimane Road Adarsha Nagar, Hassan",,08460495446,Photographers; Event Organisers,true,true,false,true,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
Clicks24 Photography,<,4.5,12 Ratings,"2nd Cross Bm Road, Hassan",,08490039775,Cinematography; Videography; Albums,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
Kalyani Digital Studio,<,4.8,46 Ratings,"Bm Road Sakleshpur Market Road, Sakleshpur",,09724307785,Videography,true,true,false,true,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
Little Baby Photography,<,4.7,28 Ratings,"Sampige Road Krishnaraja Pura, Hassan",,08401147787,Videography,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
Magic Moments & Events,<,5.0,3 Ratings,"6th Cross Kuvempu Nagar, Hassan",,09035098545,Corporate; Banquet Hall Decoration; Balloon Arch,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
Pragathi Studio,<,4.6,10 Ratings,"Maharaj Park Road, Hassan",,08867830864,Videography,true,true,true,true,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
Acharane Events,<,4.8,95 Ratings,"Extraction Hassan City, Hassan",,08734974655,Birthday Party Decorators; Flower Decorators,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
SHRUTHI DIGITALS,<,4.9,12 Ratings,"SHRUTHI DIGITALS Arsikere, Hassan",,08792483652,Videography,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.897Z
Kampana Photography,<,4.7,231 Ratings,"Shambhu Complex Ashoka Road, Sakleshpur",,09725049138,Photo Studios; Photographers,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Chandan Studios And Event Management,<,4.8,17 Ratings,"Road Adarsh Nagar Santhi Nagar, Hassan",,07411576541,Videography,true,true,true,true,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Appu Events,+,5.0,10 Ratings,"Salagame Road, Hassan",,08147028235,Flower Decorators; Photographers,true,true,false,true,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Image Digital Studio,+,4.4,7 Ratings,"Azad Road Sakleshpur, Sakleshpur",,,Videography,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
New Image Digital Studio,+,3.7,3 Ratings,"College Road Harshamahal Road, Hassan",,08460492107,Videography,true,true,false,false,false,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Nuclear Events,+,4.9,17 Ratings,"Subrub Vidyaranyapuram, Mysore",,08460255672,On Site Services; In Store Collect; Same Day Delivery,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Independent Technologies,+,4.8,43 Ratings,"Kalyan Nagar Bandihalli, Chikmagalur",,,Irrigation System Dealers; Agricultural Equipment Dealers,true,true,false,true,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
The Maarvel Studio,+,4.8,10 Ratings,"Market Basaveshwara Nagar, Bangalore",,08460204920,Videography,true,true,false,true,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Vibhava Creations,+,4.5,332 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Rainbow Studio and Video,+,4.2,15 Ratings,"Main Road Kundapura, Udupi",,,Videography,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Sree Durga Parameshwari Catering Service,+,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Ork Studio And Video,+,5.0,153 Ratings,"Ramchandra Nagar Kamalanagar, Anantapur",,,Videography,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
Masters Event Management,+,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Photographers,,Hassan,2025-05-27T08:46:13.898Z
