name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Thoufeeq Enterprise,<,4.8,3 Ratings,"B M Road Bm Road, Hassan",,09054064174,Battery Scrap; Company Authorised Dealer,true,false,false,true,true,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
S A Enterprises,<,4.1,14 Ratings,"Bypass Road Hassan City, Hassan",,09054506825,Battery Scrap,true,false,false,false,true,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
Bhoomika Demolition Work,<,5.0,1 Rating,"Doddavakalageri KT Street, Mysore",,09725853540,,true,false,false,false,true,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
The BEST Polymers,<,3.9,6 Ratings,"Industrial Area Santhepet, Mysore",,08511514021,Industrial Scrap Buyers; Scrap Dealers,true,false,false,true,false,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
Indian Steels,<,4.0,21 Ratings,"Kiadb Industrial Area Hirehali, Tumkur",,07383802862,Steel Scrap Buyers; Scrap Dealers,true,false,false,false,false,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
Ar Car Scrap,<,3.9,18 Ratings,"Gangondanahalli Nayandahalli, Bangalore",,07041232513,Battery Scrap,true,false,false,true,true,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
K P P Alloys,<,4.1,31 Ratings,"Laggere Road Peenya, Bangalore",,07048501049,Battery Scrap,true,false,false,true,true,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
Aisha Enterprises,<,3.7,3 Ratings,"Mangalya Choutry Doddaballapur, Bangalore",,08734946962,Battery Scrap,true,false,false,false,false,Scrap Buyers,Hassan,2025-05-26T12:55:04.483Z
S K Enterprises,<,4.3,14 Ratings,"B Road Hubli Gavi Oni, Hubli",,09725463865,Battery Scrap,true,false,false,false,true,Scrap Buyers,Hassan,2025-05-26T12:55:04.484Z
Hindustan Traders,<,4.3,34 Ratings,"Taluk Pj Extension Davangere, Davangere",,,Battery Scrap,true,false,false,false,true,Scrap Buyers,Hassan,2025-05-26T12:55:04.484Z
