name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
R J Enterprises,<,4.4,30 Ratings,"Maharaja Park Road Hassan City, Hassan",,08460539944,Dahua; Honeywell,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
G R Infotech,<,4.7,25 Ratings,"Koppalu Extn Vidya Nagar Hassan, Hassan",,08401259519,CCTV Distributors; CCTV Dealers,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
Powergen Engineers,<,4.4,20 Ratings,"Ring Road Salagame Road, Hassan",,08734917369,Home UPS Wholesalers; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
BMS ENTERPRISES,<,5.0,4 Ratings,"HASSAN DIST Banavara, Hassan",,07383697350,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
Svp It Care,<,4.8,6 Ratings,"BH Road Arsikere, Hassan",,09724911399,CCTV Dealers-Hikvision; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
Hi Solutions,<,4.8,6 Ratings,"B M ROAD Channarayapatna, Hassan",,,Dahua,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
Elite Enterprises,<,5.0,15 Ratings,"Kr Puram Hassan, Hassan",,08460299557,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
Hasanamba Enterprises,<,5.0,48 Ratings,"Office Panduranga Temple Road, Hassan",,08460551264,Digital,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.484Z
Hasanaamba Computer Service Cc Tv Instaltion Service,<,4.8,10 Ratings,"Bus Stand Opposite Road Bm Road, Hassan",,09725282521,CCTV Dealers-Hikvision; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Sridevi Computers,<,4.7,10 Ratings,"Sridevi Arsikere, Hassan",,08460232379,CCTV Dealers; CCTV Installation Services,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
V Computers & Smis,+,4.7,3 Ratings,"Salagame Road Salagame Road, Hassan",,,Wifi Internet,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Malnad Info System,+,4.0,213 Ratings,"Salagame Road, Hassan",,08460433495,Computer Dealers; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Siddhi Lakshmi Traders,+,4.5,13 Ratings,"Hemavathi Nagar 3rd Main Bm Road, Hassan",,,CCTV Dealers; Computer Repair & Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Nakoda Electronics,+,4.5,27 Ratings,"Bm Road, Hassan",,08734082258,Borewell; Company Authorised Dealer,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Thanmaya Enterprises,+,4.5,3 Ratings,"Mg Road Vidya Nagar Hassan, Hassan",,,Commercial Water Purifier Dealers; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Uno Electricals and Hardware,+,5.0,4 Ratings,"4th Main Road-Thanniruhalla, Hassan",,,Honeywell,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Vision Enterprises,+,4.4,12 Ratings,"High School Road Bm Road, Hassan",,,Dahua; Honeywell,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Niya IT World,+,5.0,1 Rating,"Niya IT World Saklespur Rural, Sakleshpur",,,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Sri Chamundeshwari Enterprises,+,4.3,3 Ratings,"Badavane Hassan City, Hassan",,,Water Purifier Dealers; Washing Machine Repair & Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Evs Power Solutions,+,4.8,13 Ratings,"Vidanasouda Road Kuvempu Nagar, Hassan",,,Free installation,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
S V Enterprises,+,4.9,7 Ratings,"Holenarsipur, Hassan",,,Company Authorised Dealer,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Durga Solution,+,4.8,4 Ratings,"Circle Channapatna Extension, Hassan",,,Dahua; Honeywell,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Likhith Computers Solutions,+,4.4,30 Ratings,"Vidhya Nagar Vidhya Nagar, Hassan",,,Computer Repair & Services; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Mikrotechnic,+,4.9,11 Ratings,"Belur Main Road Belur Road, Belur",,,Dahua,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Ity Technologies,+,4.9,20 Ratings,"1st Cross Kr Puram Hassan, Hassan",,,Dahua; Honeywell,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Reliance Digital Express,+,3.8,279 Ratings,"MG Road Ravindra Nagar Hassan, Hassan",,,Delivery Available; Shop In Store; 4g Internet,true,false,false,false,false,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.485Z
Mi Store,+,3.8,154 Ratings,"Subhash Square Subhash Square, Hassan",,,Delivery Available; In Store Collect; Shop In Store,true,false,false,false,false,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Jayram Computer Store,J,4.8,57 Ratings,"Sainatha Road Arsikere, Hassan",,,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Bhavani Infotronics,+,4.0,47 Ratings,"Sahyadri Circle Aralepet, Hassan",,,Mobile Phone Dealers-Samsung; Mobile Phone Dealers,true,false,false,false,false,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Eye Gate Infotech,+,4.5,40 Ratings,"10th Cross K.R.Puram, Hassan",,,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Roobhitech,+,5.0,36 Ratings,"Opp Vegetable Market Arsikere, Hassan",,,Computer Repair; Computer Accessory Repair; Computer Hardware Repair,true,false,false,false,false,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Sri Kanteshwara Tv Centre,S,3.5,50 Ratings,"Salagame Road, Hassan",,,AC Dealers-Godrej; CCTV Dealers,true,false,false,false,false,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Dis N Dat It Solutions,+,4.6,33 Ratings,"Mysore Road Channarayapatna, Hassan",,,Company Authorised Dealer,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
S S Electronics,+,3.9,36 Ratings,"Bm Road, Hassan",,,CCTV Dealers; Camera Dealers,true,false,false,false,false,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
No.1 Justcall,+,4.7,25 Ratings,"Arsikere, Hassan",,,Computer Repair & Services-Dell; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Om Electronics,+,4.4,26 Ratings,"Aralikatte Road Salagame Road, Hassan",,,Dahua; Honeywell,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Mi Store,+,4.5,25 Ratings,"Shravanagola Road Hirisave, Hassan",,,Company Authorised Dealer,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Hassan It Solutions,+,4.7,21 Ratings,"Belur Road Thanniruhalla, Hassan",,,CCTV Dealers; Computer Repair & Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Life Security Solutions.,+,4.8,18 Ratings,"B M Road Bm Road, Hassan",,,CCTV Dealers; CCTV Installation Services,true,false,false,true,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Capture 360,+,4.6,18 Ratings,"Aldur Arjun Gift Hassan City, Hassan",,,Camera Equipment Wholesalers; CCTV Dealers,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Rj Infotech,+,3.3,25 Ratings,"Salgame Road Hassan City, Hassan",,,CCTV Dealers; CCTV Installation Services,true,false,false,false,false,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
Cn Computers,+,4.6,16 Ratings,"Adlimane Road Hemavathinagar, Hassan",,,CCTV Dealers; Computer Repair & Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Hassan,2025-05-27T09:01:06.486Z
