name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sagar Transport,<,4.2,3 Ratings,"Channarayapatna, Hassan",,,Animal Transportation,true,false,false,false,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.359Z
Hassanamba Transport,<,3.0,1 Rating,"Gorur Road Santhepet, Hassan",,,Animal Transportation; Electronic,true,false,false,false,false,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.359Z
Kaveri Cargo Movers,<,4.4,95 Ratings,"Bank Colony Chinnavedampatti, Coimbatore",,08401638429,,true,false,true,true,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.360Z
Golden Heavy Load Transport,<,4.2,78 Ratings,"Athrva Complex Badlapur Ed, Thane",,08401197594,Electronic,true,false,false,false,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.360Z
Vrltransport Services,<,3.6,10 Ratings,"Masjid Bunder, Mumbai",,09980763661,Electronic,true,false,false,false,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.360Z
Diamondsafety Lorry Transport Packers and Movers,<,4.1,49 Ratings,"Bypass Road Khammam Bypass Road, Khammam",,09724438448,Pets Transportation; Packers And Movers; All India,true,false,false,false,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.361Z
MAHABER TRANSPORT,<,5.0,1 Rating,"Chauhan Complex Thane East, Thane",,08123202342,Transporters; Transporters For Pune,true,false,false,false,false,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.361Z
Maa Kali Transport Company,<,3.5,2 Ratings,"Office No 23 Bhadrakali, Nashik",,09035245802,Containers On Rent; Transporters,true,false,false,false,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.361Z
Radhakrishna Logistic,<,3.0,2 Ratings,"Upendra Nagar Nashik MIDC, Nashik",,07383647068,Transporters; Logistic Services,true,false,false,false,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.361Z
JAI MAHAKAL TRANSPORT,<,4.8,2 Ratings,"Adgon Chandori, Nashik",,07405747937,Domestic Courier,true,false,false,false,true,Transporters,Popular Animal Transporters,Hassan,2025-05-27T08:40:01.361Z
