name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Digital Kingdom,D,5.0,1 Rating,"Joshi Marg Jhotwara, Jaipur",,08460234082,Ethical Hacking Services; Internet Website Developers,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.274Z
P& L Services,+,4.1,41 Ratings,"Singhal Tower Khora Colony Noida, Noida",,08511731082,Wifi Internet; Customers Served-; CCTV Surveillance,true,false,false,false,false,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.274Z
Sadvi Computers,+,4.9,33 Ratings,"Maruthi Tent Road Janatha Nagar, Mysore",,,CCTV Installation Services; Computer Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.274Z
Techfix,+,4.7,80 Ratings,"Irwin Road KT Street, Mysore",,,Computer Repair & Services; Laptop Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.274Z
Pro Smart It Solution,+,4.7,58 Ratings,"Ashoka Road Lashkar Mohalla, Mysore",,,Computer Repair & Services; CCTV Installation Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
Rajendra Enterprises,+,4.7,35 Ratings,"Rajkumar Raod Raghavendra Nagar, Mysore",,,CCTV Dealers-Hikvision; CCTV Installation Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
V H Solution,+,4.6,7 Ratings,"Channappa Layout Savalanga Road, Shimoga",,08105595346,CCTV Installation Services; CCTV Dealers,true,false,true,true,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
Anantha It Care,+,4.8,63 Ratings,"Bunder Road Bunder, Mangalore",,,Computer Repair & Services; Computer Dealers,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
St Marys Technologies,+,4.9,32 Ratings,"Karnataka Kumbalgodu, Bangalore",,08128246656,Computer Repair; Computer Accessory Repair; Computer AMC,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
Channakeshav Computer Services,C,4.2,18 Ratings,"KG Timmaiah Layout Kengeri, Bangalore",,,Computer Dealers; CCTV Installation Services,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
Encrypt Bytes Labs,+,5.0,10 Ratings,"Pk Residancy Sulthan Bathery, Wayanad",,08460429425,Computer Training Institutes; Institutes,true,false,false,false,false,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
Netronics Solutions Pvt Ltd,+,5.0,1 Rating,"AYR Layout Shetty Halli, Bangalore",,,Wifi Internet,true,false,false,false,true,Vocational training,Popular Computer Networking Engineers,Hassan,2025-05-27T09:12:25.275Z
