name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
XTUDIO,X,5.0,2 Ratings,"Olayam Shiriya, Kasaragod",,,Videography,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.018Z
Blue Fox Systems,+,5.0,121 Ratings,"Talap Pallikunnu, Kannur",,,Online Shopping Websites; Internet Website Designers,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.018Z
Ample Softwares Pvt Ltd,A,4.0,10 Ratings,"43rd Cross Jayanagar 5th Block, Bangalore",,,IT Consultants; Computer Training Institutes,false,false,false,true,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.019Z
Onemore Websolutions,+,4.7,54 Ratings,"New Bus Stand- Park road Edodi, Kozhikode",,,Logo Designers; Internet Website Designers,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.019Z
Greypath Solutions,G,2.7,3 Ratings,"1st Cross Ulsoor, Bangalore",,,Property Developers; Mobile Application Developers,false,false,false,false,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.019Z
Conduite Endeavor Infosoft,C,3.2,30 Ratings,"100 Feet Road Banaswadi, Bangalore",,,BPO; Call Centres,false,false,false,true,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.020Z
Lumopix Media House,+,4.9,22 Ratings,"Kannoth Kodenchery, Kozhikode",,,,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.020Z
Aerodesign Solutions Pvt Ltd,+,4.5,18 Ratings,"Bengaluru Marathahalli, Bangalore",,,Internet Website Developers; AUTOCAD Training Institutes,true,false,false,true,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.021Z
Ak Media,+,4.7,12 Ratings,"Old Mathigiru Hosur Cattle Farm, Hosur",,,Multimedia Design Services,true,false,false,false,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.021Z
Frenzy Digital Media,+,4.8,44 Ratings,"Kovil Street Suramangalam, Salem",,,Internet Website Designers For Property; Photographers,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.021Z
Cydez Technologies,+,4.8,109 Ratings,"KALOOR Ernakulam North, Ernakulam",,,Internet Service Providers; Transporters,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.022Z
Studio Gobo,+,4.6,33 Ratings,"Irumpanam Eroor South, Ernakulam",,,Studios On Rent; Film Production Houses,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.022Z
Brandmore,B,4.5,4 Ratings,"Kannankulangara Thrippunithura, Ernakulam",,,Email Marketing Services; Mobile Application Developers,true,false,false,false,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.022Z
Octobuss Design Warehouse,+,4.8,3 Ratings,"West Masi Street Madurai City, Madurai",,,Bulk SMS Services; Computer Training Institutes,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.022Z
Sure soft Systems Pvt Ltd,S,4.3,54 Ratings,"Manapet Post KATTUKUPPAM, Pondicherry",,,Computer Software Developers; Mobile Application Developers,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.022Z
Curves Multimedia Training Institute,+,4.3,4 Ratings,"No 7 CLC WORK ROAD Chromepet, Chennai",,,2D Animation Training Institutes; Colleges,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.022Z
Dot Studio,+,4.4,55 Ratings,"Ponniamman Nagar Ayanambakkam, Chennai",,09731836821,Flex,true,false,false,true,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.022Z
Candid Red Studios,+,4.6,288 Ratings,"Tambaram Main Road Rajakilpakkam, Chennai",,,Videography,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
MOVIE IMAGE - DIGITAL CINEMA SERVICE,M,4.5,16 Ratings,"ALWARTHIRUNAGAR Alwarthirunagar, Chennai",,,Video Editing Services; Film Studios,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
Apple G Web Technology Pvt Ltd,+,4.5,22 Ratings,"Medavakkam Main Road Madipakkam, Chennai",,,College Management Software Dealers; Internet Website Designers,true,false,true,true,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
Reality Graphics,R,3.6,5 Ratings,"Saligramam, Chennai",,,Internet Website Designers; Advertising Agencies,true,false,false,false,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
Creativemedia Softech,+,5.0,1 Rating,"Labour Wells Street Adambakkam, Chennai",,,Corporate Flash Presentation Services; Internet Website Designers,false,false,false,false,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
Samrantech Pvt Ltd,S,4.2,15 Ratings,"7th Avenue Ashok Nagar, Chennai",,,Data Entry Job Works; Computer Software Developers,false,false,false,false,true,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
K2b Solutions,K,3.5,47 Ratings,"Ashok Nagar, Chennai",,,Computer Software Developers In Application; Mobile Application Developers,true,false,false,false,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
Lta Studios,+,3.9,5 Ratings,"Tailors Estate Kodambakkam, Chennai",,08123908107,,true,false,false,true,false,Vocational training,Popular Multimedia Design Services,Hassan,2025-05-27T09:15:56.023Z
